Childrens_Homes,LAT,LON,ALT
Côteau Fleuri,45.05287,4.340592,1028
crickets,45.07128,4.326289,1067
Faïdoli,45.05561,4.289219,976
Grillons,45.07128,4.326289,1067
Guespy,45.062374,4.312919,1006
House of the Rocks,45.05262,4.321041,959
La Guespy,45.062374,4.312919,1006
L'Abric,45.06056,4.311144,997
L'Abric House,45.06056,4.311144,997
Le Faïdoli,45.05561,4.289219,976
Les Grillon,45.07128,4.326289,1067
Les Grillons,45.07128,4.326289,1067
Les Roches,45.05262,4.321041,959
Maison des de Roches,45.05262,4.321041,959
Maison des Roches,45.05262,4.321041,959
Pension De Famille,45.07128,4.326289,1067
Rohnert,45.05262,4.321041,959
the crickets,45.07128,4.326289,1067
