other_French_Locations,LAT,LON,ALT
Annemasse,46.19439,6.23775,441
Camp de Gurs,43.27376,-0.74031,186
Camp Saint-Cyprien,42.63663,3.034213,2
Drancy,48.92583,2.44528,47
Gurs,43.27376,-0.74031,186
Le Puy,45.04366,3.88523,640
Le Puy-en-Velay,45.04366,3.88523,640
Lyon,45.74846,4.84671,173
Marseille,43.29695,5.38107,28
Marseilles,43.29695,5.38107,28
Paris,48.85341,2.3488,42
Puy,45.04366,3.88523,640
Rivesaltes,42.80791,2.89097,30
Saint Étienne,45.43389,4.39,529
Saint-Cyprien,42.63663,3.034213,2
Saint-Etienne,45.43389,4.39,529
Saint-Étienne,45.43389,4.39,529
St. Etienne,45.43389,4.39,529
Valence,44.9256,4.90956,126
