Plateau_Locations,LAT,LON,ALT
Chambon-sur-Lignon,45.06081,4.302941,961
Fay,44.985435,4.226421,1181
Fay-sur-Lignon,44.985435,4.226421,1181
La Fayolle,45.0535,4.28556,1002
Le Chambon,45.06081,4.302941,961
Le Chambon sur Lignon,45.06081,4.302941,961
Le Chambon-sur-Lignon,45.06081,4.302941,961
Le Mazet,45.04719,4.2447343,1027
Les Tavas,45.051365,4.33872,1005
Mazet,45.04719,4.2447343,1027
Plateau,45.06081,4.302941,961
Saint-Agreve,45.010014,4.3950486,1066
Saint-Jeures,45.09567,4.2050915,1043
Tence,45.116135,4.289156,849
