Plateau_Locations,LAT,LON,ALT
Chambon,45.06081,4.302941,961
Chambon sur Lignon,45.06081,4.302941,961
Chambon-sur-Lignon,45.06081,4.302941,961
Chaumargeais,45.09006,4.344,1004
Fay,44.985435,4.226421,1181
Fay-sur-Lignon,44.985435,4.226421,1181
Fourezon,45.087067,4.248799,1041
Freycenet,45.07724,4.21654,1047
La Papeterie,45.132137,4.284565,822
Le Chambon-sur-Lignon,45.06081,4.302941,961
Le Fourezon,45.087067,4.248799,1041
le Lignon,45.06081,4.302941,961
Mazelgirard,45.08217,4.28083,969
Mazet,45.04719,4.2447343,1027
Mazet-Saint-Voy,45.04719,4.2447343,1027
Mézenc,44.91428,4.18992,1744
Mont Mézenc,44.91428,4.18992,1744
montagnes Cévenol,45.06081,4.302941,961
Montfaucon,45.18561,4.31376,919
plateau Cévenol,45.06081,4.302941,961
Plateau Vivarais,45.06081,4.302941,961
Saint-Agreve,45.010014,4.3950486,1066
Saint-Agrève,45.010014,4.3950486,1066
Saint-André,45.12113,4.41125,1096
Saint-Clément,44.95283,4.26497,1151
Tence,45.116135,4.289156,849
