Childrens_Homes,LAT,LON,ALT,Context,label,score,label_numeric
Côteau Fleuri,45.05287,4.340592,1028,"ay or several days 
later but it doesn't really matter. There was a get together and I 
believe, I cannot be sure anymore, it might have been in the 
Côteau Fleuri where Pastor Boegner addressed the people who were there and I 
went there. I don't remember who went with me. It is sort of a blank. He 
was telling",fear,0.30029502511024475,2
crickets,45.07128,4.326289,1067," who then took me, and we had a very, very 
long walk through the night. And ultimately, I wound up in a, a stone 
farmhouse called Les Grillons, the crickets, French word for crickets. 
And there I found myself together with about 22 or 24 other kids, ranging 
in age from about six, seven, up to about 17 o",neutral,0.4470234513282776,4
crickets,45.07128,4.326289,1067,"had a very, very 
long walk through the night. And ultimately, I wound up in a, a stone 
farmhouse called Les Grillons, the crickets, French word for crickets. 
And there I found myself together with about 22 or 24 other kids, ranging 
in age from about six, seven, up to about 17 or 18, boys and girls. And ",fear,0.5753902196884155,2
crickets,45.07128,4.326289,1067,"ck, and it was decided that the people 
could come in Le Chambon-sur-Lignon.

And so the first house was opened, and it was called Les Grillons, the 
crickets. And in that house was a cousin of my husband who came. He was a 
teacher.

He was a teacher in a very well-known French school, a high school, a 
pr",joy,0.22636258602142334,3
crickets,45.07128,4.326289,1067,"countryside. They came 
back to the camp.

It was better than nothing. And so, the whole bunch could come, and they 
came, but they did not go to the crickets. The crickets were younger 
children.

Those went in another home, who was settled also, for them, with great 
help of the Swiss friends. This was ca",neutral,0.3158611059188843,4
crickets,45.07128,4.326289,1067,"hey came 
back to the camp.

It was better than nothing. And so, the whole bunch could come, and they 
came, but they did not go to the crickets. The crickets were younger 
children.

Those went in another home, who was settled also, for them, with great 
help of the Swiss friends. This was called La Guespy",neutral,0.39862576127052307,4
Faïdoli,45.05561,4.289219,976," supported there, and this situation always encouraged us so that we 
also wanted to extend our activities.  We were able to rent another 
house, ""Le Faïdoli.""  Faïdoli is the name of a song that our children 
often sang and so we gave the house this name.  This home was set up to 
handle 45 to 50 children",joy,0.9324013590812683,3
Faïdoli,45.05561,4.289219,976,"there, and this situation always encouraged us so that we 
also wanted to extend our activities.  We were able to rent another 
house, ""Le Faïdoli.""  Faïdoli is the name of a song that our children 
often sang and so we gave the house this name.  This home was set up to 
handle 45 to 50 children, and was r",joy,0.8943200707435608,3
Faïdoli,45.05561,4.289219,976," farms so that they 
could beautify their inner selves and could improve their living 
conditions.  The studio began in the fall of 1941, and then Le Faïdoli, 
and then in the spring of 1943, the Ferme École was opened.  The 
Agricultural school, or Ferme École, had eight cows, chickens, etc., and 
vegetab",joy,0.6383118629455566,3
Faïdoli,45.05561,4.289219,976,"Flic (French slang 
for cop), the Vichy Police.  The local gendarmerie were sent.  They 
sometimes had to conduct house searches such as at our House Faïdoli and 
those my wife had spoken of.  Sometimes it was the French Police, one 
time the German Police.  The Gestapo itself presumably worked out of the ",fear,0.6153656840324402,2
Faïdoli,45.05561,4.289219,976,"nt back some 30 kilometers before Chambon-sur-Lignon.  
These were some of the common experiences, aid actions and people 
involving Pastor Trocmé. 

Faïdoli, yes, oh, that's difficult now to sing.  You surprised me.  I 
could have played it for you, but to sing it, after the talk.  It is, 
incidentally, c",surprise,0.9300315380096436,6
Faïdoli,45.05561,4.289219,976,"sing it, after the talk.  It is, 
incidentally, contained in the film by Pierre Sauvage (note: ""Weapons of 
the Spirit"").  You can hear it there, the Faïdoli song.  Like the song 
that was our community song, for all the homes, 'L'Amité,' that we always 
sang. And that was our background, and we tried to p",neutral,0.6913472414016724,4
Faïdoli,45.05561,4.289219,976,"hat there was nothing wrong with them.  We also had to protect our 
colleagues because we had, for instance, a Viennese doctor, Frau Schwamm, 
in the Faïdoli.  She is also mentioned in the book by my wife, and her 
husband had also been freed there, but could no longer work.  He lived on 
a farm near the h",sadness,0.42761877179145813,5
Grillons,45.07128,4.326289,1067," pastor of the 
village, Andre Trocme, and we had a long long walk in a cold night and 
wound up finally in a house, in an old stone house called Les Grillons, 
which was a bed and breakfast-type house, okay, a pension, as they call 
it in French. 
 
He met me at the train station. Yes, he met me and picked",fear,0.8229281902313232,2
Grillons,45.07128,4.326289,1067,"s they call 
it in French. 
 
He met me at the train station. Yes, he met me and picked me up at the 
train station but from the train station to Les Grillons was a good four 
or five kilometers. I mean, it was a long hike, up the mountain too, up 
the hill. So, I now find myself in this home together with ",fear,0.8011340498924255,2
Grillons,45.07128,4.326289,1067," bring the kids from one home 
together with the kids of another home. 
 
I met Andre Trocme, well first of all Andre Trocme came and visited at 
Les Grillons on several occasions. At that time, again, I certainly was 
not aware of what a splendid individual this man was and he was just one 
of the older pe",fear,0.42624205350875854,2
Grillons,45.07128,4.326289,1067,"dy else to take over at that point and they had to disperse the kids 
and I think b) they also were concerned that since Daniel was in charge 
of Les Grillons, anyone at Les Grillons might be easy prey and I think 
the decisions must have made, I'm assuming here, that we better disperse 
these kids and clos",fear,0.8434174656867981,2
Grillons,45.07128,4.326289,1067,"that point and they had to disperse the kids 
and I think b) they also were concerned that since Daniel was in charge 
of Les Grillons, anyone at Les Grillons might be easy prey and I think 
the decisions must have made, I'm assuming here, that we better disperse 
these kids and close down Les Grillons. I t",fear,0.8351873755455017,2
Grillons,45.07128,4.326289,1067," Les Grillons might be easy prey and I think 
the decisions must have made, I'm assuming here, that we better disperse 
these kids and close down Les Grillons. I think Les Grillons supported, 
if not totally financed, it was supported by the Quakers. The Quakers had 
very close ties with Pastor Trocme. Troc",fear,0.4209313690662384,2
Grillons,45.07128,4.326289,1067," easy prey and I think 
the decisions must have made, I'm assuming here, that we better disperse 
these kids and close down Les Grillons. I think Les Grillons supported, 
if not totally financed, it was supported by the Quakers. The Quakers had 
very close ties with Pastor Trocme. Trocme, before the war, ha",fear,0.4398130476474762,2
Grillons,45.07128,4.326289,1067,"ch is marked Pension De Famille. It was a boarding house or a 
bed and breakfast, if you will. And that house, a solid house built of 
rocks, the Les Grillons, the home where I lived from the time that I 
arrived in Le Chambon-sur-Lignon in the beginning of 1943, until I left 
in late 1943, it was called Le",neutral,0.4236413836479187,4
Grillons,45.07128,4.326289,1067,"the home where I lived from the time that I 
arrived in Le Chambon-sur-Lignon in the beginning of 1943, until I left 
in late 1943, it was called Les Grillons. And Daniel Trocme was the den 
father, I guess you would call it, who looked after us in that house. 

Here is a group shot taken in front of Les Gr",fear,0.7639431953430176,2
Grillons,45.07128,4.326289,1067,"ns. And Daniel Trocme was the den 
father, I guess you would call it, who looked after us in that house. 

Here is a group shot taken in front of Les Grillons. You can see the 
building in the back. This is a picture probably of all the kids who were 
housed there. You can see that there are some very young",neutral,0.5748037099838257,4
Grillons,45.07128,4.326289,1067,"ow me to go to school. She gave this letter to a young girl, Simone 
Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les 
Grillons  with  Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for 
kings (butter, potatoes, et cetera). Whatever is happening to you",neutral,0.4942097067832947,4
Grillons,45.07128,4.326289,1067," to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex (I only saw Mr. T.). 
Sunday, January 17, 1943 
I got up at the strok",fear,0.8003001809120178,2
Grillons,45.07128,4.326289,1067,"Daniel Trocme, who then took me, and we had a very, very 
long walk through the night. And ultimately, I wound up in a, a stone 
farmhouse called Les Grillons, the crickets, French word for crickets. 
And there I found myself together with about 22 or 24 other kids, ranging 
in age from about six, seven, up",neutral,0.5214212536811829,4
Grillons,45.07128,4.326289,1067," the population at 
large. We were looked after and fed. And every so often, we would be told 
to suddenly leave the classroom or leave our home, Les Grillons, and go 
pick mushrooms. Go, everybody, into the woods. Later on we learned that 
when that happened, it was the result of an anonymous phone call to",fear,0.812681258,2
