LAT,LON,ALT,emotion_value,proportion,emotion_label,average_confidence_score,Childrens_Homes
45.05262,4.321041,959,4,0.42857142857142855,neutral,0.6269217623131615,Maison des Roches
45.05262,4.321041,959,2,0.35714285714285715,fear,0.6269217623131615,Maison des Roches
45.05262,4.321041,959,0,0.071428571,anger,0.6269217623131615,Maison des Roches
45.05262,4.321041,959,3,0.071428571,joy,0.6269217623131615,Maison des Roches
45.05262,4.321041,959,6,0.071428571,surprise,0.6269217623131615,Maison des Roches
45.05287,4.340592,1028,2,1,fear,0.30029502511024475,Côteau Fleuri
45.05561,4.289219,976,3,0.5555555555555556,joy,0.750578029,Le Faïdoli
45.05561,4.289219,976,2,0.1111111111111111,fear,0.750578029,Le Faïdoli
45.05561,4.289219,976,4,0.1111111111111111,neutral,0.750578029,Le Faïdoli
45.05561,4.289219,976,5,0.1111111111111111,sadness,0.750578029,Le Faïdoli
45.05561,4.289219,976,6,0.1111111111111111,surprise,0.750578029,Le Faïdoli
45.06056,4.311144,997,2,0.625,fear,0.7269197925925255,L'Abric
45.06056,4.311144,997,3,0.375,joy,0.7269197925925255,L'Abric
45.062374,4.312919,1006,2,0.39473684210526316,fear,0.6123028389717403,La Guespy
45.062374,4.312919,1006,4,0.2894736842105263,neutral,0.6123028389717403,La Guespy
45.062374,4.312919,1006,1,0.10526315789473684,disgust,0.6123028389717403,La Guespy
45.062374,4.312919,1006,6,0.078947368,surprise,0.6123028389717403,La Guespy
45.062374,4.312919,1006,0,0.052631579,anger,0.6123028389717403,La Guespy
45.062374,4.312919,1006,3,0.052631579,joy,0.6123028389717403,La Guespy
45.062374,4.312919,1006,5,0.026315789,sadness,0.6123028389717403,La Guespy
45.07128,4.326289,1067,2,0.49019607843137253,fear,0.5813669632462894,Les Grillons
45.07128,4.326289,1067,4,0.3137254901960784,neutral,0.5813669632462894,Les Grillons
45.07128,4.326289,1067,3,0.098039216,joy,0.5813669632462894,Les Grillons
45.07128,4.326289,1067,5,0.058823529411764705,sadness,0.5813669632462894,Les Grillons
45.07128,4.326289,1067,1,0.039215686,disgust,0.5813669632462894,Les Grillons
