Features,Context,label,score,label_numeric
village,", four days later, somebody came to get us and took us to a 
place. It's called Les Tavas, which is, there were maybe four farms. That 
was the whole village, four or five farms.

It was part of Le Chambon-sur-Lignon. And Le Chambon-sur-Lignon has 
become famous because a Frenchman named Pierre Sauvage mad",surprise,0.3703346252441406,6
village," lived in France as a refugee.  There were 
others who worked as student aids, an Austrian who had studied law, and 
other personnel who lived in the village.  The home operated from May to 
October.  Then we were able to open the second home, ""L'Abric.""  We had 
taken the name from the ""patois"" spoken in ",joy,0.40858930349349976,3
village,"the responsibility, 
chose the children, and so we had a fairly large center in Le Chambon-sur-Lignon.  
At the end we had around 200 children in the village. That was the situation. 

Now in 1942, the persecutions began, and we experienced them as well.  
There was a demonstration by the students from the",disgust,0.6996121406555176,1
village,"ontrol the children's 
papers.  They had a list of 72 people who were to be taken.  There were 
about 50 policemen in four trucks who had come to the village to take 
these people, and the first action was at our home.  That's where they 
looked for people; they checked the (house) personnel's papers and t",fear,0.7808495163917542,2
village,"e had to go back down and wait until he was 
able to telephone.  In the meantime, we prepared breakfast and then the 
citizenry (the friends from the village) came to our aid.  As a guest in 
a guest country, I had to be careful, and also for the Organization.  And 
that, all the help, so that some of thes",fear,0.4141608774662018,2
village," Philip, the later d'Ecole Minister of Interior.   
 
She was responsible for organizing this in Le Chambon-sur-Lignon and that 
was nice. The entire village worked together.  We did a little, but the 
citizenry participated and that pleased us.  It was a real experience. 
The police remained in the villag",joy,0.9534101486206055,3
village,"illage worked together.  We did a little, but the 
citizenry participated and that pleased us.  It was a real experience. 
The police remained in the village another four weeks.  They brought in 
police dogs to search the forests.  They threatened the two pastors, and 
the three aid organizations received ",fear,0.9063116908073425,2
village,"tain and 
held back somewhat and didn't want to show it openly, but there were 
definitely certain circles that we were wary of, a small part of the 
village. 

We had another way of staying together, my wife told of the children and 
their music.  We sang a lot in our homes. There was another 15 minutes o",fear,0.9043635129928589,2
village,"h meal.  This also gave the children courage and made 
them happy, just singing together.  We also participated in the Christmas 
celebrations in the village.  I myself conducted the village choir to 
some extent and also played the organ in the church at one time.  The 
chorus members were, for instance, ",joy,0.9730753302574158,3
village,"ren courage and made 
them happy, just singing together.  We also participated in the Christmas 
celebrations in the village.  I myself conducted the village choir to 
some extent and also played the organ in the church at one time.  The 
chorus members were, for instance, the butcher, the hardware store o",joy,0.9828145503997803,3
village,"ons, among the youth groups.  They were represented as 
groups and they celebrated Christmas as part of a group in the large 
church community in the village. 

There were further distinctions here.  The children who could go home 
also had many problems, but they always had a contact with their parents.  ",joy,0.8651986718177795,3
village,"s not officially 
connected with the Maquis.  I did have colleagues who were associated 
with the Maquis, who had connections, and also people in the village, and 
so I was able to convey this lady's wish, and that is how the connection 
was made, that she was able to get in touch with the Maquis leadershi",neutral,0.6246032118797302,4
village,"ting together, this working together took place and that was 
very special at this time. 

Yes, Dr. Forestier (Roger Le Forestier) was one of the two village 
doctors.  He had earlier worked with Albert Schweitzer in Africa.  He 
lived near us by the L'Abric home and we often had contact with him.  He 
was",neutral,0.32395315170288086,4
village,"im.  He died there, and that is 
the story of Dr. Forestier.  I happened to be there because I spoke 
German. I was also otherwise called upon in the village, later, when the 
German prisoners were nearby, and I often accompanied Pastor Trocmé in 
the military hospital, sometimes as interpreter, sometimes ",sadness,0.6516391038894653,5
village,"mbon-sur-Lignon 
with a small tank group, and already they had begun shooting at 
houses.  We worried about the children, and we got together in the 
village, what should we do?  I still remember the date, it was July 9, 
1944.  We decided to designate Le Chambon-sur-Lignon as an open city for 
children.  ",fear,0.936111331,2
village,"he window, a sheet so that it could be seen from another area and know: 
'Aha, something is going on again.' After a time, we also had help from 
the village.  As I recall, a control group came one afternoon at 1:30, 
but the city council's office had already sent a young man to me at 12:30 
with a note  s",fear,0.9292292,2
village,"cs at 
Wesleyan, and who wrote the first book on this little town.

At the time, I imagine my parents didn't know that much about the fact 
that this village was going to be so, quote, heroic. But it was a very 
pretty area, and in fact, it was, it had a Quaker influence because it 
had a college, Collège ",fear,0.38988161087036133,2
village,"follow, follow us, follow me. My parents' farm has a place above 
it, which is available. So we did, and three kilometers away from this 
little tiny village was this set of about three or four houses, farms, 
including the farm of a young girl named Yvonne. And we took, my parents 
took one look at this a",neutral,0.6092582941055298,4
village,"ies, refugees from Paris, who 
also were there, and kids. And I remember that almost every day, I was 
visited by some of these kids who lived in the village, Jewish girls, to 
play Monopoly.

We played Monopoly almost every day. And I didn't really like that girl 
that she knew, I didn't like her, but she",disgust,0.48710694909095764,1
village,"fer place than 
where she was, and her parents must have said, you go play with Michele.  
So, because we were sort of three kilometers away from the village, we 
felt pretty secure. 

And it was, for me, a curious life. I was by then, you know, I was 10, 
11, 12, very grown up for my age, as you can imagi",fear,0.46706199645996094,2
village,"space. But we 
were too happy to have it. 

One time, yes, there were a couple of crises, at some point.  There were 
rarely Germans up there in that village, for some reason, even after all 
of France was occupied there were not very many. Those who were there 
were more wounded, who were recuperating. So",joy,0.946379542,3
village,"d, 
so we came back to the farm. Nothing happened. The Germans didn't go as 
far as we were. But they did scare some friends of ours who were in the 
village. I don't think, they may even have arrested someone. But there 
was a moment there, where things were quite rough. But, so we were there 
on holidays",fear,0.9600728750228882,2
village,"so beautiful. So the, and so we are 
there. And, on the, I guess my mother wasn't there, when the Americans 
land in Normandy, I hear about it in the village while I'm queuing up for 
bread. And, you know, I'm almost 12, and I'm very mature, and I'm very 
excited. And I take my bike and I hurry back to the",joy,0.45395857095718384,3
village,"nt of Haute Loire in the Massif Central had come up already. 
There was already some discussion there whether to send me to a school 
that was in the village. Then, now in late November, early December, this 
became a more pressing question for the people looking after me and the 
decision was taken, to mo",fear,0.8289122581481934,2
village," a 
man named Daniel Trocme. He was the cousin, I believe, or the nephew, I'm 
not sure, as I explained earlier about relations of the pastor of the 
village, Andre Trocme, and we had a long long walk in a cold night and 
wound up finally in a house, in an old stone house called Les Grillons, 
which was a ",fear,0.5307848453521729,2
village,"s our shepherd who looked after us. He 
was a younger man, he was probably in his twenties, mid- to late 
twenties. He looked after us and the entire village of Le Chambon-sur-Lignon 
really is the full detail, as I didn't become aware of until a few 
years ago, of ten to fifteen years ago, but the entire ",fear,0.5046274065971375,2
village," of Le Chambon-sur-Lignon 
really is the full detail, as I didn't become aware of until a few 
years ago, of ten to fifteen years ago, but the entire village apparently 
was a conspiracy to protect people and the people in that village are 
about 90-percent Protestants, fundamentalist and people who, as th",fear,0.372037411,2
village," of until a few 
years ago, of ten to fifteen years ago, but the entire village apparently 
was a conspiracy to protect people and the people in that village are 
about 90-percent Protestants, fundamentalist and people who, as they put 
it, lived the Bible, lived by the Bible and their pastor gave them the",neutral,0.34745845198631287,4
