Features,Context,label,score,label_numeric
village,"e me suis retrouvé 
au Chambon-sur-Lignon grâce à l'action des protestants du Chambon-sur-Lignon 
du pasteur Trocmé du Chambon-sur-Lignon ainsi que de la CIMADE 
j'ai eu donc une chance extraordinaire de me retrouver dans un village 
protestant j'avais pour bagage une culotte courte et beaucoup d'angoisse 
car de nouveau j'étais séparé de ma mère je ne savais pas ce qu'elle 
allait devenir mais j'étais là avec mon frère.  Donc j'ai eu une chance 
extrao",joy,0.9898568391799927,3
village,"des rafles au Chambon-sur-Lignon 
on m'a protégé personne ne m'a jamais demandé si j'étais juif 
personne ne m'a demandé de pratiquer une quelconque religion bien que 
j'ai vécu parmi les hommes de la Bible j'ai vécu dans un village de la 
France profonde un village de 1500 habitants où beaucoup de gens 
habitaient dans des petites fermes les animaux les bêtes et les paysans 
n'étaient pratiquement pas séparés ou par un petit mur ces gens lisaient 
la B",anger,0.8152734637260437,0
village,"on m'a protégé personne ne m'a jamais demandé si j'étais juif 
personne ne m'a demandé de pratiquer une quelconque religion bien que 
j'ai vécu parmi les hommes de la Bible j'ai vécu dans un village de la 
France profonde un village de 1500 habitants où beaucoup de gens 
habitaient dans des petites fermes les animaux les bêtes et les paysans 
n'étaient pratiquement pas séparés ou par un petit mur ces gens lisaient 
la Bible et savaient ce qui signifie l",neutral,0.9552455544471741,4
village," les bêtes et les paysans 
n'étaient pratiquement pas séparés ou par un petit mur ces gens lisaient 
la Bible et savaient ce qui signifie le mot hebreu et j'étais pour eux 
non pas un juif mais un hebreu persécuté le chef du village le leader du 
village l'inspirateur du mouvement de la protection des juifs le pasteur 
Trocmé André Trocmé sa femme Magda Trocmé m'ont jugé apte d'aller au 
collège Cévenol c'est déjà extraordinaire qu'il y avait un collège",neutral,0.37914371490478516,4
village,"ans 
n'étaient pratiquement pas séparés ou par un petit mur ces gens lisaient 
la Bible et savaient ce qui signifie le mot hebreu et j'étais pour eux 
non pas un juif mais un hebreu persécuté le chef du village le leader du 
village l'inspirateur du mouvement de la protection des juifs le pasteur 
Trocmé André Trocmé sa femme Magda Trocmé m'ont jugé apte d'aller au 
collège Cévenol c'est déjà extraordinaire qu'il y avait un collège c'est 
à dire une éco",neutral,0.43922337889671326,4
village," des juifs le pasteur 
Trocmé André Trocmé sa femme Magda Trocmé m'ont jugé apte d'aller au 
collège Cévenol c'est déjà extraordinaire qu'il y avait un collège c'est 
à dire une école privée d'enseignement secondaire dans un village de 1500 
habitants à la limite de la Haute-Loire et de l'Ardèche et c'est ainsi 
que j'ai pu continuer de suivre les études alors qu'il s'agissait d'une 
école privée payante et j'ai eu la chance de voir ma mère libérée du c",joy,0.9796549677848816,3
village," elle est arrivée au Chambon-sur-Lignon où 
elle a vécu des petits boulots pendant que moi j'étais dans ce petit 
homme homme d'enfant et les protestants ont reçu des aides et des secours 
du Secours Suisse aux enfants et ce village a pu ainsi nous nourrir nous 
habiller et nous instruire mon frère allait à l'école primaire du village 
ou ce qu'on appelait ensuite le cours complémentaire les années ont passé 
très vite nous avons vécu là bas, la libérat",joy,0.8689134120941162,3
village,"ce petit 
homme homme d'enfant et les protestants ont reçu des aides et des secours 
du Secours Suisse aux enfants et ce village a pu ainsi nous nourrir nous 
habiller et nous instruire mon frère allait à l'école primaire du village 
ou ce qu'on appelait ensuite le cours complémentaire les années ont passé 
très vite nous avons vécu là bas, la libération j'ai passé mon bac encore 
dans la France occupée je suis allé passer mon bac au Puy en vélo j'ai 
l",joy,0.5238060355186462,3
village,"t parvenir une lettre par des amis, en disant qu'on 
pouvait venir là, que c'était tranquille. Alors, on a décidé de partir 
là, à Fay-sur-Lignon. On a tout laissé.

Alors, nous sommes donc partis en mars 1943, dans un petit village. 

Alors, nous sommes, la famille s'est scindée en deux, parce que mon père 
et ma mère voulaient d'abord aller à Nice, je ne sais pas pourquoi, mais 
ils voulaient rassembler leurs papiers, un peu d'argent aussi, pour que 
",neutral,0.936415434,4
village," fallait 
trouver un logement, s'organiser. Au bout de quelques temps, mes parents 
sont arrivés aussi.

Enfin, ils nous ont rejoints. Et là, alors, on a cherché une maison. 

Et on a trouvé une petite maison sur la place du village, la place du 
marché. Et notre vie s'est organisée. Alors, moi, j'avais donc quitté la 
philo en plein milieu d'année. 

Enfin, au mois de mars. Je ne me suis pas occupée de finir cette année-là 
ma philo. Je suis allée... O",neutral,0.85187006,4
