Features,emotion_value,proportion,emotion_label,average_confidence_score
Gorges,4,0.6,neutral,0.729461419582367
Gorges,5,0.4,sadness,0.729461419582367
Vallées,4,1.0,neutral,0.7595696151256561
appartement,4,0.8260869565217391,neutral,0.8941675761471624
appartement,3,0.13043478260869565,joy,0.8941675761471624
appartement,5,0.043478260869565216,sadness,0.8941675761471624
arbre,3,1.0,joy,0.9851826429367065
arbres,3,0.5,joy,0.9039428234100342
arbres,4,0.5,neutral,0.9039428234100342
bibliothèque,4,1.0,neutral,0.7979568839073181
bois,4,0.5,neutral,0.8048415062102404
bois,3,0.2727272727272727,joy,0.8048415062102404
bois,5,0.18181818181818182,sadness,0.8048415062102404
bois,6,0.045454545454545456,surprise,0.8048415062102404
bureau,5,0.6666666666666666,sadness,0.6511433720588684
bureau,3,0.3333333333333333,joy,0.6511433720588684
camion,4,1.0,neutral,0.9495576858520508
camions,4,0.6666666666666666,neutral,0.8185487389564514
camions,5,0.3333333333333333,sadness,0.8185487389564514
camp,5,0.5,sadness,0.7620250821113587
camp,4,0.4,neutral,0.7620250821113587
camp,3,0.1,joy,0.7620250821113587
camps,5,1.0,sadness,0.9413761794567108
camps de concentration,5,1.0,sadness,0.782139003276825
carrière,4,1.0,neutral,0.7177616357803345
caserne,4,1.0,neutral,0.9467287063598633
champ,4,1.0,neutral,0.939332107702891
champs,4,1.0,neutral,0.9159629344940186
chemin de fer,4,1.0,neutral,0.8777053753534952
château,4,1.0,neutral,0.9858869910240173
cirque,4,1.0,neutral,0.7518651485443115
colline,0,0.5,anger,0.7639489471912384
colline,3,0.5,joy,0.7639489471912384
collines,4,1.0,neutral,0.9588489532470703
collège,4,0.575,neutral,0.8303619712591171
collège,3,0.275,joy,0.8303619712591171
collège,5,0.125,sadness,0.8303619712591171
collège,0,0.025,anger,0.8303619712591171
commissariat de police,0,1.0,anger,0.6172502338886261
couloir,4,1.0,neutral,0.964329183101654
cour,3,0.5,joy,0.9652526378631592
cour,5,0.5,sadness,0.9652526378631592
côte,4,0.5,neutral,0.9218881726264954
côte,5,0.3333333333333333,sadness,0.9218881726264954
côte,3,0.16666666666666666,joy,0.9218881726264954
désert,4,1.0,neutral,0.5057528614997864
ferme,4,0.7446808510638298,neutral,0.8412804895258964
ferme,5,0.1702127659574468,sadness,0.8412804895258964
ferme,3,0.0851063829787234,joy,0.8412804895258964
fermes,4,0.5625,neutral,0.771463418379426
fermes,5,0.4375,sadness,0.771463418379426
fort,3,0.5,joy,0.8605950474739075
fort,4,0.25,neutral,0.8605950474739075
fort,5,0.25,sadness,0.8605950474739075
forêt,4,0.7777777777777778,neutral,0.8671938081582388
forêt,5,0.16666666666666666,sadness,0.8671938081582388
forêt,6,0.05555555555555555,surprise,0.8671938081582388
forêts,3,1.0,joy,0.9877002239227295
frontière,5,1.0,sadness,0.759231686592102
gare,4,0.5,neutral,0.8742634455362955
gare,3,0.3333333333333333,joy,0.8742634455362955
gare,5,0.16666666666666666,sadness,0.8742634455362955
hôtel,4,0.6451612903225806,neutral,0.7815037638910355
hôtel,5,0.25806451612903225,sadness,0.7815037638910355
hôtel,0,0.0967741935483871,anger,0.7815037638910355
hôtels,4,1.0,neutral,0.9664386510848999
jardin,4,1.0,neutral,0.6734609156847
mairie,4,0.5454545454545454,neutral,0.7310452352870594
mairie,5,0.45454545454545453,sadness,0.7310452352870594
maison,4,0.6964285714285714,neutral,0.8320318045360702
maison,3,0.10714285714285714,joy,0.8320318045360702
maison,5,0.08928571428571429,sadness,0.8320318045360702
maison,0,0.07142857142857142,anger,0.8320318045360702
maison,6,0.03571428571428571,surprise,0.8320318045360702
maisons,4,1.0,neutral,0.8326901112283979
marche,5,1.0,sadness,0.5153921842575073
marches,3,1.0,joy,0.6357301473617554
marché,4,0.8,neutral,0.9713008403778076
marché,3,0.2,joy,0.9713008403778076
montagne,4,0.75,neutral,0.8626928627490997
montagne,5,0.25,sadness,0.8626928627490997
mur,4,1.0,neutral,0.7077812353769938
place du village,4,1.0,neutral,0.8134574890136719
plage,4,0.75,neutral,0.9163589477539062
plage,5,0.25,sadness,0.9163589477539062
plateau,4,1.0,neutral,0.9343207478523254
pont,4,1.0,neutral,0.9854671359062195
ponts,4,1.0,neutral,0.9444258809089661
portes,4,1.0,neutral,0.7356021776795387
prison,5,1.0,sadness,0.9140380620956421
restaurant,4,0.5,neutral,0.7934371829032898
restaurant,5,0.5,sadness,0.7934371829032898
rivière,4,1.0,neutral,0.8999605536460876
rivières,4,1.0,neutral,0.859481930732727
route,4,0.7,neutral,0.8092638328671455
route,5,0.2,sadness,0.8092638328671455
route,6,0.1,surprise,0.8092638328671455
routes,4,0.7,neutral,0.805550217628479
routes,5,0.3,sadness,0.805550217628479
réservoir,4,1.0,neutral,0.98165363073349
réservoirs,5,1.0,sadness,0.8602616786956787
stade,5,1.0,sadness,0.7144643366336823
temple,4,0.6363636363636364,neutral,0.7873587499965321
temple,3,0.18181818181818182,joy,0.7873587499965321
temple,5,0.18181818181818182,sadness,0.7873587499965321
terrasse,4,0.5,neutral,0.784352034330368
terrasse,5,0.5,sadness,0.784352034330368
théâtre,3,0.6666666666666666,joy,0.9824142654736837
théâtre,4,0.3333333333333333,neutral,0.9824142654736837
tombe,5,1.0,sadness,0.9578715562820435
train,4,0.56,neutral,0.8443579113483429
train,2,0.16,fear,0.8443579113483429
train,5,0.16,sadness,0.8443579113483429
train,3,0.12,joy,0.8443579113483429
trains,5,0.6666666666666666,sadness,0.9679950873057047
trains,3,0.3333333333333333,joy,0.9679950873057047
université,4,1.0,neutral,0.6851903796195984
vallée,4,1.0,neutral,0.9502495527267456
vallées,4,1.0,neutral,0.7595696151256561
village,4,0.6818181818181818,neutral,0.8359919844025915
village,5,0.17045454545454544,sadness,0.8359919844025915
village,3,0.09090909090909091,joy,0.8359919844025915
village,0,0.03409090909090909,anger,0.8359919844025915
village,2,0.011363636363636364,fear,0.8359919844025915
village,6,0.011363636363636364,surprise,0.8359919844025915
voiture,5,0.6,sadness,0.7665021896362305
voiture,4,0.3,neutral,0.7665021896362305
voiture,3,0.1,joy,0.7665021896362305
voitures,4,1.0,neutral,0.8177292943000793
école,4,0.6233766233766234,neutral,0.8581687413252793
école,5,0.2077922077922078,sadness,0.8581687413252793
école,3,0.12987012987012986,joy,0.8581687413252793
école,0,0.03896103896103896,anger,0.8581687413252793
écoles,4,1.0,neutral,0.9768639206886292
église,4,0.8571428571428571,neutral,0.7816217839717865
église,5,0.14285714285714285,sadness,0.7816217839717865
