other_French_Locations,LAT,LON,ALT,Context,label,score,label_numeric
Annemasse,46.19439,6.23775,441,"der, where they left me. And from there I went to a 
monastery, which I don't recall where it was. It was, everything was done 
at night. It was near Annemasse.

The arrangement must have been through Pastor Trocme, I'm pretty sure, 
because he was very well known in the area. Oh, they knew I was coming.  
T",fear,0.7074156999588013,2
Annemasse,46.19439,6.23775,441,"nd, a man was found very close to the 
Swiss border who would literally take me across the border. I made my way 
alone from Le Chambon-sur-Lignon to Annemasse. Mr. Bohny happened to be 
on the train when I left the next village. I did not board the train in 
Le Chambon-sur-Lignon. I  boarded the train in Te",fear,0.969937801,2
Annemasse,46.19439,6.23775,441," you could not 
get an exit visa, that was futile. So they arranged for a guide but that 
man said I had to make my way from Le Chambon-sur-Lignon to Annemasse 
outside of Annemasse on my own, which I did. All alone, I had no one to 
go with me. I did the whole thing. I had false papers. 
﻿I am Max Karl Lieb",anger,0.44821619987487793,0
Annemasse,46.19439,6.23775,441," exit visa, that was futile. So they arranged for a guide but that 
man said I had to make my way from Le Chambon-sur-Lignon to Annemasse 
outside of Annemasse on my own, which I did. All alone, I had no one to 
go with me. I did the whole thing. I had false papers. 
﻿I am Max Karl Liebmann. I was born in Ma",anger,0.4344070255756378,0
Camp de Gurs,43.27376,-0.74031,186,"etely changed.  
 
I didn't know about their plans at all. One day, however, Mother Trocmé 
told me that they intended to have children come from the Camp de Gurs 
and that when they are in Le Chambon-sur-Lignon, they would want me to go 
there in, into the same house to help with the children because the 
chil",fear,0.5351772308349609,2
Camp de Gurs,43.27376,-0.74031,186," with what we got. We didn't go hungry, that's for sure.  The farmers were 
very good to the Jews there. 
﻿Well, this comes, the, in, in the camp, in Camp de Gurs, it was, it 
didn't really matter. So in, sometime in September of 1942, a woman came 
to see my parents. We visited, my mother came over to visit us",neutral,0.3656860589981079,4
Camp de Gurs,43.27376,-0.74031,186,"her. It must have been about 300, 400 acres of land. 
And she had tremendous apple orchards in her garden. And so she invited us 
down, us seven from Camp de Gurs, and to pick apples. It was around apple 
picking time. And she told us, I still see her there in front of us. She 
says, children, you cannot eat th",fear,0.24703902006149292,2
Camp de Gurs,43.27376,-0.74031,186,"o we all, we 
all packed up and went, and all took a big bag of potatoes and carried them 
to his house. 
But I always have to say, when I got out of Camp de Gurs, into this village, 
I only weighed about 80, 90 pounds. And I was really skinny. I was like a 
string bean. But anyhow, then in, then they started a",fear,0.32551154494285583,2
Camp de Gurs,43.27376,-0.74031,186,"ed my name. And, so I 
said, here I am. And they said, well, you're too young. You go. Then they called 
my brother's name out. They took him back to Camp de Gurs. 
But meanwhile, and some other names were called. And some of them were half 
Jewish. Some of them were non-Jewish. And so it was myself and one hal",neutral,0.5156848430633545,4
Camp de Gurs,43.27376,-0.74031,186,", there's a film 
that has been made by Pierre Sauvage named Weapons of the Spirit. 
This is the picture where the seven of us children who came from Camp de Gurs to 
Le Chambon-sur-Lignon. This is also at the home of the Swiss Red Cross. We were, this was 
haven for us, because they got us out of Camp de Gurs.",neutral,0.7788001894950867,4
Camp de Gurs,43.27376,-0.74031,186," Camp de Gurs to 
Le Chambon-sur-Lignon. This is also at the home of the Swiss Red Cross. We were, this was 
haven for us, because they got us out of Camp de Gurs. The lady in the middle is 
Mademoiselle Usach who was the directress of the home. She was a Spanish citizen at 
the time. And she's the one, she cam",neutral,0.8000590801239014,4
Camp de Gurs,43.27376,-0.74031,186,"s village. They did a lot 
of good for all these Jewish people, who were hidden for so many years. ﻿My name is Jack J Lewin. 

From there, we went to Camp de Gurs, no to Camp Saint-Cyprien, which was 
on the southern part of France, on the Mediterranean. My mother went to 
Gurs. My brother myself went to Saint-",fear,0.48710960149765015,2
Camp de Gurs,43.27376,-0.74031,186,"brother myself went to Saint-Cyprien. we stayed there for about 
six to eight months. I don't recall the exact time, and then we were all 
shipped to Camp de Gurs, which was an internment camp during the Spanish 
Civil War, for Spaniards, for Spanish refugees, and then all the Jewish 
people from Palatinate and",fear,0.47196027636528015,2
Camp de Gurs,43.27376,-0.74031,186," 
Civil War, for Spaniards, for Spanish refugees, and then all the Jewish 
people from Palatinate and Baden came from Germany and were deported into 
Camp de Gurs. In Camp de Gurs, I stayed approximately 10, 11 months, I 
don't recall, and a lady came to ask my parents at the time if they would 
like to send a ",fear,0.7365735173225403,2
Camp de Gurs,43.27376,-0.74031,186,"Spaniards, for Spanish refugees, and then all the Jewish 
people from Palatinate and Baden came from Germany and were deported into 
Camp de Gurs. In Camp de Gurs, I stayed approximately 10, 11 months, I 
don't recall, and a lady came to ask my parents at the time if they would 
like to send a child to a little",fear,0.5165821313858032,2
Camp de Gurs,43.27376,-0.74031,186,"sur-Lignon, Le Chambon-sur-Lignon in the Haute-Loire. And my parents 
naturally said yes, and they consulted with me, and I wanted to go. This 
camp, Camp de Gurs, was, this was very bad. We had, we didn't have enough 
food. At the beginning, it was under the control of the French. But then 
when Germany occupi",disgust,0.329159677,1
