other_French_Locations,LAT,LON,ALT,Context,label,score,label_numeric
camp de Gurs,43.27376,-0.74031,186,". Et nous étions tout à fait informés 
de ce qui se passait et nous avions la conscience de l'évolution de la 
guerre. Je voudrais à ce sujet vous raconter deux faits qui m'ont marqué.

Août 1942, la déportation des juifs du camp de Gurs. Nous l'avons su 
immédiatement. Le Chambon-sur-Lignon et tous les enfants juifs qui 
avaient encore des parents à Gurs, et même ceux qui n'en avaient pas, je 
me souviens, autour de moi, c'était comme une ruche d'abeilles.
",sad,0.8595706820487976,5
camp de Gurs,43.27376,-0.74031,186,"r-Lignon, et c'est quelque chose que je 
n'oublierai jamais, il a eu un mot très malheureux pour les enfants. Il a 
dit à mes petits amis, à mes petits camarades d'origine allemande qui 
étaient affolés par la déportation du camp de Gurs, sans qu'on sache 
exactement qu'il s'agissait de la Shoah, mais qu'on pressentait le 
danger. Il a dit, messieurs, mesdemoiselles, gardez votre sérénité.

Ça m'a paru quelque chose de... Kafkaïen. La sérénité, c'est un mot ",sad,0.9864874482154846,5
camp de Gurs,43.27376,-0.74031,186,"it aussi, donc, au même endroit, ce même village de 
Tence, il n'y a plus de canton, qu'il y avait un camp où se trouvaient 
des réfugiés juifs, pas des réfugiés, des réfugiés juifs allemands, qui 
avaient été envoyés par le camp de Gurs pour se refaire une santé.

Et en général, c'était des Juifs allemands qui étaient des vieilles 
personnes qui se sont retrouvées dans cet endroit. Et c'était un lieu-là 
qui s'appelait La Papeterie. Et ce camp, je crois, a ",neutral,0.6697468757629395,4
Drancy,48.92583,2.44528,47,"agiste. Un garagiste qui s'appelait 
monsieur Exbraia.

Et maman lui a dit est-ce que vous pourriez aller à Paris, puisque vous 
n'êtes pas contrôlé en tant que juif, est-ce que vous pourriez aller à 
Paris porter un colis à Drancy, à mon mari et ce monsieur très gentiment. 
Il était charbonnier de son métier et garagiste. Donc il voyageait pas 
mal et il s'est chargé d'un énorme colis.

Il n'a pas pu voir mon père et mon frère mais il a pu leur porter",neutral,0.9640871286392212,4
Drancy,48.92583,2.44528,47,"i les ont emmenés au Puy par la suite j'ai pu savoir que ces deux 
frères avaient pu s'évader et en plus ils avaient pu faire la preuve que 
leur mère n'était pas juive ce qui fait qu'ils n'ont pas été envoyés 
directement à Drancy mais qu'ils avaient été d'abord emprisonnés au Puy 
ensuite il y avait un monsieur aussi qui était là qui s'appelait Reis qui 
était originaire de Nuremberg sa femme c'était une chrétienne une blonde 
on voyait tout de suite",neutral,0.8743290305137634,4
Dunière,44.82313,4.65988,151,"lors, en tout cas de Saint-Étienne, oui, on y accédait. C'est 
extraordinaire que tu poses la question. Parce qu'il y a un personnage 
important qui était le train.

Donc, on prenait la ligne normale de Saint-Étienne jusqu'à Dunière, une 
petite ville, Dunière. Et là, on changeait à Dunière. Et on prenait un 
train, si on appelle ça un train, petite ligne de campagne, qui 
rejoignait Dunière à.

Il allait jusqu'à Saint-André, je crois. Bon, combien de t",neutral,0.9597028493881226,4
Dunière,44.82313,4.65988,151,"tienne, oui, on y accédait. C'est 
extraordinaire que tu poses la question. Parce qu'il y a un personnage 
important qui était le train.

Donc, on prenait la ligne normale de Saint-Étienne jusqu'à Dunière, une 
petite ville, Dunière. Et là, on changeait à Dunière. Et on prenait un 
train, si on appelle ça un train, petite ligne de campagne, qui 
rejoignait Dunière à.

Il allait jusqu'à Saint-André, je crois. Bon, combien de temps ça durait, 
je ne sais ",neutral,0.9377532601356506,4
Dunière,44.82313,4.65988,151,"st 
extraordinaire que tu poses la question. Parce qu'il y a un personnage 
important qui était le train.

Donc, on prenait la ligne normale de Saint-Étienne jusqu'à Dunière, une 
petite ville, Dunière. Et là, on changeait à Dunière. Et on prenait un 
train, si on appelle ça un train, petite ligne de campagne, qui 
rejoignait Dunière à.

Il allait jusqu'à Saint-André, je crois. Bon, combien de temps ça durait, 
je ne sais plus. Ça pouvait durer 2 heures",neutral,0.97505784,4
Dunière,44.82313,4.65988,151,"n.

Donc, on prenait la ligne normale de Saint-Étienne jusqu'à Dunière, une 
petite ville, Dunière. Et là, on changeait à Dunière. Et on prenait un 
train, si on appelle ça un train, petite ligne de campagne, qui 
rejoignait Dunière à.

Il allait jusqu'à Saint-André, je crois. Bon, combien de temps ça durait, 
je ne sais plus. Ça pouvait durer 2 heures ou 3 jours, parce que c'est un 
train qui brinc-balait, qui n'avait plus de vitre.

C'est le vieux tra",neutral,0.8387588858604431,4
Etienne,45.43389,4.39,529,"uifs qui étaient persécutés. Très vite, 
les juifs sont arrivés, ça s'est su de bouche à oreille.

C'est comme ça que je me suis retrouvé en Noël, je m'en souviens très 
bien. Je suis monté avec ma mère, en passant par Saint-Etienne, en 
changeant de train, parce que les transports étaient très lents, très 
inconfortables. Nous avons passé la nuit dans une chambre, dans un hôtel 
du Chambon-sur-Lignon.

Et le lendemain, ma mère m'a amené chez une instit",sad,0.629909873,5
Etienne,45.43389,4.39,529,"c, il a arrêté de faire caca au lit, parce qu'il savait que j'allais 
venir le dimanche lui donner une fessée, je pense que par la suite, ça a 
dû tourner dans sa tête.


﻿Mon nom est donc Serge Nelken, et je suis né à Saint-Etienne, le 4 juin 
1924.

Et puis, ce qui a eu une importance après pour notre destinée, à partir 
de 1937, nous sommes allés en vacances dans des villages de Haute-Loire. 
Le premier village était Montfaucon, et puis en 1938, un a",neutral,0.9289391040802002,4
Etienne,45.43389,4.39,529,"s un dimanche où 
nous nous promenions dans notre village. Nous avons rencontré, enfin mon 
père a rencontré sa petite cousine qui était venue en vélo avec son mari 
et puis sa belle-soeur plus un ami.

Ils venaient de Saint-Etienne pour passer le dimanche sur place. Donc 
nous nous avons rencontré et quand la situation est devenue difficile 
pour les juifs en ville donc la petite cousine de mon père est venue 
aussi résider avec nous dans cet endroit, ",neutral,0.9585778713226318,4
Etienne,45.43389,4.39,529,"n ce bâton sur nos épaules et le pain se trouvant ce qui 
nous est aussi arrivé donc c'est que cette gouvernante qui était chez 
nous eu beaucoup de problèmes de santé elle avait été opérée d'abord une 
première fois à Saint-Etienne une deuxième fois elle était opérée à Lyon 
puis finalement elle est revenue dans un état épouvantable et ce qui fait 
qu'on a logé donc elle est venue loger chez nous avec nous parce qu'elle 
pouvait plus s'occuper de ma so",sad,0.9706374406814575,5
Etienne,45.43389,4.39,529,"la route du Chambon-sur-Lignon 
donc de là où nous étions on avait une vue complète sur cette route j'ai 
vu passer les troupes en défilé constant qui descendait en direction de 
Tence et ensuite après ils allaient sur Saint-Etienne et Riom et pour 
nous je dirais c'était un soulagement et c'était un soulagement je dirais 
à plus d'un titre parce que plusieurs fois nous avons eu des alertes dans 
ce petit hameau où nous étions. Une fois on était venu no",fear,0.4665273129940033,2
Etienne,45.43389,4.39,529,"er d'obtenir quelque chose 
parce que à l'époque les paysans c'était des gens très gâtés comme il 
fallait des tickets d'alimentation pour tout ce qu'on voulait manger et 
les gens des villes venaient aussi des gens de Saint-Etienne les gens de 
Lyon venaient s'approvisionner sur place et en général ils faisaient ce 
qu'on appelle du troc ils apportaient des objets et quand il y avait des 
gens qui travaillaient dans des usines ils apportaient des produ",neutral,0.9733638167381287,4
Etienne,45.43389,4.39,529,"ne circulait pas tout le temps, 
qui circulait une fois le matin, une fois le soir.

Et les horaires, ce n'étaient pas des horaires très fixes, parce qu'il y 
avait une délimination qui était considérable, il allait de Saint-Etienne 
jusqu'à un endroit qui s'appelle Lamastre, et donc il fallait attendre 
qu'il passe. Et mon frère, qui était né au mois de février, donc devait 
faire sa bar mitzvah aux environs du mois de février. Et pour son 
apprentissa",neutral,0.9607642889022827,4
Etienne,45.43389,4.39,529,"contre les autres.

Et donc, il allait revendre en même temps que cette lingerie. Voilà, donc 
moyen de subsistance. Et puis donc, il allait travailler d'autres gens.

Et ensuite, il avait trouvé, acheté de la pluche à Saint-Etienne. Et il a 
commencé à faire des petits animaux en pluche aussi. 

Il y a une autre personne dont sa mère est morte sur place. Il y avait eu 
plusieurs juifs comme ça qui sont morts sur place pendant la guerre. Et à 
l'époque,",neutral,0.7158707976341248,4
Etienne,45.43389,4.39,529," aussi quelque chose qui m'a beaucoup marqué, quelque 
chose de complètement imbécile, et surtout je dirais de la part d'un 
juif, ou d'une juive en l'occurrence. Bon, ça c'était ce qui s'est passé 
sur place. 

﻿Mon nom est Etienne Weil, je suis né le 1er février 1937 à Lille dans le 
nord.

Donc il fallait nous éloigner, en tout cas mon frère et moi, nous 
éloigner à nouveau de Saint-Etienne. Or, c'est dans ce jardin d'enfants 
qui était tenu par une ",sad,0.935153067,5
