LAT,LON,ALT,emotion_value,proportion,emotion_label,average_confidence_score,Plateau_Locations
44.985435,4.226421,1181,4,1,neutral,0.5274400313695272,Fay-sur-Lignon
45.010014,4.3950486,1066,4,0.6666666666666666,neutral,0.46929561098416644,Saint-Agrève
45.010014,4.3950486,1066,2,0.3333333333333333,fear,0.46929561098416644,Saint-Agrève
45.04719,4.2447343,1027,4,0.75,neutral,0.5579166207462549,Le Mazet-Saint-Voy
45.04719,4.2447343,1027,2,0.25,fear,0.5579166207462549,Le Mazet-Saint-Voy
45.051365,4.33872,1005,4,1,neutral,0.6854147911071777,Les Tavas
45.0535,4.28556,1002,4,1,neutral,0.24490678310394287,La Fayolle
45.06081,4.302941,961,2,0.5165394402035624,fear,0.6017907183361417,Le Chambon-sur-Lignon
45.06081,4.302941,961,4,0.25572519083969464,neutral,0.6017907183361417,Le Chambon-sur-Lignon
45.06081,4.302941,961,3,0.11577608142493638,joy,0.6017907183361417,Le Chambon-sur-Lignon
45.06081,4.302941,961,6,0.038167939,surprise,0.6017907183361417,Le Chambon-sur-Lignon
45.06081,4.302941,961,0,0.03307888,anger,0.6017907183361417,Le Chambon-sur-Lignon
45.06081,4.302941,961,5,0.029262086513994912,sadness,0.6017907183361417,Le Chambon-sur-Lignon
45.06081,4.302941,961,1,0.011450381679389313,disgust,0.6017907183361417,Le Chambon-sur-Lignon
45.09567,4.2050915,1043,4,1,neutral,0.41925665736198425,Saint-Jeures
45.116135,4.289156,849,2,0.75,fear,0.7142496407032013,Tence
45.116135,4.289156,849,4,0.25,neutral,0.7142496407032013,Tence
