toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Gers,,0.0,0.0,neutral,0.0,,0,4
Auch,Auch,43.646245,0.584879,neutral,0.85,"And in due time, I was given a 
French identity card with the name of Pierre Fesson. I kept my same birth 
date, but I was told that my place of birth was Auch, Gers, where I last 
lived with my parents. 
What kinds of contact, if any, did you ever have with either the 
resistance or with any of the, the groups that were attempting to fight 
the Germans from within France? 
The only contact, or the first contact, if you will, were in Le Chambon.",375,4
Le Chambon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.7,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
w",512,4
France,France,46.603354,1.888334,neutral,0.65,"At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there.",370,4
Marseilles,Marseille,43.296482,5.36978,neutral,0.7,"Friday, January 15, 1943 
We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de 
France] arrived.",447,4
Eastern Europe,Eastern Europe,54.0,25.0,sadness,0.92,"And it was the biggest tragedy of that time was to have those people who came from Eastern Europe and escaped to France. And France was the haven. I mean, they thought nothing could happen to them when they got to France. They didn't realize that they would be picked up there just as well as they could have been in Germany or in Hungary or in Romania or anywhere else.",415,5
Le Chambon sur Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,joy,0.93,"Mrs. B. told me that she received a telegram from Mr. Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in luck. I quickly packed my suitcases so as to be able to leave early Saturday at 7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. Saturday, January 16, 1943 [ Le Chambon sur Lignon] I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m.",554,3
Lavoulte bridge,Le Pouzin–La Voulte-sur-Rhône Bridge,44.7967,4.7746,neutral,0.72,"I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night.",373,4
Germany,Germany,51.165691,10.451526,sadness,0.93,"they didn't realize that they would be picked up there just as well as they could have been in Germany or in Hungary or in Romania or anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language. And if they spoke the language a little, they 
had a terrible accent. So they were immediately denounced. 
And the children were usually left? 
Sometimes. Sometimes not, depending. 
So part of the resistance was to work together and find farms for 
these children? 
Yeah. We find place to, place to put them. And it was good that we 
knew where they were, and we knew, we knew the kind ",565,5
Hungary,Hungary,47.162494,19.503304,sadness,0.87,"They didn't realize that they would be picked up there just as 
well as they could have been in Germany or in Hungary or 
in Romania or anywhere else. 
And they never talked the language. And they were, they were easy prey 
for the Germans because they themselves didn't have enough, enough 
knowledge of a language. And if they spoke the language a little, they 
had a terrible accent. So they were immediately denounced. 
And the children were usually left? 
Sometimes. Sometimes not, depending.",401,5
