toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Cheylard,Le Cheylard,44.900137,4.42027,neutral,0.77,"I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there.",261,4
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,fear,0.98,"And I was told to 
get off at a place called Le Chambon-sur-Lignon. 
And I arrived at about 4 o'clock in the morning. 3:00, 3:00 or 4 o'clock 
in the morning. It was a bitter, cold night. And I was met there by a 
young man named Daniel Trocme, who then took me, and we had a very, very 
long walk through the night. And ultimately, I wound up in a, a stone 
farmhouse called Les Grillons, the crickets, French word for crickets. 
And there I found myself together with about 22 or 24 other kids, ranging 
in age from about six, seven, up to about 17 or 18, boys and girls.",532,2
Gers,Gers,43.7,0.6,neutral,0.1,"f the Le 
Chambon, whose name was Andre Trocme. At first I didn't know where I was, 
what it was. I discovered later, especially after the war, many years 
after the war, that Le Chambon was a most unique village in France. 
It is located at about 3,000 feet elevation in the Massif Central, in the 
central mountain chain in France. Sort of isolated on a desolate plateau, 
very cold in the winter, windswept plateau. Agriculture was pretty 
rudimentary. 
But what made this village unusual was that in the country, that is 90% 
or 95% Catholic, this village was about 90% Protestant. And the 
villagers, under the leadership of their pastor, Andre Trocme, were 
inspired to live the Bible. 
These were very simple farmers, and they considered that the Jews were 
the chosen people of the Bible. They knew that they were hiding Jews. 
They also believed in helping, because the Bible says to them, help thy 
neighbor. If someone is sick, go and visit them at their sick bed. If 
someone is hungry, feed them. If someone needs shelter, give them 
shelter. 
And these people literally did so at great risk to themselves and their 
entire families. Because what they were doing was illegal. If caught, 
the",1147,4
Jewish,,0.0,0.0,neutral,0.0,,0,4
Auch,Auch,43.646959,0.586298,neutral,0.88,"And in due time, I was given a 
French identity card with the name of Pierre Fesson. I kept my same birth 
date, but I was told that my place of birth was Auch, Gers, where I last 
lived with my parents. 
What kinds of contact, if any, did you ever have with either the 
resistance or with any of the, the groups that were attempting to fight 
the Germans from within France? 
The only contact, or the first contact, if you will, were in Le Chambon.",388,4
Les Grillons,"Les Grillons, Le Chambon-sur-Lignon",45.0658,4.3066,joy,0.85,"Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.). Sunday, January 17, 1943 I got up at the stroke of nine [in the morning] and little by little got acquainted in the kitchen. It was really very nice and clean. Later, I went to see Amedée, the boy who was to come here with me.",408,3
St. Agrève,Saint-Agrève,45.0208,4.4019,neutral,0.85,"the Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).",376,4
La Rouvière,,0.0,0.0,neutral,0.0,,0,4
Le Chambon,,0.0,0.0,neutral,0.5,,0,4
Haute-Loire,Haute-Loire,45.1333,3.7167,sadness,0.89,I am sad and weary. During rest hour Mrs. Cavailhon called me. She received a letter asking whether she wanted to send some children to a very nice school in Haute-Loire at an elevation of one thousand meters.  She selected me and another boy. I'll be able to go there but she is afraid that perhaps I won't be safe there.,349,5
