toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Algiers,Algiers,36.7538,3.0588,joy,0.92,"Her husband is fighting the Germans with de Gaulle in Algiers. Maybe she can help me get out of France. I WENT TO MADAME PHILIP and I said, ""I would like to go to Algiers. I want to join de Gaulle. I want to fight."" But she said, ""No, you're going to Switzerland!"" Switzerland is a neutral country in the war, so Jews are safe from the Nazis there. Madame Philip sent me to Pastor Theis, and he made me up some false papers.",413,3
Alps,Alps,45.832622,6.865204,fear,0.91,"Now I have described the happenings from then, and my first flight to 
Switzerland over the mountains in a diary, and the consequent return by 
Swiss soldiers the same day that we arrived in Switzerland to France, and 
the arrest by the French customs officials, and eventually police, and 
returned to result. In 1941, in I think it was August. 
No. No. It was in November that we fled, to Switzerland. 
We crossed the Alps. It wasn't that simple. We were hidden for a while in 
Chambon, and surrounding with mostly Protestant farmers, or, you know, 
summer resident people.",564,2
Alsace-Lorraine,Alsace-Lorraine,48.25,7,neutral,0,"and is a neutral country in the war, so Jews are safe from the Nazis there. Madame Philip 
sent me to Pastor Theis, and he made me up some false papers. He had the stamps and some 
authentic forms. Madame Philip and I sat at his dining-room table and watched him make a 
French carte d'identite, identity card, and a Boy Scout identification card. He took the picture 
off my German identification card that had the big J for Jewish on it, and he put the photo on my 
new ID. He had to make sure that the swastika came off. My new name is Jacques Levet, and it 
says on my ID card that I was born in Alsace-Lorraine. That's close to the German border, so it 
might explain my German accent if I'm stopped. Pastor Theis says I can leave for Switzerland in 
a couple of days.
Age 17, April 1943, France 
I'm trying so hard not to laugh. I can't even smile, because then the German soldiers sitting on 
the train all around me will realize that I understand their jokes. I'm not supposed to understand 
German, I'm supposed to be a French Boy Scout just sitting here on the train going to Annecy. 
So I'd better not laugh at their jokes, even though they're really funny. 
I left Le Chambon for Switzerland right after",990,4
Annecy,Annecy,45.899247,6.129384,neutral,0.81,"I'm not supposed to understand 
German, I'm supposed to be a French Boy Scout just sitting here on the train going to Annecy. 
So I'd better not laugh at their jokes, even though they're really funny. 
I left Le Chambon for Switzerland right after getting my false papers.",306,4
Auch,"Auch, Gers, France",43.6461,0.5849,neutral,0.77,"And in due time, I was given a 
French identity card with the name of Pierre Fesson. I kept my same birth 
date, but I was told that my place of birth was Auch, Gers, where I last 
lived with my parents. 
What kinds of contact, if any, did you ever have with either the 
resistance or with any of the, the groups that were attempting to fight 
the Germans from within France? 
The only contact, or the first contact, if you will, were in Le Chambon.",372,4
Austria,Austria,47.5162,14.5501,neutral,0.66,"I go to school. Often think of you. I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky! Friday, January 22, 1943 The UGIF now sends me three hundred francs every month.",367,4
"Bayside, New York","Bayside, Queens, New York, United States",40.763416,-73.773056,neutral,0.81,"her is Lilli Brown. Her name is Feihan now. She lives in Washington, DC. The next one is, the other little girl is Hanne 
Liebmann. Her name was Hanne Hirsch. She lives here in Bayside, New York, and the 
fellow is Manfred, don't remember his last name. 
That we came. Yeah, to Le Chambon. We were together for at least a year and a quarter.",313,4
Britain,United Kingdom,54.7023545,-3.2765753,joy,0.91,"We're lucky because there's a shortwave radio in the house and we get news from Britain. It's in French, and we understand enough French now to know what they're saying. We think they're sending coded messages to the Resistance here in France. It's very exciting! We have newspapers here, too, so for the first time since we've been in Le Chambon, we can follow the news of the war.",376,3
Camp de Gurs,Camp de Gurs,43.3167,-0.7167,neutral,0.7,"effWell, this comes, the, in, in the camp, in Camp de Gurs, it was, it 
didn't really matter. So in, sometime in September of 1942, a woman came 
to see my parents. We visited, my mother came over to visit us. And we 
were told that somebody is coming from the OSE. I don't know if you heard 
about the OSE, which is Oeuvre de Secour aux Enfants. And she asked 
several people if they would like to send that, one of their children, 
if the child is young enough, to send them somewhere where they would be 
safe. And my mother and father said, I think we should. And I said I don't 
want to go out without my brother. And they said, oh, no. You gonna go. So",551,4
Cheylard,Le Cheylard,44.9172,4.4194,neutral,0.61,"Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night.",397,4
College Cevenol,Collège Cévenol,45.06081,4.302941,neutral,0.75,"I was sent to school, to a school that 
they had organized, which was called the College Cevenol. As a matter of 
fact, that school is a private school today that still, still is in 
existence. We, under the circumstance, and in retrospect, lived a fairly 
good life. There being villagers, we, I mean, farmers. Excuse me. We 
often, daily, some of us were sent into town to pick up food, vegetables, 
potatoes, things that were not readily available to, to the population at 
large. We were looked after and fed.",448,4
Drancy,Drancy internment camp,48.9252,2.4509,fear,0.98,"this idyll didn't last too long, because already in July the French started collecting all the Jews for deportation to the either Drancy or to the east. And we were affected in Chambon. Now I have described the happenings from then, and my first flight to Switzerland...",291,2
Eastern Europe,Eastern Europe,54.526,21.2551,neutral,0,,0,4
England,England,52.3555177,-1.1743197,neutral,0.71,"He was minister of finance under de Gaulle, who left France, in, under the 
Nazis' eyes of the airport in Lyon, and went to England, and from England 
to Algiers.  And the, his wife was really special to me, because she was 
like a mother to me. And I used to visit her almost every day.",351,4
France,France,46.603354,1.888334,neutral,0.7,"At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there.
Mr. Trocmé came on his bicycle to meet me.",406,4
French,French internment camp Gurs,43.318831,-0.758236,sadness,0.81,"I found an Austrian with whom I get along well 
and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. 
His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where 
he has [contacts] and his father was released in one week! 
Lucky! Lucky!",348,5
