toponym,resolved_name,latitude,longitude,emotion,confidence_score,context,context_length,sub_category_emotion,emotion_numeric
Gers,Gers,43.7167,0.6,neutral,0.5,No relevant context for Gers found in the text.,0,Neutral,4
Auch,Auch,43.6478,0.5867,neutral,0.73,"I was given a 
French identity card with the name of Pierre Fesson. I kept my same birth 
date, but I was told that my place of birth was Auch, Gers, where I last 
lived with my parents. 
What kinds of contact, if any, did you ever have with either the 
resistance or with any of the, the groups that were attempting to fight 
the Germans from within France? 
The only contact, or the first contact, if you will, were in Le Chambon.",360,Neutral,4
Le Chambon-sur-Lignon,,0.0,0.0,neutral,0.0,,0,Neutral,4
Eastern Europe,Eastern Europe,54.52596,15.25512,neutral,0.0,,0,Neutral,4
France,France,46.603354,1.888334,neutral,0.7,"At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived. 
Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève).",329,Neutral,4
Germany,Germany,51.165691,10.451526,neutral,0.0,,0,Neutral,4
Marseilles,Marseille,43.296482,5.36978,neutral,0.77,"We were told that we'll have to get out in two or three days. When I 
returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. 
Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in 
luck. I quickly packed my suitcases so as to be able to leave early Saturday at 
7:20 a.m.",312,Neutral,4
Les Grillons,Les Grillons,45.04585,4.31139,neutral,0.81,"Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex (I only saw Mr. T.). 
Sunday, January 17, 1943 
I got up at the stroke of nine [in the morning] and little by little got 
acquainted in the kitchen. It was really very nice and clean. Later, I went to see Amedée, 
the boy who was to come here with me. I played and thought a lot about you. There 
are children here in various situations (some like me).",545,Neutral,4
Le Chambon sur Lignon,Le Chambon-sur-Lignon,45.06081,4.302941,neutral,0.5,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] 
I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex (I only saw Mr. T.).",523,Neutral,4
Romania,Romania,45.9432,24.9668,neutral,0.0,,0,Neutral,4
Haute-Loire,Haute-Loire,45.133333,3.916667,sadness,0.93,"I am sad and weary. During rest hour Mrs. Cavailhon called me. She 
received a letter asking whether she wanted to send some children to a very nice 
school in Haute-Loire at an elevation of one thousand meters.  She selected me 
and another boy. I'll be able to go there but she is afraid that perhaps I 
won't be safe there.",324,Discouragement,5
Hungary,Hungary,47.1625,19.5033,neutral,0.0,,0,Neutral,4
Cheylard,Le Cheylard,44.905714,4.420413,neutral,0.66,"the Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agréve). I arrived at 
St. Agréve at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
w ent to sleep in the annex (I only saw Mr. T.). 
Sunday, January 17, 1943",454,Neutral,4
Massif Central,Massif Central,45.5,3.0,neutral,0.68,"I discovered later, especially after the war, many years 
after the war, that Le Chambon was a most unique village in France. 
It is located at about 3,000 feet elevation in the Massif Central, in the 
central mountain chain in France. Sort of isolated on a desolate plateau, 
very cold in the winter, windswept plateau. Agriculture was pretty 
rudimentary. 
But what made this village unusual was that in the country, that is 90% 
or 95% Catholic, this village was about 90% Protestant. And the 
villagers, under the leadership of their pastor, Andre Trocme, were 
inspired to live the Bible.",465,Neutral,4
La Rouvière,La Rouvière,44.044444,4.536389,sadness,0.91,"Monday, January 4, 1943 
Mr. Brémond came to La Rouvière today.I practically flooded him with tears. 
Then he told me to pack my things within five minutes because he is 
taking me along. I can tell you that I was happy. ",214,Grief,5
St. Agrève,Saint-Agrève,45.0167,4.4167,neutral,0.75,"I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there. 
Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). 
Now we still had to cover fifteen kilometers through the snow and a moonlit night. 
We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I 
went to sleep in the annex (I only saw Mr. T.). 
Sunday, January 17, 1943 
I got up at the stroke of nine [in the morning] and little by little got 
acquainted in the kitchen. It was really very nice and clean. Later, I went to see Amedée, 
the boy who was to come here with me. I",599,Neutral,4
Paris,"Paris, France",48.8566,2.3522,neutral,0.65,"I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there.",278,Neutral,4
College Cevenol,Collège Cévenol,45.064261,4.304111,neutral,0.78,"And so I found shelter there. I, I was sent to school, to a school that 
they had organized, which was called the College Cevenol. As a matter of 
fact, that school is a private school today that still, still is in 
existence. We, under the circumstance, and in retrospect, lived a fairly 
good life.",276,Neutral,4
Lavoulte bridge,Pont de La Voulte-sur-Rhône,44.799823,4.780769,neutral,0.68,"I left aboard the 
Marseilles to Paris express (travel, change train, bus, wrong [place?], 
Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at 
St. Agrève at 11:49 p.m. The train did not go beyond there.",255,Neutral,4
Saint-Etienne,Saint-Étienne,45.4397,4.3872,neutral,0.83,"It was a little village up above Saint-Etienne, about 15 miles away. The head of that village was a famous pastor, a Protestant pastor by the name of Trocme. He and his wife and the children lived, of course, in the, in the, what do you call the house that belongs to the church, where they live? And there were 5,000 villager there.",310,Neutral,4
Drancy,Drancy,48.9243,2.4456,fear,0.92,"This idyll didn't last too long, because already in July the French started collecting all the Jews for deportation to the either Drancy or to the east. And we were affected in Chambon. Now I have described the happenings from then, and my first flight to Switzerland over the mountains in a diary, and the consequent return by Swiss soldiers the same day that we arrived in Switzerland to France, and the arrest by the French customs officials, and eventually police, and returned to result.",420,Dread,2
Switzerland,Switzerland,46.8182,8.2275,neutral,0.0,,0,Neutral,4
Alps,Alps,45.9995,7.7266,neutral,0.0,,0,Neutral,4
