name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Haute-Loire,45.0582,3.8829,neutral,0.5,During rest hour Mrs. Cavailhon called me. She received a letter asking whether she wanted to send some children to a very nice school in Haute-Loire at an elevation of one thousand meters.  She selected me and another boy.,178,4
La Rouvière,43.9912,4.4071,joy,0.62,"Monday, January 4, 1943 Mr. Brémond came to La Rouvière today.I practically flooded him with tears.  Then he told me to pack my things within five minutes because he is taking me along. I can tell you that I was happy.",179,3
Les Caillols,43.3219,5.4416,neutral,0.48,"Tuesday, January 5, 1943 [Les Caillols] Mrs. Brémond (they got married) wrote a letter to Mr. Trocmé in which she asked him if he did not have an opening for me at his place. I had asked her to allow me to go to school. She gave this letter to a young girl, Simone Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les Grillons  with  Mr. Trocmé. I hope that I'll be able to go there.",354,4
Marseilles,43.2965,5.3698,neutral,0.43,"When I returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in luck. I quickly packed my suitcases so as to be able to leave early Saturday at 7:20 a.m.",242,4
Le Chambon sur Lignon,45.06081,4.302941,joy,0.84,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).",521,3
Les Grillons,45.058542,4.290105,joy,0.82,Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).,219,3
Marseilles,43.2965,5.3698,neutral,0.5,It is much colder here than in Marseilles. I attend fifth class but no Latin. I got here one trimester too late.,113,4
Gurs,43.3649,-0.7268,sadness,0.66,"Wednesday, January 20, 1943 I go to school. Often think of you. I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week!",337,5
Vichy,46.1275,3.4262,neutral,0.63,His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky!,181,4
France,46.603354,1.888334,sadness,0.71,"And France was the haven. I mean, they thought nothing could happen to them when they got to France. They didn't realize that they would be picked up there just as well as they could have been in Germany or in Hungary or in Romania or anywhere else. And they never talked the language. And they were, they were easy prey for the Germans because they themselves didn't have enough, enough knowledge of a language. And if they spoke the language a little, they had a terrible accent. So they were immediately denounced.",445,5
Saint-Etienne,45.4397,4.3872,neutral,0.48,"It was a little village up above Saint-Etienne, about 15 miles away. The head of that village was a famous pastor, a Protestant pastor by the name of Trocme.",165,4
Chambon-sur-Lignon,45.06081,4.302941,joy,0.79,"I received, through, again, Tracy Strong, influence, documents of liberation to go to Chambon-sur-Lignon in the Haute-Loire, which was a, a center of mostly the remnants of the Huguenots, mostly Protestant population. And they had two homes for victims of war to be able to continue their studies. I was assigned to Maison des Roches. Amazingly, it was a ministerial decision. I have still the documents that conducted me to Chambon-sur-Lignon.",335,3
Maison des Roches,45.060599,4.288142,joy,0.71,"In Chambon, we, or I, I should say, was welcomed in Maison des Roches, which means the house of rocks, which was the home for students from all countries in Europe,  Spain, Belgium, Austria, Poland, Russia, approximately my age or older. There were all denominations.",257,3
France,46.603354,1.888334,neutral,0.56,"We entered France, and it didn't take one minute. We were surrounded by French guards, and arrested, and treated pretty unfriendly. As they say, roughly. And they didn't find anything of substance on us. And they fined us with a certain amount for the importation of some French currency. We had a few French francs left. And they ordered a truck. And they brought us to the railway station in, whatever the place was. Vallorcine.",351,4
Vallorcine,46.0177,6.9267,fear,0.73,"And they brought us to the railway station in, whatever the place was. Vallorcine. Vallorcine was the station in the valley. And put us on a train. We were put into handcuffs and sent back to Rivesaltes. The amazing thing was that the word got through to Chambon-sur-Lignon that we are in Rivesaltes.",261,2
Rivesaltes,42.7678,2.872,fear,0.69,"Vallorcine was the station in the valley. And put us on a train. We were put into handcuffs and sent back to Rivesaltes. The amazing thing was that the word got through to Chambon-sur-Lignon that we are in Rivesaltes. And none other than, first, Tracy Strong came. And I gave him my shoes, which were in total shambles, which he took with him. And I had a pair of rubber boots. No, that was before. I'm mixing it up. It's in my book. And he promised to get us some help. Shortly thereafter, Madam came to the camp in, in Rivesaltes.",409,2
France,46.603354,1.888334,neutral,0.5,She was the chief of the Cimade in France. And Pastor Trocme himself. Pastor Trocme was the famous priest in Chambon-sur-Lignon who offered passive resistance against the Germans. A movie was made of Chambon-sur-Lignon where he is a prominent person in there.,252,4
Chambon-sur-Lignon,45.06081,4.302941,joy,0.8,"And Pastor Trocme himself. Pastor Trocme was the famous priest in Chambon-sur-Lignon who offered passive resistance against the Germans. A movie was made of Chambon-sur-Lignon where he is a prominent person in there. The book is called Lest Innocent Blood Be Shed, by Professor Hallie. Incidentally, I have that book. It should be available, but I have that. It is a heroic story of passive resistance, and a heroic story of saving 10,000 Jews that had passed through Chambon-sur-Lignon. I was one of them who passed through. They came, and they promised that they will get us out.",522,3
Perpignan,42.6986,2.8956,neutral,0.44,And we went to the railway station in Perpignan. And we were not bothered by the Germans. We made our way back to Chambon.,156,4
Chambon,45.06081,4.302941,joy,0.78,"And we were not bothered by the Germans. We made our way back to Chambon. And it was kind of risky on the train with the troops coming the other way, the German troops, and French police going the other way. But we made it to Le Chambon. And in Chambon, the second time again we were hidden.",277,3
Chambon-sur-Lignon,45.06081,4.302941,joy,0.75,"But soon, unbelievable gesture of the French Vichy administration. They let us youngsters and a group of political prisoners go, just go, before the Germans occupied the camp. And we went to the railway station in Perpignan. And we were not bothered by the Germans. We made our way back to Chambon. And it was kind of risky on the train with the troops coming the other way, the German troops, and French police going the other way. But we made it to Le Chambon. And in Chambon, the second time again we were hidden. But this time, preparations were made to get us false identity papers, to get us exit visa from France, to get us Swiss immigrant, immigration visas which we couldn't get on the spot, but we had to pick up in en masse in near the Swiss border on the French side. We managed to go by train unmolested to the Swiss border, this time without guide.",637,3
Chambon-sur-Lignon,45.06081,4.302941,joy,0.85,"My parents-- my mother was hidden in Chambon-sur-Lignon, indeed, in the house of Pastor Trocme, where she was serving as so-called domestic. She was the cook. And there was not much to cook much anyway. And she spoke fluently French and escaped  any search that was made by either the Vichy troops or otherwise.",290,3
