name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Haute-Loire,45.0541,3.9165,neutral,0.7,She received a letter asking whether she wanted to send some children to a very nice school in Haute-Loire at an elevation of one thousand meters.  She selected me and another boy. I'll be able to go there but she is afraid that perhaps I won't be safe there.,217,4
La Rouvière,44.095089,4.42964,sadness,0.75,"Monday, January 4, 1943 Mr. Brémond came to La Rouvière today.I practically flooded him with tears. Then he told me to pack my things within five minutes because he is taking me along. I can tell you that I was happy.",204,5
Les Caillols,43.29185,5.46304,neutral,0.74,"Tuesday, January 5, 1943 [Les Caillols] Mrs. Brémond (they got married) wrote a letter to Mr. Trocmé in which she asked him if he did not have an opening for me at his place. I had asked her to allow me to go to school. She gave this letter to a young girl, Simone Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les Grillons  with  Mr. Trocmé. I hope that I'll be able to go there.",369,4
Les Grillons,45.06081,4.302941,joy,0.85,"She gave this letter to a young girl, Simone Fullenbaum, who  lived  previously  at  Les  Caillols  and  now  lives  at  Les Grillons  with  Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is thinking of you.",264,3
Marseilles,43.296482,5.36978,neutral,0.65,"When I returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in luck. I quickly packed my suitcases so as to be able to leave early Saturday at 7:20 a.m.",247,4
Paris,48.856613,2.352222,neutral,0.74,"I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m.",266,4
Lavoulte,44.8061,4.77531,neutral,0.67,"I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there.",198,4
Cheylard,44.907051,4.415058,neutral,0.7,"(travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there.",159,4
St. Agrève,45.0219,4.35586,neutral,0.72,"Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night.",251,4
Les Grillons,45.06081,4.302941,neutral,0.74,Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).,231,4
