name,latitude,longitude,emotion,confidence_score,context,context_length,emotion_numeric
Haute-Loire,45.075468,3.888064,sadness,0.75,I am sad and weary. During rest hour Mrs. Cavailhon called me. She received a letter asking whether she wanted to send some children to a very nice school in Haute-Loire at an elevation of one thousand meters. She selected me and another boy. I'll be able to go there but she is afraid that perhaps I won't be safe there.,304,5
La Rouvière,44.010713,4.414486,sadness,0.83,Mr. Brémond came to La Rouvière today.I practically flooded him with tears. Then he told me to pack my things within five minutes because he is taking me along. I can tell you that I was happy.,162,5
Les Caillols,43.3053,5.4383,neutral,0.64,"Mrs. Brémond (they got married) wrote a letter to Mr. Trocmé in which she asked him if he did not have an opening for me at his place. I had asked her to allow me to go to school. She gave this letter to a young girl, Simone Fullenbaum, who lived previously at Les Caillols and now lives at Les Grillons with Mr. Trocmé. I hope that I'll be able to go there.",388,4
Les Grillons,45.0577,4.3089,joy,0.91,"Simone Fullenbaum, who lived previously at Les Caillols and now lives at Les Grillons with Mr. Trocmé. I hope that I'll be able to go there. The food there is fit for kings (butter, potatoes, et cetera). Whatever is happening to you? Your son is thinking of you.",221,3
Marseilles,43.296482,5.36978,neutral,0.66,"When I returned from Marseilles at noon, Mrs. B. told me that she received a telegram from Mr. Trocmé. He has a vacancy and expects me as soon as possible. Once again I am in luck. I quickly packed my suitcases so as to be able to leave early Saturday at 7:20 a.m. At the same time, the thing from the UGIF [Union Générale des Israélites de France] arrived.",329,4
Le Chambon sur Lignon,45.06081,4.302941,joy,0.96,"Saturday, January 16, 1943 [ Le Chambon sur Lignon] I took leave, took the first streetcar at 6 a.m. and at 7:20 a.m. I left aboard the Marseilles to Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève",293,3
St. Agrève,45.01136,4.41759,neutral,0.72,"Paris express (travel, change train, bus, wrong [place?], Lavoulte bridge, telephone, fast train, Cheylard local train, St. Agrève). I arrived at St. Agrève at 11:49 p.m. The train did not go beyond there. Mr. Trocmé came on his bicycle to meet me (still a young man and very nice). Now we still had to cover fifteen kilometers through the snow and a moonlit night.",320,4
Les Grillons,45.0577,4.3089,joy,0.94,Now we still had to cover fifteen kilometers through the snow and a moonlit night. We arrived at Les Grillons at 2:30 a.m. There we ate something warm and then I went to sleep in the annex (I only saw Mr. T.).,193,3
Marseilles,43.296482,5.36978,neutral,0.74,"I attend fifth class but no Latin. I got here one trimester too late. Wednesday, January 20, 1943 I go to school. Often think of you. I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky! Friday, January 22, 1943 The UGIF now sends me three hundred francs every month. Mr. T. however takes them.",541,4
Gurs,43.3086,-0.7449,sadness,0.82,I found an Austrian with whom I get along well and practice speaking German. His name is Kurt Grossmann. His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky!,283,5
Vichy,46.1287,3.4264,neutral,0.67,His mother disappeared like you. His father [is] in [the French internment camp] Gurs.Later Mr. T. left for Vichy where he has [contacts] and his father was released in one week! Lucky! Lucky!,174,4
France,46.603354,1.888334,sadness,0.7,"Later on I found out that he was the cousin of the pastor of the Le Chambon, whose name was Andre Trocme. At first I didn't know where I was, what it was. I discovered later, especially after the war, many years after the war, that Le Chambon was a most unique village in France. It is located at about 3,000 feet elevation in the Massif Central, in the central mountain chain in France.",334,5
Massif Central,45.5,3.0,neutral,0.77,"I discovered later, especially after the war, many years after the war, that Le Chambon was a most unique village in France. It is located at about 3,000 feet elevation in the Massif Central, in the central mountain chain in France. Sort of isolated on a desolate plateau, very cold in the winter, windswept plateau.",259,4
Le Chambon,45.06081,4.302941,joy,0.92,"Well, they saved, during the war years, 5,000 people were sheltered in that village in Le Chambon and in the surrounding villages. Perhaps their act was inspired also by memories of the suffering and the persecution that the Protestants suffered during the Reformation period, when the Protestants were being massacred, literally massacred by the thousands by, in Catholic France. And so I found shelter there. I, I was sent to school, to a school that they had organized, which was called the College Cevenol. As a matter of fact, that school is a private school today that still, still is in existence.",449,3
France,46.603354,1.888334,neutral,0.75,"Perhaps their act was inspired also by memories of the suffering and the persecution that the Protestants suffered during the Reformation period, when the Protestants were being massacred, literally massacred by the thousands by, in Catholic France. And so I found shelter there. I, I was sent to school, to a school that they had organized, which was called the College Cevenol. As a matter of fact, that school is a private school today that still, still is in existence. We, under the circumstance, and in retrospect, lived a fairly good life. There being villagers, we, I mean, farmers. Excuse me. We often, daily, some of us were sent into town to pick up food, vegetables, potatoes, things that were not readily available to, to the population at large. We were looked after and fed. And every so often, we would be told to suddenly leave the classroom or leave our home, Les Grillons, and go pick mushrooms.",600,4
College Cevenol,45.06136,4.30103,joy,0.88,"I was sent to school, to a school that they had organized, which was called the College Cevenol. As a matter of fact, that school is a private school today that still, still is in existence. We, under the circumstance, and in retrospect, lived a fairly good life.",224,3
