homes,Lat,Long,Alt
La Guespy,45.062375,4.312919,1006
Guespy,45.062375,4.312919,1006
Les Grillons,45.07128,4.326289,1067
Grillons,45.07128,4.326289,1067
Les Grillon,45.07128,4.326289,1067
the crickets,45.07128,4.326289,1067
Pension De Famille,45.07128,4.326289,1067
Maison des Roches,45.052619,4.321041,959
Maison-des-Roches,45.052619,4.321041,959
Maison des de Roches,45.052619,4.321041,959
Pension Barraud,45.060711,4.298607,955
Beau Soleil,45.060711,4.298607,955
Tante Soly,45.060758,4.304197,958
Les Airelles,45.066313,4.305011,995
Les Heures Claires,45.063878,4.309932,981
La Joyeuse Nichée,45.060829,4.311157,1002
La Ruchée,45.062371,4.306548,994
Le Coteau Fleuri,45.05287,4.340592,1028
Coteau Fleuri,45.05287,4.340592,1028
Coteau-Fleuri,45.05287,4.340592,1028
Côteau Fleuri,45.05287,4.340592,1028
Côteau-Fleuri,45.05287,4.340592,1028
Airelles,45.066313,4.305011,995
Heures Claires,45.063878,4.309932,981
Joyeuse Nichée,45.060829,4.311157,1002
Ruchée,45.062371,4.306548,994
Le Faïdoli,45.055611,4.289219,976
Faïdoli,45.055611,4.289219,976
la Joyeuse Nichée,45.060829,4.311157,1002
Les Roches,45.052619,4.321041,959
crickets,45.07128,4.326289,1067
House of the Rocks,45.052619,4.321041,959
Rohnert,45.052619,4.321041,959
L'Abric,45.060559,4.311144,997
L'Abric House,45.060559,4.311144,997
la Joyeuse-Nichée,45.060829,4.311157,1002
Joyeuse-Nichée,45.060829,4.311157,1002
