Plateau_Location,Lat,Long,Alt
Champclause,45.0226039,4.1767551,1216
Chaudeyrolles,44.9495264,4.2033753,1283
Les Estables,44.903352,4.1558714,1342
Fay-sur-Lignon,44.9854351,4.2264208,1181
Saint-Front,44.9756854,4.1428766,1212
Les Vastres,44.9896904,4.2625768,1115
Le Chambon-sur-Lignon,45.060809,4.302941,961
Chenereilles,45.1333589,4.2532707,869
Le Mas-de-Tence,45.1216477,4.3589826,1029
Mazet-Saint-Voy,45.0471901,4.2447342,1027
Saint-Jeures,45.0956681,4.2050915,1043
Tence,45.1161335,4.289156,849
Araules,45.090051,4.1736039,1040
Devesset,45.068,4.38791,1146
Mars,45.0218069,4.3646479,1027
Rochepaule,45.0772,4.45553,898
Saint-Agreve,45.0100141,4.3950488,1066
Plateau Vivarais-Lignon,45.060809,4.302941,961
Lignon River,45.060809,4.302941,961
the Lignon,45.060809,4.302941,961
le Lignon,45.060809,4.302941,961
plateau Cévenol,45.060809,4.302941,961
montagnes Cévenol,45.060809,4.302941,961
Plateau,45.060809,4.302941,961
Plateau Vivarais,45.060809,4.302941,961
Plateau Vivarais Lignon,45.060809,4.302941,961
Vivarais Lignon Plateau,45.060809,4.302941,961
Vivarais Plateau,45.060809,4.302941,961
Vivarais-Lignon Plateau,45.060809,4.302941,961
Chambon,45.060809,4.302941,961
Le Chambon,45.060809,4.302941,961
Chambon-sur-Lignon,45.060809,4.302941,961
Chambon sur Lignon,45.060809,4.302941,961
Le Chambon sur Lignon,45.060809,4.302941,961
Mazet Saint Voy,45.0471901,4.2447342,1027
Mazet-St.-Voy,45.0471901,4.2447342,1027
Mazet-St-Voy,45.0471901,4.2447342,1027
Mazet,45.0471901,4.2447342,1027
Le Mazet,45.0471901,4.2447342,1027
St. Agreve,45.0100141,4.3950488,1066
Saint-Agrève,45.0100141,4.3950488,1066
St.-Agrève,45.0100141,4.3950488,1066
St.-Agreve,45.0100141,4.3950488,1066
Saint Agreve,45.0100141,4.3950488,1066
Saint Agrève,45.0100141,4.3950488,1066
St.-Jeures,45.0956681,4.2050915,1043
St. Jeures,45.0956681,4.2050915,1043
Saint Jeures,45.0956681,4.2050915,1043
St Jeures,45.0956681,4.2050915,1043
St.-Front,44.9756854,4.1428766,1212
St. Front,44.9756854,4.1428766,1212
Saint Front,44.9756854,4.1428766,1212
St-Front,44.9756854,4.1428766,1212
Fay,44.9854351,4.2264208,1181
Fay sur Lignon,44.9854351,4.2264208,1181
Fay le Froid,44.9854351,4.2264208,1181
Fay-le-Froid,44.9854351,4.2264208,1181
Le Mas de Tence,45.1216477,4.3589826,1029
Montfaucon-en-Velay,45.18561,4.31376,919
Montfaucon,45.18561,4.31376,919
Saint-Clément,44.95283,4.26497,1151
Saint Clément,44.95283,4.26497,1151
Saint-Clement,44.95283,4.26497,1151
Saint Clement,44.95283,4.26497,1151
St.-Clément,44.95283,4.26497,1151
St.-Clement,44.95283,4.26497,1151
St. Clément,44.95283,4.26497,1151
St. Clement,44.95283,4.26497,1151
Mont Mézenc,44.91428,4.18992,1744
Mont Mezenc,44.91428,4.18992,1744
Mézenc,44.91428,4.18992,1744
Gerbier de Jonc,44.84396,4.22014,1551
Saint-André-en-Vivarais,45.12113,4.41125,1096
Saint-Andre-en-Vivarais,45.12113,4.41125,1096
Saint André en Vivarais,45.12113,4.41125,1096
Saint Andre en Vivarais,45.12113,4.41125,1096
Saint-André,45.12113,4.41125,1096
Saint-Andre,45.12113,4.41125,1096
Saint André,45.12113,4.41125,1096
Saint Andre,45.12113,4.41125,1096
St.-André,45.12113,4.41125,1096
St.-Andre,45.12113,4.41125,1096
St. André,45.12113,4.41125,1096
St. Andre,45.12113,4.41125,1096
Mazelgirard,45.08217,4.28083,969
Le Fourezon,45.087065,4.248799,1041
Fourezon,45.087065,4.248799,1041
Chaumargeais,45.09006,4.344,1004
Les Tavas,45.051363,4.33872,1005
Tavas,45.051363,4.33872,1005
La Fayolle,45.053503,4.28556,1002
Fayolle,45.053503,4.28556,1002
Freycenet,45.07724,4.21654,1047
Freycenet-de-Saint-Jeures,45.07724,4.21654,1047
La Papeterie,45.132136,4.284565,822
Papeterie,45.132136,4.284565,822
