Image_filename,Long,Lat,Elev,Omega,Phi,Kappa
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0001.tif,4.29984899,45.06657846662010,1017.96,0,0,-53
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0002.tif,4.303370385,45.06365350222180,1011.81,0,0,-57
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0003.tif,4.307933827,45.06056975514040,975.82996,0,0,-59
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0004.tif,4.313090157,45.05826635405260,975.90002,0,0,-59
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0005.tif,4.317878172,45.05582959735530,988.25995,0,0,-61
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0006.tif,4.322235006,45.05327850643210,980.56,0,0,-58
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0007.tif,4.293003827,45.06674977226010,942.83002,0,0,-56
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0008.tif,4.29748642,45.06392633603240,964.95001,0,0,-58
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0009.tif,4.301834266,45.06133118963700,968.10999,0,0,-58
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0010.tif,4.306280927,45.05890725458180,935.62,0,0,-58
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0011.tif,4.311338442,45.05675608479290,965.5,0,0,-58
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0012.tif,4.315964766,45.05357042807500,939.09998,0,0,-63
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0013.tif,4.286931216,45.06007481727940,971.18005,0,0,-59
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0014.tif,4.291584489,45.05786658077760,940.35999,0,0,-61
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0015.tif,4.295384363,45.05519500825680,979.84003,0,0,-64
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0016.tif,4.300352046,45.05338004456380,1000.64,0,0,-64
IGNF_PVA_1-0__1947-07-24__C2835-0081_1947_CDP2656_0017.tif,4.30514905,45.05089865484150,1004.11,0,0,-63
IGNF_PVA_1-0__1948-07-27__C2934-0101_1948_F2934-2936_0155.tif,4.370914712,45.02329148874020,1038.22,0,0,180
IGNF_PVA_1-0__1948-07-27__C2934-0101_1948_F2934-2936_0156.tif,4.37016911,45.03237685294600,1048.08,0,0,180
IGNF_PVA_1-0__1948-07-27__C2934-0101_1948_F2934-2936_0157.tif,4.371372852,45.04598632802080,1062.6,0,0,180
IGNF_PVA_1-0__1948-07-27__C2934-0101_1948_F2934-2936_0158.tif,4.371193189,45.05672435601930,1070.8501,0,0,180
IGNF_PVA_1-0__1948-07-27__C2934-0101_1948_F2934-2936_0159.tif,4.372414898,45.06693376663480,1115.6599,0,0,180
IGNF_PVA_1-0__1948-07-27__C2934-0101_1948_F2934-2936_0160.tif,4.370402672,45.07879698111680,1124.99,0,0,180
IGNF_PVA_1-0__1948-08-16__C2835-0181_1948_F2335-2835_0270.tif,4.285808322,45.06289209865390,972.76996,0,0,-91
IGNF_PVA_1-0__1948-08-16__C2835-0181_1948_F2335-2835_0271.tif,4.299184236,45.06261291480480,958.5,0,0,-91
IGNF_PVA_1-0__1948-08-16__C2835-0181_1948_F2335-2835_0272.tif,4.31492272,45.06263195011050,1010.45,0,0,-91
IGNF_PVA_1-0__1948-08-16__C2835-0181_1948_F2335-2835_0273.tif,4.331137311,45.06231469418740,1100.92,0,0,-91
IGNF_PVA_1-0__1948-09-08__C2934-0101_1948_F2934-2936_0358.tif,4.318327335,45.01856094145900,1016.51,0,0,178
IGNF_PVA_1-0__1948-09-08__C2934-0101_1948_F2934-2936_0359.tif,4.317024778,45.02988185463070,1015.72,0,0,178
IGNF_PVA_1-0__1948-09-08__C2934-0101_1948_F2934-2936_0360.tif,4.314374748,45.04204473752000,1035.7184,0,0,178
IGNF_PVA_1-0__1948-09-08__C2934-0101_1948_F2934-2936_0361.tif,4.314886787,45.05294850625890,947.5,0,0,178
IGNF_PVA_1-0__1948-09-08__C2934-0101_1948_F2934-2936_0362.tif,4.314895771,45.06636909236300,1021.21,0,0,178
IGNF_PVA_1-0__1948-09-08__C2934-0101_1948_F2934-2936_0363.tif,4.316467822,45.07874623464210,1060.9601,0,0,178
IGNF_PVA_1-0__1948-10-03__C2835-0181_1948_F2335-2835_0692.tif,4.290237016,45.06681956329950,976.78003,0,0,89
IGNF_PVA_1-0__1948-10-03__C2835-0181_1948_F2335-2835_0693.tif,4.273240891,45.06697817898140,981.77997,0,0,89
