id;Class;Level;Area (km²)
0;Buildings/Urban;Refinement3_Edited;0.002246577109
1;Forest/Scrub;Refinement3_Edited;0.001224407402
2;Forest/Scrub;Refinement3_Edited;0.007675881381
3;Forest/Scrub;Refinement3_Edited;0.0001775299223
4;Agricultural;Refinement3_Edited;0.001081651382
5;Forest/Scrub;Refinement3_Edited;0.005295699279
6;Forest/Scrub;Refinement3_Edited;0.01481734279
7;Forest/Scrub;Refinement3_Edited;0.001714902445
8;Roads/Railroad;Refinement3_Edited;0.0006945629433
9;Agricultural;Refinement3_Edited;0.003094877305
10;Agricultural;Refinement3_Edited;0.02094395531
11;Forest/Scrub;Refinement3_Edited;0.001952829145
12;Agricultural;Refinement3_Edited;0.01464347328
13;Agricultural;Refinement3_Edited;0.005548267622
14;Forest/Scrub;Refinement3_Edited;0.0005243538426
15;Agricultural;Refinement3_Edited;0.004493154218
16;Buildings/Urban;Refinement3_Edited;0.0007375727698
17;Water;Refinement3_Edited;0.002720600304
18;Agricultural;Refinement3_Edited;0.0004108811088
19;Forest/Scrub;Refinement3_Edited;0.01373935182
20;Agricultural;Refinement3_Edited;0.0001034066042
21;Forest/Scrub;Refinement3_Edited;0.005022998677
22;Buildings/Urban;Refinement3_Edited;0.001239049045
23;Agricultural;Refinement3_Edited;0.01717739263
24;Buildings/Urban;Refinement3_Edited;0.006079942286
25;Agricultural;Refinement3_Edited;0.0004758533999
26;Agricultural;Refinement3_Edited;0.001506259031
27;Forest/Scrub;Refinement3_Edited;0.006157726015
28;Forest/Scrub;Refinement3_Edited;0.01420147868
29;Agricultural;Refinement3_Edited;0.004731996021
30;Agricultural;Refinement3_Edited;0.0001262841715
31;Agricultural;Refinement3_Edited;0.01272999355
32;Forest/Scrub;Refinement3_Edited;0.001983027534
33;Agricultural;Refinement3_Edited;0.003449937149
34;Forest/Scrub;Refinement3_Edited;0.01089704286
35;Agricultural;Refinement3_Edited;0.003406927323
36;Forest/Scrub;Refinement3_Edited;0.0002150491326
37;Agricultural;Refinement3_Edited;0.007616399706
38;Forest/Scrub;Refinement3_Edited;0.005755080831
39;Buildings/Urban;Refinement3_Edited;0.003559749472
40;Agricultural;Refinement3_Edited;0.01013750762
41;Forest/Scrub;Refinement3_Edited;0.009958147495
42;Agricultural;Refinement3_Edited;0.0005719391826
43;Buildings/Urban;Refinement3_Edited;0.001693855083
44;Agricultural;Refinement3_Edited;0.00161790156
45;Agricultural;Refinement3_Edited;0.008212131559
46;Buildings/Urban;Refinement3_Edited;0.001136557544
47;Roads/Railroad;Refinement3_Edited;0.001071585252
48;Forest/Scrub;Refinement3_Edited;0.0005865808256
49;Roads/Railroad;Refinement3_Edited;4.850044268e-05
50;Roads/Railroad;Refinement3_Edited;0.01959966946
51;Forest/Scrub;Refinement3_Edited;0.004036517975
52;Agricultural;Refinement3_Edited;8.510455037e-05
53;Forest/Scrub;Refinement3_Edited;0.02915517177
54;Agricultural;Refinement3_Edited;0.0001994923869
55;Forest/Scrub;Refinement3_Edited;0.0004602966541
56;Forest/Scrub;Refinement3_Edited;0.01592278684
57;Forest/Scrub;Refinement3_Edited;0.0005325897668
58;Forest/Scrub;Refinement3_Edited;0.0008281679364
59;Forest/Scrub;Refinement3_Edited;0.00382421415
60;Agricultural;Refinement3_Edited;0.0003395030988
61;Agricultural;Refinement3_Edited;0.003935856679
62;Buildings/Urban;Refinement3_Edited;0.003323652978
63;Agricultural;Refinement3_Edited;0.0001207935554
64;Forest/Scrub;Refinement3_Edited;0.001049622788
65;Buildings/Urban;Refinement3_Edited;0.003028989911
66;Agricultural;Refinement3_Edited;0.0001253690688
67;Forest/Scrub;Refinement3_Edited;0.0007165254079
68;Agricultural;Refinement3_Edited;0.0006341661656
69;Agricultural;Refinement3_Edited;0.004746637664
70;Agricultural;Refinement3_Edited;0.008070290642
71;Forest/Scrub;Refinement3_Edited;0.007233886781
72;Agricultural;Refinement3_Edited;0.0114204816
73;Forest/Scrub;Refinement3_Edited;0.001812818433
74;Agricultural;Refinement3_Edited;0.001671892618
75;Forest/Scrub;Refinement3_Edited;0.01641053658
76;Forest/Scrub;Refinement3_Edited;0.0002809365265
77;Forest/Scrub;Refinement3_Edited;0.03753934264
78;Agricultural;Refinement3_Edited;0.01515684589
79;Agricultural;Refinement3_Edited;0.002309719195
80;Forest/Scrub;Refinement3_Edited;9.608578267e-05
81;Forest/Scrub;Refinement3_Edited;0.0001482466361
82;Agricultural;Refinement3_Edited;0.0003074745045
83;Agricultural;Refinement3_Edited;0.0032293974
84;Forest/Scrub;Refinement3_Edited;0.0006680249652
85;Agricultural;Refinement3_Edited;0.02234863795
86;Forest/Scrub;Refinement3_Edited;0.01465445451
87;Water;Refinement3_Edited;0.005647098713
88;Forest/Scrub;Refinement3_Edited;0.0004236925464
89;Forest/Scrub;Refinement3_Edited;0.001538287625
90;Agricultural;Refinement3_Edited;0.0002425022134
91;Forest/Scrub;Refinement3_Edited;0.0006689400679
92;Forest/Scrub;Refinement3_Edited;0.0001830205384
93;Forest/Scrub;Refinement3_Edited;0.0002095585165
94;Roads/Railroad;Refinement3_Edited;0.0441207612
95;Forest/Scrub;Refinement3_Edited;0.0005161179183
96;Agricultural;Refinement3_Edited;0.0002425022134
97;Forest/Scrub;Refinement3_Edited;0.0003605504607
98;Forest/Scrub;Refinement3_Edited;0.0002031527976
99;Forest/Scrub;Refinement3_Edited;0.0007320821537
100;Agricultural;Refinement3_Edited;0.02109860767
101;Buildings/Urban;Refinement3_Edited;0.0008510455037
102;Agricultural;Refinement3_Edited;0.01497382535
103;Agricultural;Refinement3_Edited;0.002857865707
104;Agricultural;Refinement3_Edited;0.0188318983
105;Agricultural;Refinement3_Edited;0.003198283909
106;Forest/Scrub;Refinement3_Edited;0.0004465701137
107;Forest/Scrub;Refinement3_Edited;0.0001500768415
108;Forest/Scrub;Refinement3_Edited;0.02755099675
109;Forest/Scrub;Refinement3_Edited;0.0003129651207
110;Forest/Scrub;Refinement3_Edited;0.01426828118
111;Buildings/Urban;Refinement3_Edited;0.001586788068
112;Agricultural;Refinement3_Edited;0.0007348274618
113;Forest/Scrub;Refinement3_Edited;0.004538909353
114;Forest/Scrub;Refinement3_Edited;0.0004969007618
115;Agricultural;Refinement3_Edited;0.02602277526
116;Agricultural;Refinement3_Edited;0.001749676347
117;Agricultural;Refinement3_Edited;0.02019448621
118;Agricultural;Refinement3_Edited;0.0003093047099
119;Forest/Scrub;Refinement3_Edited;0.002219124028
120;Forest/Scrub;Refinement3_Edited;9.517067998e-05
121;Forest/Scrub;Refinement3_Edited;0.0002635495753
122;Buildings/Urban;Refinement3_Edited;0.007825958223
123;Forest/Scrub;Refinement3_Edited;0.0003550598445
124;Roads/Railroad;Refinement3_Edited;0.001340625444
125;Buildings/Urban;Refinement3_Edited;0.002877082864
126;Agricultural;Refinement3_Edited;0.001860403773
127;Buildings/Urban;Refinement3_Edited;0.0006341661656
128;Buildings/Urban;Refinement3_Edited;0.002063556571
129;Forest/Scrub;Refinement3_Edited;0.0005984771606
130;Agricultural;Refinement3_Edited;0.01587794681
131;Buildings/Urban;Refinement3_Edited;0.001471485129
132;Buildings/Urban;Refinement3_Edited;0.03129651207
133;Agricultural;Refinement3_Edited;0.0002946630669
134;Agricultural;Refinement3_Edited;0.0003934941576
135;Agricultural;Refinement3_Edited;0.001026745221
136;Agricultural;Refinement3_Edited;0.000540825691
137;Forest/Scrub;Refinement3_Edited;0.0007833279044
138;Roads/Railroad;Refinement3_Edited;0.001497108004
139;Forest/Scrub;Refinement3_Edited;0.000407220698
140;Agricultural;Refinement3_Edited;0.003631127482
141;Forest/Scrub;Refinement3_Edited;0.0005078819941
142;Forest/Scrub;Refinement3_Edited;4.209472384e-05
143;Buildings/Urban;Refinement3_Edited;0.000588411031
144;Agricultural;Refinement3_Edited;0.127
145;Buildings/Urban;Refinement3_Edited;0.003274237432
146;Buildings/Urban;Refinement3_Edited;0.001772553915
147;Agricultural;Refinement3_Edited;0.007051781345
148;Agricultural;Refinement3_Edited;0.003561579678
149;Forest/Scrub;Refinement3_Edited;0.004225029129
150;Agricultural;Refinement3_Edited;0.009859316405
151;Agricultural;Refinement3_Edited;0.004746637664
152;Forest/Scrub;Refinement3_Edited;0.0001445862254
153;Forest/Scrub;Refinement3_Edited;0.0002223699542
154;Buildings/Urban;Refinement3_Edited;0.00281119547
155;Agricultural;Refinement3_Edited;0.0001976621815
156;Forest/Scrub;Refinement3_Edited;0.0001043217069
157;Forest/Scrub;Refinement3_Edited;0.0001738695115
158;Forest/Scrub;Refinement3_Edited;0.0001363503011
159;Forest/Scrub;Refinement3_Edited;0.001414748762
160;Forest/Scrub;Refinement3_Edited;0.0002955781695
161;Agricultural;Refinement3_Edited;0.0006076281876
162;Forest/Scrub;Refinement3_Edited;0.003490201668
163;Roads/Railroad;Refinement3_Edited;8.693475575e-05
164;Agricultural;Refinement3_Edited;0.0003303520718
165;Forest/Scrub;Refinement3_Edited;0.0008043752664
166;Agricultural;Refinement3_Edited;0.0007613654398
167;Forest/Scrub;Refinement3_Edited;0.0001857658465
168;Forest/Scrub;Refinement3_Edited;0.0003642108715
169;Agricultural;Refinement3_Edited;0.000252568343
170;Agricultural;Refinement3_Edited;0.0247471221
171;Roads/Railroad;Refinement3_Edited;0.116
172;Agricultural;Refinement3_Edited;7.869883152e-05
173;Roads/Railroad;Refinement3_Edited;0.0001107274257
174;Forest/Scrub;Refinement3_Edited;0.005724882442
175;Forest/Scrub;Refinement3_Edited;0.0002928328615
176;Forest/Scrub;Refinement3_Edited;0.0001473315334
177;Forest/Scrub;Refinement3_Edited;0.0002489079323
178;Agricultural;Refinement3_Edited;0.07863568943
179;Agricultural;Refinement3_Edited;0.1403356
180;Agricultural;Refinement3_Edited;0.02637417469
181;Buildings/Urban;Refinement3_Edited;0.002402144567
182;Forest/Scrub;Refinement3_Edited;9.425557729e-05
183;Forest/Scrub;Refinement3_Edited;0.0007503842075
184;Agricultural;Refinement3_Edited;0.001212511067
185;Agricultural;Refinement3_Edited;0.0001153029392
186;Forest/Scrub;Refinement3_Edited;0.0005216085345
187;Buildings/Urban;Refinement3_Edited;0.00337215342
188;Agricultural;Refinement3_Edited;0.002063556571
189;Forest/Scrub;Refinement3_Edited;9.700088536e-05
190;Agricultural;Refinement3_Edited;0.004104235574
191;Agricultural;Refinement3_Edited;0.0005115424049
192;Forest/Scrub;Refinement3_Edited;0.01440280127
193;Forest/Scrub;Refinement3_Edited;0.008450058259
194;Forest/Scrub;Refinement3_Edited;0.0003797676172
195;Agricultural;Refinement3_Edited;0.09774303365
196;Forest/Scrub;Refinement3_Edited;0.06912594226
197;Buildings/Urban;Refinement3_Edited;0.03642291735
198;Agricultural;Refinement3_Edited;0.001148453879
199;Agricultural;Refinement3_Edited;0.001024915015
