Source,Target,X_Coord_Source,Y_Coord_Source,Z_Coord_Source,X_Coord_Target,Y_Coord_Target,Z_Coord_Target,DistanceKM,Weight
College Cevenol,College Cevenol,4.303929,45.06096,961,4.303929,45.06096,961,0,24
College Cevenol,Le Chambon-sur-Lignon,4.303929,45.06096,961,4.302941,45.06081,961,0.079372938,156
College Cevenol,Les Grillons,4.303929,45.06096,961,4.326289,45.07128,1067,2.097760026,1
L'Abric,L'Abric,4.311144,45.06056,997,4.311144,45.06056,997,0,19
L'Abric,La Guespy,4.311144,45.06056,997,4.312919,45.062374,1006,0.245197847,36
L'Abric,Le Chambon-sur-Lignon,4.311144,45.06056,997,4.302941,45.06081,961,0.644891539,9
La Fayolle,Le Chambon-sur-Lignon,4.28556,45.0535,1002,4.302941,45.06081,961,1.588900747,10
La Guespy,L'Abric,4.312919,45.062374,1006,4.311144,45.06056,997,0.245197847,36
La Guespy,La Guespy,4.312919,45.062374,1006,4.312919,45.062374,1006,0,140
La Guespy,Le Chambon-sur-Lignon,4.312919,45.062374,1006,4.302941,45.06081,961,0.802758495,24
Le Chambon-sur-Lignon,College Cevenol,4.302941,45.06081,961,4.303929,45.06096,961,0.079372938,156
Le Chambon-sur-Lignon,L'Abric,4.302941,45.06081,961,4.311144,45.06056,997,0.644891539,9
Le Chambon-sur-Lignon,La Fayolle,4.302941,45.06081,961,4.28556,45.0535,1002,1.588900747,10
Le Chambon-sur-Lignon,La Guespy,4.302941,45.06081,961,4.312919,45.062374,1006,0.802758495,21
Le Chambon-sur-Lignon,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,4458
Le Chambon-sur-Lignon,Les Grillons,4.302941,45.06081,961,4.326289,45.07128,1067,2.172027545,24
Le Chambon-sur-Lignon,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,46
Les Grillons,College Cevenol,4.326289,45.07128,1067,4.303929,45.06096,961,2.097760026,1
Les Grillons,Le Chambon-sur-Lignon,4.326289,45.07128,1067,4.302941,45.06081,961,2.172027545,23
Les Grillons,Les Grillons,4.326289,45.07128,1067,4.326289,45.07128,1067,0,401
Les Grillons,Maison des Roches,4.326289,45.07128,1067,4.321041,45.05262,959,2.115445336,1
Les Tavas,Le Chambon-sur-Lignon,4.33872,45.051365,1005,4.302941,45.06081,961,3.000255281,1
Maison des Roches,La Guespy,4.321041,45.05262,959,4.312919,45.062374,1006,1.258312531,1
Maison des Roches,Maison des Roches,4.321041,45.05262,959,4.321041,45.05262,959,0,9
Plateau Vivarais,La Guespy,4.302941,45.06081,961,4.312919,45.062374,1006,0.802758495,1
Plateau Vivarais,Le Chambon-sur-Lignon,4.302941,45.06081,961,4.302941,45.06081,961,0,45
Plateau Vivarais,Plateau Vivarais,4.302941,45.06081,961,4.302941,45.06081,961,0,36
