Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
A_Jeannine_2573_Plateau_16@EVT_A_Jeannine_2573_Plateau_1,A_Jeannine_2573_Plateau_17@EVT_A_Jeannine_2573_Plateau_1,scene_copresence,EVT_A_Jeannine_2573_Plateau_1,Les Tavas,45.051365,4.33872,1005,16,17,1,Undirected,A_Jeannine_2573_Plateau,3,2,4,,,
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_2,A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_2,scene_copresence,EVT_A_Jeannine_2573_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,22,9,1,Undirected,A_Jeannine_2573_Plateau,5,4,6,,,
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_3,A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_3,scene_copresence,EVT_A_Jeannine_2573_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,10,1,Undirected,A_Jeannine_2573_Plateau,6,5,7,,,
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_4,A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_4,scene_copresence,EVT_A_Jeannine_2573_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,22,1,Undirected,A_Jeannine_2573_Plateau,6,5,7,,,
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_5,A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_5,scene_copresence,EVT_A_Jeannine_2573_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,24,1,Undirected,A_Jeannine_2573_Plateau,6,5,7,,,
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_6,A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_6,scene_copresence,EVT_A_Jeannine_2573_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,9,1,Undirected,A_Jeannine_2573_Plateau,6,5,7,,,
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_7,A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_7,scene_copresence,EVT_A_Jeannine_2573_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,22,1,Undirected,A_Jeannine_2573_Plateau,6,5,7,,,
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_8,A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_8,scene_copresence,EVT_A_Jeannine_2573_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,24,1,Undirected,A_Jeannine_2573_Plateau,6,5,7,,,
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_9,A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_9,scene_copresence,EVT_A_Jeannine_2573_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,9,1,Undirected,A_Jeannine_2573_Plateau,6,5,7,,,
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_10,A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_10,scene_copresence,EVT_A_Jeannine_2573_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,22,24,1,Undirected,A_Jeannine_2573_Plateau,6,5,7,,,
