name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
A_Jeannine_2573_Plateau_16,somebody,,0,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_16
A_Jeannine_2573_Plateau_16@EVT_A_Jeannine_2573_Plateau_1,somebody,,0,Occurrence,A_Jeannine_2573_Plateau,Les Tavas,EVT_A_Jeannine_2573_Plateau_1,45.051365,4.33872,1005,A_Jeannine_2573_Plateau_16
A_Jeannine_2573_Plateau_17,us,unknown,2,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_17
A_Jeannine_2573_Plateau_17@EVT_A_Jeannine_2573_Plateau_1,us,unknown,2,Occurrence,A_Jeannine_2573_Plateau,Les Tavas,EVT_A_Jeannine_2573_Plateau_1,45.051365,4.33872,1005,A_Jeannine_2573_Plateau_17
A_Jeannine_2573_Plateau_22,a Frenchman named Pierre Sauvage,,0,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_2,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_2,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_9,Pierre Sauvage,,0,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_2,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_2,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_0,I,she/her,79,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_3,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_3,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_10,Jews,,0,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_3,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_3,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_4,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_4,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_4,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_4,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_5,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_5,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_24,Huguenots saved,,0,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_5,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_5,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_6,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_6,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_6,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_6,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_7,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_7,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_7,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_7,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_8,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_8,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_8,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_8,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_9,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_9,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_9,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_9,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_10,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_10,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_10,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_10,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_11,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_11,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_11,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_11,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_12,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_12,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_12,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_12,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_13,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_13,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_13,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_13,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_14,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_14,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_11,Germans,,0,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_11
A_Jeannine_2573_Plateau_11@EVT_A_Jeannine_2573_Plateau_14,Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_14,45.06081,4.302941,961,A_Jeannine_2573_Plateau_11
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_15,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_15,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_15,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_15,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_16,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_16,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_16,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_16,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_17,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_17,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_27,the Germans,,0,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_27
A_Jeannine_2573_Plateau_27@EVT_A_Jeannine_2573_Plateau_17,the Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_17,45.06081,4.302941,961,A_Jeannine_2573_Plateau_27
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_18,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_18,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_28,a Jew,,0,Person,A_Jeannine_2573_Plateau,,,,,,A_Jeannine_2573_Plateau_28
A_Jeannine_2573_Plateau_28@EVT_A_Jeannine_2573_Plateau_18,a Jew,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_18,45.06081,4.302941,961,A_Jeannine_2573_Plateau_28
A_Jeannine_2573_Plateau_0@EVT_A_Jeannine_2573_Plateau_19,I,she/her,79,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_19,45.06081,4.302941,961,A_Jeannine_2573_Plateau_0
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_19,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_19,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_20,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_20,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_11@EVT_A_Jeannine_2573_Plateau_20,Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_20,45.06081,4.302941,961,A_Jeannine_2573_Plateau_11
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_21,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_21,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_21,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_21,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_22,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_22,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_22,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_22,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_23,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_23,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_27@EVT_A_Jeannine_2573_Plateau_23,the Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_23,45.06081,4.302941,961,A_Jeannine_2573_Plateau_27
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_24,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_24,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_28@EVT_A_Jeannine_2573_Plateau_24,a Jew,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_24,45.06081,4.302941,961,A_Jeannine_2573_Plateau_28
A_Jeannine_2573_Plateau_10@EVT_A_Jeannine_2573_Plateau_25,Jews,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_25,45.06081,4.302941,961,A_Jeannine_2573_Plateau_10
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_25,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_25,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_11@EVT_A_Jeannine_2573_Plateau_26,Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_26,45.06081,4.302941,961,A_Jeannine_2573_Plateau_11
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_26,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_26,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_11@EVT_A_Jeannine_2573_Plateau_27,Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_27,45.06081,4.302941,961,A_Jeannine_2573_Plateau_11
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_27,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_27,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_11@EVT_A_Jeannine_2573_Plateau_28,Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_28,45.06081,4.302941,961,A_Jeannine_2573_Plateau_11
A_Jeannine_2573_Plateau_27@EVT_A_Jeannine_2573_Plateau_28,the Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_28,45.06081,4.302941,961,A_Jeannine_2573_Plateau_27
A_Jeannine_2573_Plateau_11@EVT_A_Jeannine_2573_Plateau_29,Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_29,45.06081,4.302941,961,A_Jeannine_2573_Plateau_11
A_Jeannine_2573_Plateau_28@EVT_A_Jeannine_2573_Plateau_29,a Jew,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_29,45.06081,4.302941,961,A_Jeannine_2573_Plateau_28
A_Jeannine_2573_Plateau_11@EVT_A_Jeannine_2573_Plateau_30,Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_30,45.06081,4.302941,961,A_Jeannine_2573_Plateau_11
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_30,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_30,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_31,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_31,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_31,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_31,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_32,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_32,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_27@EVT_A_Jeannine_2573_Plateau_32,the Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_32,45.06081,4.302941,961,A_Jeannine_2573_Plateau_27
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_33,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_33,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_28@EVT_A_Jeannine_2573_Plateau_33,a Jew,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_33,45.06081,4.302941,961,A_Jeannine_2573_Plateau_28
A_Jeannine_2573_Plateau_22@EVT_A_Jeannine_2573_Plateau_34,a Frenchman named Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_34,45.06081,4.302941,961,A_Jeannine_2573_Plateau_22
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_34,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_34,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_35,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_35,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_27@EVT_A_Jeannine_2573_Plateau_35,the Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_35,45.06081,4.302941,961,A_Jeannine_2573_Plateau_27
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_36,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_36,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_28@EVT_A_Jeannine_2573_Plateau_36,a Jew,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_36,45.06081,4.302941,961,A_Jeannine_2573_Plateau_28
A_Jeannine_2573_Plateau_24@EVT_A_Jeannine_2573_Plateau_37,Huguenots saved,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_37,45.06081,4.302941,961,A_Jeannine_2573_Plateau_24
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_37,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_37,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_27@EVT_A_Jeannine_2573_Plateau_38,the Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_38,45.06081,4.302941,961,A_Jeannine_2573_Plateau_27
A_Jeannine_2573_Plateau_28@EVT_A_Jeannine_2573_Plateau_38,a Jew,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_38,45.06081,4.302941,961,A_Jeannine_2573_Plateau_28
A_Jeannine_2573_Plateau_27@EVT_A_Jeannine_2573_Plateau_39,the Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_39,45.06081,4.302941,961,A_Jeannine_2573_Plateau_27
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_39,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_39,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_28@EVT_A_Jeannine_2573_Plateau_40,a Jew,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_40,45.06081,4.302941,961,A_Jeannine_2573_Plateau_28
A_Jeannine_2573_Plateau_9@EVT_A_Jeannine_2573_Plateau_40,Pierre Sauvage,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_40,45.06081,4.302941,961,A_Jeannine_2573_Plateau_9
A_Jeannine_2573_Plateau_27@EVT_A_Jeannine_2573_Plateau_41,the Germans,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_41,45.06081,4.302941,961,A_Jeannine_2573_Plateau_27
A_Jeannine_2573_Plateau_28@EVT_A_Jeannine_2573_Plateau_41,a Jew,,0,Occurrence,A_Jeannine_2573_Plateau,Le Chambon-sur-Lignon,EVT_A_Jeannine_2573_Plateau_41,45.06081,4.302941,961,A_Jeannine_2573_Plateau_28
