Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_1,Bohny_50.030.0031_Plateau_Rescuer_41@EVT_Bohny_50.030.0031_Plateau_Rescuer_1,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,41,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,271,270,272,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_2,Bohny_50.030.0031_Plateau_Rescuer_48@EVT_Bohny_50.030.0031_Plateau_Rescuer_2,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_2,La Guespy,45.062374,4.312919,1006,0,48,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,119,118,120,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_3,Bohny_50.030.0031_Plateau_Rescuer_48@EVT_Bohny_50.030.0031_Plateau_Rescuer_3,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,48,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_4,Bohny_50.030.0031_Plateau_Rescuer_60@EVT_Bohny_50.030.0031_Plateau_Rescuer_4,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,60,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,248,247,249,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_5,Bohny_50.030.0031_Plateau_Rescuer_63@EVT_Bohny_50.030.0031_Plateau_Rescuer_5,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,63,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,271,270,272,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_6,Bohny_50.030.0031_Plateau_Rescuer_66@EVT_Bohny_50.030.0031_Plateau_Rescuer_6,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,66,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,284,283,285,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_7,Bohny_50.030.0031_Plateau_Rescuer_66@EVT_Bohny_50.030.0031_Plateau_Rescuer_7,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_7,L'Abric,45.06056,4.311144,997,0,66,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,284,283,285,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_8,Bohny_50.030.0031_Plateau_Rescuer_69@EVT_Bohny_50.030.0031_Plateau_Rescuer_8,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,69,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,1,0,2,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_9,Bohny_50.030.0031_Plateau_Rescuer_72@EVT_Bohny_50.030.0031_Plateau_Rescuer_9,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,72,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,5,4,6,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_10,Bohny_50.030.0031_Plateau_Rescuer_79@EVT_Bohny_50.030.0031_Plateau_Rescuer_10,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_10,La Guespy,45.062374,4.312919,1006,0,79,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_11,Bohny_50.030.0031_Plateau_Rescuer_79@EVT_Bohny_50.030.0031_Plateau_Rescuer_11,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_11,L'Abric,45.06056,4.311144,997,0,79,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_12,Bohny_50.030.0031_Plateau_Rescuer_79@EVT_Bohny_50.030.0031_Plateau_Rescuer_12,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,79,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_13,Bohny_50.030.0031_Plateau_Rescuer_99@EVT_Bohny_50.030.0031_Plateau_Rescuer_13,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,99,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_14,Bohny_50.030.0031_Plateau_Rescuer_99@EVT_Bohny_50.030.0031_Plateau_Rescuer_14,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_14,Plateau Vivarais,45.06081,4.302941,961,0,99,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_15,Bohny_50.030.0031_Plateau_Rescuer_99@EVT_Bohny_50.030.0031_Plateau_Rescuer_15,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_15,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,99,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,37,36,38,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_16,Bohny_50.030.0031_Plateau_Rescuer_99@EVT_Bohny_50.030.0031_Plateau_Rescuer_16,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_16,La Guespy,45.062374,4.312919,1006,0,99,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_17,Bohny_50.030.0031_Plateau_Rescuer_99@EVT_Bohny_50.030.0031_Plateau_Rescuer_17,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_17,L'Abric,45.06056,4.311144,997,0,99,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_18,Bohny_50.030.0031_Plateau_Rescuer_112@EVT_Bohny_50.030.0031_Plateau_Rescuer_18,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_18,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,112,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_19,Bohny_50.030.0031_Plateau_Rescuer_112@EVT_Bohny_50.030.0031_Plateau_Rescuer_19,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_19,Plateau Vivarais,45.06081,4.302941,961,0,112,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_20,Bohny_50.030.0031_Plateau_Rescuer_113@EVT_Bohny_50.030.0031_Plateau_Rescuer_20,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_20,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,113,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_21,Bohny_50.030.0031_Plateau_Rescuer_113@EVT_Bohny_50.030.0031_Plateau_Rescuer_21,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_21,Plateau Vivarais,45.06081,4.302941,961,0,113,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_22,Bohny_50.030.0031_Plateau_Rescuer_114@EVT_Bohny_50.030.0031_Plateau_Rescuer_22,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_22,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,114,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_23,Bohny_50.030.0031_Plateau_Rescuer_114@EVT_Bohny_50.030.0031_Plateau_Rescuer_23,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_23,Plateau Vivarais,45.06081,4.302941,961,0,114,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_24,Bohny_50.030.0031_Plateau_Rescuer_115@EVT_Bohny_50.030.0031_Plateau_Rescuer_24,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_24,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,115,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_25,Bohny_50.030.0031_Plateau_Rescuer_115@EVT_Bohny_50.030.0031_Plateau_Rescuer_25,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_25,Plateau Vivarais,45.06081,4.302941,961,0,115,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,31,30,32,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_26,Bohny_50.030.0031_Plateau_Rescuer_117@EVT_Bohny_50.030.0031_Plateau_Rescuer_26,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_26,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,117,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,37,36,38,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_27,Bohny_50.030.0031_Plateau_Rescuer_120@EVT_Bohny_50.030.0031_Plateau_Rescuer_27,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_27,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,120,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,37,36,38,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_28,Bohny_50.030.0031_Plateau_Rescuer_121@EVT_Bohny_50.030.0031_Plateau_Rescuer_28,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_28,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,121,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,37,36,38,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_29,Bohny_50.030.0031_Plateau_Rescuer_121@EVT_Bohny_50.030.0031_Plateau_Rescuer_29,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_29,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,121,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,271,270,272,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_30,Bohny_50.030.0031_Plateau_Rescuer_162@EVT_Bohny_50.030.0031_Plateau_Rescuer_30,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_30,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,162,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,264,263,265,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_31,Bohny_50.030.0031_Plateau_Rescuer_177@EVT_Bohny_50.030.0031_Plateau_Rescuer_31,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_31,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,177,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_32,Bohny_50.030.0031_Plateau_Rescuer_185@EVT_Bohny_50.030.0031_Plateau_Rescuer_32,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_32,La Guespy,45.062374,4.312919,1006,0,185,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_33,Bohny_50.030.0031_Plateau_Rescuer_185@EVT_Bohny_50.030.0031_Plateau_Rescuer_33,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_33,L'Abric,45.06056,4.311144,997,0,185,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_34,Bohny_50.030.0031_Plateau_Rescuer_193@EVT_Bohny_50.030.0031_Plateau_Rescuer_34,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_34,La Guespy,45.062374,4.312919,1006,0,193,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_35,Bohny_50.030.0031_Plateau_Rescuer_193@EVT_Bohny_50.030.0031_Plateau_Rescuer_35,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_35,L'Abric,45.06056,4.311144,997,0,193,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_36,Bohny_50.030.0031_Plateau_Rescuer_193@EVT_Bohny_50.030.0031_Plateau_Rescuer_36,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_36,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,193,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,271,270,272,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_37,Bohny_50.030.0031_Plateau_Rescuer_194@EVT_Bohny_50.030.0031_Plateau_Rescuer_37,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_37,La Guespy,45.062374,4.312919,1006,0,194,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_38,Bohny_50.030.0031_Plateau_Rescuer_194@EVT_Bohny_50.030.0031_Plateau_Rescuer_38,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_38,L'Abric,45.06056,4.311144,997,0,194,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_39,Bohny_50.030.0031_Plateau_Rescuer_196@EVT_Bohny_50.030.0031_Plateau_Rescuer_39,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_39,La Guespy,45.062374,4.312919,1006,0,196,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_40,Bohny_50.030.0031_Plateau_Rescuer_196@EVT_Bohny_50.030.0031_Plateau_Rescuer_40,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_40,L'Abric,45.06056,4.311144,997,0,196,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_41,Bohny_50.030.0031_Plateau_Rescuer_199@EVT_Bohny_50.030.0031_Plateau_Rescuer_41,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_41,La Guespy,45.062374,4.312919,1006,0,199,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_42,Bohny_50.030.0031_Plateau_Rescuer_199@EVT_Bohny_50.030.0031_Plateau_Rescuer_42,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_42,L'Abric,45.06056,4.311144,997,0,199,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_43,Bohny_50.030.0031_Plateau_Rescuer_201@EVT_Bohny_50.030.0031_Plateau_Rescuer_43,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_43,La Guespy,45.062374,4.312919,1006,0,201,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_44,Bohny_50.030.0031_Plateau_Rescuer_201@EVT_Bohny_50.030.0031_Plateau_Rescuer_44,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_44,L'Abric,45.06056,4.311144,997,0,201,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,85,84,86,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_45,Bohny_50.030.0031_Plateau_Rescuer_207@EVT_Bohny_50.030.0031_Plateau_Rescuer_45,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_45,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,207,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,271,270,272,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_46,Bohny_50.030.0031_Plateau_Rescuer_212@EVT_Bohny_50.030.0031_Plateau_Rescuer_46,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_46,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,212,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_47,Bohny_50.030.0031_Plateau_Rescuer_232@EVT_Bohny_50.030.0031_Plateau_Rescuer_47,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_47,La Guespy,45.062374,4.312919,1006,0,232,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,119,118,120,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_48,Bohny_50.030.0031_Plateau_Rescuer_251@EVT_Bohny_50.030.0031_Plateau_Rescuer_48,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_48,La Guespy,45.062374,4.312919,1006,0,251,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,119,118,120,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_49,Bohny_50.030.0031_Plateau_Rescuer_251@EVT_Bohny_50.030.0031_Plateau_Rescuer_49,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_49,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,251,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_50,Bohny_50.030.0031_Plateau_Rescuer_252@EVT_Bohny_50.030.0031_Plateau_Rescuer_50,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_50,La Guespy,45.062374,4.312919,1006,0,252,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,119,118,120,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_51,Bohny_50.030.0031_Plateau_Rescuer_254@EVT_Bohny_50.030.0031_Plateau_Rescuer_51,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_51,La Guespy,45.062374,4.312919,1006,0,254,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,119,118,120,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_52,Bohny_50.030.0031_Plateau_Rescuer_254@EVT_Bohny_50.030.0031_Plateau_Rescuer_52,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_52,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,254,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_53,Bohny_50.030.0031_Plateau_Rescuer_257@EVT_Bohny_50.030.0031_Plateau_Rescuer_53,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_53,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,257,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_54,Bohny_50.030.0031_Plateau_Rescuer_258@EVT_Bohny_50.030.0031_Plateau_Rescuer_54,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_54,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,258,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_55,Bohny_50.030.0031_Plateau_Rescuer_260@EVT_Bohny_50.030.0031_Plateau_Rescuer_55,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_55,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,260,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_56,Bohny_50.030.0031_Plateau_Rescuer_261@EVT_Bohny_50.030.0031_Plateau_Rescuer_56,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_56,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,261,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,120,119,121,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_57,Bohny_50.030.0031_Plateau_Rescuer_357@EVT_Bohny_50.030.0031_Plateau_Rescuer_57,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_57,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,357,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,248,247,249,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_58,Bohny_50.030.0031_Plateau_Rescuer_368@EVT_Bohny_50.030.0031_Plateau_Rescuer_58,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_58,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,368,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,248,247,249,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_59,Bohny_50.030.0031_Plateau_Rescuer_387@EVT_Bohny_50.030.0031_Plateau_Rescuer_59,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_59,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,387,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,248,247,249,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_60,Bohny_50.030.0031_Plateau_Rescuer_391@EVT_Bohny_50.030.0031_Plateau_Rescuer_60,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_60,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,391,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,264,263,265,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_61,Bohny_50.030.0031_Plateau_Rescuer_391@EVT_Bohny_50.030.0031_Plateau_Rescuer_61,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_61,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,391,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,271,270,272,,,
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_62,Bohny_50.030.0031_Plateau_Rescuer_391@EVT_Bohny_50.030.0031_Plateau_Rescuer_62,scene_copresence,EVT_Bohny_50.030.0031_Plateau_Rescuer_62,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,391,1,Undirected,Bohny_50.030.0031_Plateau_Rescuer,284,283,285,,,
