name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Bohny_50.030.0031_Plateau_Rescuer_0,myself,he/him/his,76,Person,Bohny_50.030.0031_Plateau_Rescuer,,,,,,Bohny_50.030.0031_Plateau_Rescuer_0
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_1,myself,he/him/his,76,Occurrence,Bohny_50.030.0031_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_Bohny_50.030.0031_Plateau_Rescuer_1,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer_0
Bohny_50.030.0031_Plateau_Rescuer_41,Pastor TrocmÃ ©,he/him/his,18,Person,Bohny_50.030.0031_Plateau_Rescuer,,,,,,Bohny_50.030.0031_Plateau_Rescuer_41
Bohny_50.030.0031_Plateau_Rescuer_41@EVT_Bohny_50.030.0031_Plateau_Rescuer_1,Pastor TrocmÃ ©,he/him/his,18,Occurrence,Bohny_50.030.0031_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_Bohny_50.030.0031_Plateau_Rescuer_1,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer_41
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_2,myself,he/him/his,76,Occurrence,Bohny_50.030.0031_Plateau_Rescuer,La Guespy,EVT_Bohny_50.030.0031_Plateau_Rescuer_2,45.062374,4.312919,1006,Bohny_50.030.0031_Plateau_Rescuer_0
Bohny_50.030.0031_Plateau_Rescuer_48,Mr. Steckler,he/him/his,3,Person,Bohny_50.030.0031_Plateau_Rescuer,,,,,,Bohny_50.030.0031_Plateau_Rescuer_48
Bohny_50.030.0031_Plateau_Rescuer_48@EVT_Bohny_50.030.0031_Plateau_Rescuer_2,Mr. Steckler,he/him/his,3,Occurrence,Bohny_50.030.0031_Plateau_Rescuer,La Guespy,EVT_Bohny_50.030.0031_Plateau_Rescuer_2,45.062374,4.312919,1006,Bohny_50.030.0031_Plateau_Rescuer_48
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_3,myself,he/him/his,76,Occurrence,Bohny_50.030.0031_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_Bohny_50.030.0031_Plateau_Rescuer_3,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer_0
Bohny_50.030.0031_Plateau_Rescuer_48@EVT_Bohny_50.030.0031_Plateau_Rescuer_3,Mr. Steckler,he/him/his,3,Occurrence,Bohny_50.030.0031_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_Bohny_50.030.0031_Plateau_Rescuer_3,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer_48
Bohny_50.030.0031_Plateau_Rescuer_0@EVT_Bohny_50.030.0031_Plateau_Rescuer_4,myself,he/him/his,76,Occurrence,Bohny_50.030.0031_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_Bohny_50.030.0031_Plateau_Rescuer_4,45.06081,4.302941,961,Bohny_50.030.0031_Plateau_Rescuer_0
Bohny_50.030.0031_Plateau_Rescuer_60,Mrs. Forestier,she/her,4,Person,Bohny_50.030.0031_Plateau_Rescuer,,,,,,Bohny_50.030.0031_Plateau_Rescuer_60
