Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_1,C_Michele_3764_Plateau_20@EVT_C_Michele_3764_Plateau_1,scene_copresence,EVT_C_Michele_3764_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,20,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_2,C_Michele_3764_Plateau_21@EVT_C_Michele_3764_Plateau_2,scene_copresence,EVT_C_Michele_3764_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,21,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_3,C_Michele_3764_Plateau_23@EVT_C_Michele_3764_Plateau_3,scene_copresence,EVT_C_Michele_3764_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,23,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_4,C_Michele_3764_Plateau_24@EVT_C_Michele_3764_Plateau_4,scene_copresence,EVT_C_Michele_3764_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,24,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_5,C_Michele_3764_Plateau_26@EVT_C_Michele_3764_Plateau_5,scene_copresence,EVT_C_Michele_3764_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,26,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_6,C_Michele_3764_Plateau_27@EVT_C_Michele_3764_Plateau_6,scene_copresence,EVT_C_Michele_3764_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,27,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_20@EVT_C_Michele_3764_Plateau_7,C_Michele_3764_Plateau_21@EVT_C_Michele_3764_Plateau_7,scene_copresence,EVT_C_Michele_3764_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,21,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_20@EVT_C_Michele_3764_Plateau_8,C_Michele_3764_Plateau_23@EVT_C_Michele_3764_Plateau_8,scene_copresence,EVT_C_Michele_3764_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,23,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_20@EVT_C_Michele_3764_Plateau_9,C_Michele_3764_Plateau_24@EVT_C_Michele_3764_Plateau_9,scene_copresence,EVT_C_Michele_3764_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,24,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_20@EVT_C_Michele_3764_Plateau_10,C_Michele_3764_Plateau_26@EVT_C_Michele_3764_Plateau_10,scene_copresence,EVT_C_Michele_3764_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,26,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_20@EVT_C_Michele_3764_Plateau_11,C_Michele_3764_Plateau_27@EVT_C_Michele_3764_Plateau_11,scene_copresence,EVT_C_Michele_3764_Plateau_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,27,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_21@EVT_C_Michele_3764_Plateau_12,C_Michele_3764_Plateau_23@EVT_C_Michele_3764_Plateau_12,scene_copresence,EVT_C_Michele_3764_Plateau_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,23,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_21@EVT_C_Michele_3764_Plateau_13,C_Michele_3764_Plateau_24@EVT_C_Michele_3764_Plateau_13,scene_copresence,EVT_C_Michele_3764_Plateau_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,24,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
C_Michele_3764_Plateau_21@EVT_C_Michele_3764_Plateau_14,C_Michele_3764_Plateau_26@EVT_C_Michele_3764_Plateau_14,scene_copresence,EVT_C_Michele_3764_Plateau_14,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,26,1,Undirected,C_Michele_3764_Plateau,3,2,4,,,
