name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
C_Michele_3764_Plateau_0,myself,they/them/their,99,Person,C_Michele_3764_Plateau,,,,,,C_Michele_3764_Plateau_0
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_1,myself,they/them/their,99,Occurrence,C_Michele_3764_Plateau,Le Chambon-sur-Lignon,EVT_C_Michele_3764_Plateau_1,45.06081,4.302941,961,C_Michele_3764_Plateau_0
C_Michele_3764_Plateau_20,we,,0,Person,C_Michele_3764_Plateau,,,,,,C_Michele_3764_Plateau_20
C_Michele_3764_Plateau_20@EVT_C_Michele_3764_Plateau_1,we,,0,Occurrence,C_Michele_3764_Plateau,Le Chambon-sur-Lignon,EVT_C_Michele_3764_Plateau_1,45.06081,4.302941,961,C_Michele_3764_Plateau_20
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_2,myself,they/them/their,99,Occurrence,C_Michele_3764_Plateau,Le Chambon-sur-Lignon,EVT_C_Michele_3764_Plateau_2,45.06081,4.302941,961,C_Michele_3764_Plateau_0
C_Michele_3764_Plateau_21,my grandparents,,0,Person,C_Michele_3764_Plateau,,,,,,C_Michele_3764_Plateau_21
C_Michele_3764_Plateau_21@EVT_C_Michele_3764_Plateau_2,my grandparents,,0,Occurrence,C_Michele_3764_Plateau,Le Chambon-sur-Lignon,EVT_C_Michele_3764_Plateau_2,45.06081,4.302941,961,C_Michele_3764_Plateau_21
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_3,myself,they/them/their,99,Occurrence,C_Michele_3764_Plateau,Le Chambon-sur-Lignon,EVT_C_Michele_3764_Plateau_3,45.06081,4.302941,961,C_Michele_3764_Plateau_0
C_Michele_3764_Plateau_23,someone,unknown,2,Person,C_Michele_3764_Plateau,,,,,,C_Michele_3764_Plateau_23
C_Michele_3764_Plateau_23@EVT_C_Michele_3764_Plateau_3,someone,unknown,2,Occurrence,C_Michele_3764_Plateau,Le Chambon-sur-Lignon,EVT_C_Michele_3764_Plateau_3,45.06081,4.302941,961,C_Michele_3764_Plateau_23
C_Michele_3764_Plateau_0@EVT_C_Michele_3764_Plateau_4,myself,they/them/their,99,Occurrence,C_Michele_3764_Plateau,Le Chambon-sur-Lignon,EVT_C_Michele_3764_Plateau_4,45.06081,4.302941,961,C_Michele_3764_Plateau_0
C_Michele_3764_Plateau_24,my parents,they/them/their,8,Person,C_Michele_3764_Plateau,,,,,,C_Michele_3764_Plateau_24
C_Michele_3764_Plateau_24@EVT_C_Michele_3764_Plateau_4,my parents,they/them/their,8,Occurrence,C_Michele_3764_Plateau,Le Chambon-sur-Lignon,EVT_C_Michele_3764_Plateau_4,45.06081,4.302941,961,C_Michele_3764_Plateau_24
