name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Feigl_50.030.0272_Plateau_59,the police,they/them/their,45,Person,Feigl_50.030.0272_Plateau,,,,,,Feigl_50.030.0272_Plateau_59
Feigl_50.030.0272_Plateau_59@EVT_Feigl_50.030.0272_Plateau_1,the police,they/them/their,45,Occurrence,Feigl_50.030.0272_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_50.030.0272_Plateau_1,45.06081,4.302941,961,Feigl_50.030.0272_Plateau_59
Feigl_50.030.0272_Plateau_0,myself,they/them/their,123,Person,Feigl_50.030.0272_Plateau,,,,,,Feigl_50.030.0272_Plateau_0
Feigl_50.030.0272_Plateau_0@EVT_Feigl_50.030.0272_Plateau_1,myself,they/them/their,123,Occurrence,Feigl_50.030.0272_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_50.030.0272_Plateau_1,45.06081,4.302941,961,Feigl_50.030.0272_Plateau_0
Feigl_50.030.0272_Plateau_59@EVT_Feigl_50.030.0272_Plateau_2,the police,they/them/their,45,Occurrence,Feigl_50.030.0272_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_50.030.0272_Plateau_2,45.06081,4.302941,961,Feigl_50.030.0272_Plateau_59
Feigl_50.030.0272_Plateau_0@EVT_Feigl_50.030.0272_Plateau_2,myself,they/them/their,123,Occurrence,Feigl_50.030.0272_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_50.030.0272_Plateau_2,45.06081,4.302941,961,Feigl_50.030.0272_Plateau_0
Feigl_50.030.0272_Plateau_62,a man named Daniel Trocme,he/him/his,24,Person,Feigl_50.030.0272_Plateau,,,,,,Feigl_50.030.0272_Plateau_62
Feigl_50.030.0272_Plateau_62@EVT_Feigl_50.030.0272_Plateau_3,a man named Daniel Trocme,he/him/his,24,Occurrence,Feigl_50.030.0272_Plateau,Les Grillons,EVT_Feigl_50.030.0272_Plateau_3,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau_62
Feigl_50.030.0272_Plateau_0@EVT_Feigl_50.030.0272_Plateau_3,myself,they/them/their,123,Occurrence,Feigl_50.030.0272_Plateau,Les Grillons,EVT_Feigl_50.030.0272_Plateau_3,45.07128,4.326289,1067,Feigl_50.030.0272_Plateau_0
Feigl_50.030.0272_Plateau_123,they,they/them/their,4,Person,Feigl_50.030.0272_Plateau,,,,,,Feigl_50.030.0272_Plateau_123
