Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Feigl_Diary_EnglishTrans_Plateau_0@EVT_Feigl_Diary_EnglishTrans_Plateau_1,Feigl_Diary_EnglishTrans_Plateau_13@EVT_Feigl_Diary_EnglishTrans_Plateau_1,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_1,Les Grillons,45.07128,4.326289,1067,0,13,1,Directed,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
Feigl_Diary_EnglishTrans_Plateau_0@EVT_Feigl_Diary_EnglishTrans_Plateau_2,Feigl_Diary_EnglishTrans_Plateau_13@EVT_Feigl_Diary_EnglishTrans_Plateau_2,action,EVT_Feigl_Diary_EnglishTrans_Plateau_2,Les Grillons,45.07128,4.326289,1067,0,13,1,Directed,Feigl_Diary_EnglishTrans_Plateau,12,11,13,ask,verb.communication,
Feigl_Diary_EnglishTrans_Plateau_0@EVT_Feigl_Diary_EnglishTrans_Plateau_3,Feigl_Diary_EnglishTrans_Plateau_16@EVT_Feigl_Diary_EnglishTrans_Plateau_3,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_3,Les Grillons,45.07128,4.326289,1067,0,16,1,Directed,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
Feigl_Diary_EnglishTrans_Plateau_0@EVT_Feigl_Diary_EnglishTrans_Plateau_4,Feigl_Diary_EnglishTrans_Plateau_16@EVT_Feigl_Diary_EnglishTrans_Plateau_4,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_4,Les Grillons,45.07128,4.326289,1067,0,16,1,Directed,Feigl_Diary_EnglishTrans_Plateau,31,30,32,,,
Feigl_Diary_EnglishTrans_Plateau_0@EVT_Feigl_Diary_EnglishTrans_Plateau_5,Feigl_Diary_EnglishTrans_Plateau_16@EVT_Feigl_Diary_EnglishTrans_Plateau_5,action,EVT_Feigl_Diary_EnglishTrans_Plateau_5,Les Grillons,45.07128,4.326289,1067,0,16,1,Directed,Feigl_Diary_EnglishTrans_Plateau,31,30,32,see,verb.perception,
Feigl_Diary_EnglishTrans_Plateau_13@EVT_Feigl_Diary_EnglishTrans_Plateau_6,Feigl_Diary_EnglishTrans_Plateau_16@EVT_Feigl_Diary_EnglishTrans_Plateau_6,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_6,Les Grillons,45.07128,4.326289,1067,13,16,1,Undirected,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
Feigl_Diary_EnglishTrans_Plateau_0@EVT_Feigl_Diary_EnglishTrans_Plateau_7,Feigl_Diary_EnglishTrans_Plateau_17@EVT_Feigl_Diary_EnglishTrans_Plateau_7,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_7,Les Grillons,45.07128,4.326289,1067,0,17,1,Undirected,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
Feigl_Diary_EnglishTrans_Plateau_13@EVT_Feigl_Diary_EnglishTrans_Plateau_8,Feigl_Diary_EnglishTrans_Plateau_17@EVT_Feigl_Diary_EnglishTrans_Plateau_8,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_8,Les Grillons,45.07128,4.326289,1067,13,17,1,Undirected,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
Feigl_Diary_EnglishTrans_Plateau_16@EVT_Feigl_Diary_EnglishTrans_Plateau_9,Feigl_Diary_EnglishTrans_Plateau_17@EVT_Feigl_Diary_EnglishTrans_Plateau_9,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_9,Les Grillons,45.07128,4.326289,1067,16,17,1,Undirected,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
Feigl_Diary_EnglishTrans_Plateau_0@EVT_Feigl_Diary_EnglishTrans_Plateau_10,Feigl_Diary_EnglishTrans_Plateau_32@EVT_Feigl_Diary_EnglishTrans_Plateau_10,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_10,Les Grillons,45.07128,4.326289,1067,0,32,1,Undirected,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
Feigl_Diary_EnglishTrans_Plateau_13@EVT_Feigl_Diary_EnglishTrans_Plateau_11,Feigl_Diary_EnglishTrans_Plateau_32@EVT_Feigl_Diary_EnglishTrans_Plateau_11,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_11,Les Grillons,45.07128,4.326289,1067,13,32,1,Undirected,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
Feigl_Diary_EnglishTrans_Plateau_16@EVT_Feigl_Diary_EnglishTrans_Plateau_12,Feigl_Diary_EnglishTrans_Plateau_32@EVT_Feigl_Diary_EnglishTrans_Plateau_12,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_12,Les Grillons,45.07128,4.326289,1067,16,32,1,Undirected,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
Feigl_Diary_EnglishTrans_Plateau_17@EVT_Feigl_Diary_EnglishTrans_Plateau_13,Feigl_Diary_EnglishTrans_Plateau_32@EVT_Feigl_Diary_EnglishTrans_Plateau_13,scene_copresence,EVT_Feigl_Diary_EnglishTrans_Plateau_13,Les Grillons,45.07128,4.326289,1067,17,32,1,Undirected,Feigl_Diary_EnglishTrans_Plateau,12,11,13,,,
