Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_1,Feigl_Peter_28408_Plateau_1@EVT_Feigl_Peter_28408_Plateau_1,scene_copresence,EVT_Feigl_Peter_28408_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,1,1,Undirected,Feigl_Peter_28408_Plateau,50,49,51,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_2,Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_2,scene_copresence,EVT_Feigl_Peter_28408_Plateau_2,Les Grillons,45.07128,4.326289,1067,0,10,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_3,Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_3,scene_copresence,EVT_Feigl_Peter_28408_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,10,1,Undirected,Feigl_Peter_28408_Plateau,12,11,13,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_4,Feigl_Peter_28408_Plateau_11@EVT_Feigl_Peter_28408_Plateau_4,scene_copresence,EVT_Feigl_Peter_28408_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,11,1,Undirected,Feigl_Peter_28408_Plateau,12,11,13,,,
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_5,Feigl_Peter_28408_Plateau_11@EVT_Feigl_Peter_28408_Plateau_5,scene_copresence,EVT_Feigl_Peter_28408_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,11,1,Undirected,Feigl_Peter_28408_Plateau,12,11,13,,,
Feigl_Peter_28408_Plateau_1@EVT_Feigl_Peter_28408_Plateau_6,Feigl_Peter_28408_Plateau_14@EVT_Feigl_Peter_28408_Plateau_6,scene_copresence,EVT_Feigl_Peter_28408_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,1,14,1,Undirected,Feigl_Peter_28408_Plateau,49,48,50,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_7,Feigl_Peter_28408_Plateau_16@EVT_Feigl_Peter_28408_Plateau_7,scene_copresence,EVT_Feigl_Peter_28408_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,16,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_8,Feigl_Peter_28408_Plateau_17@EVT_Feigl_Peter_28408_Plateau_8,scene_copresence,EVT_Feigl_Peter_28408_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,17,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_16@EVT_Feigl_Peter_28408_Plateau_9,Feigl_Peter_28408_Plateau_17@EVT_Feigl_Peter_28408_Plateau_9,scene_copresence,EVT_Feigl_Peter_28408_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,17,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_10,Feigl_Peter_28408_Plateau_18@EVT_Feigl_Peter_28408_Plateau_10,scene_copresence,EVT_Feigl_Peter_28408_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,18,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_16@EVT_Feigl_Peter_28408_Plateau_11,Feigl_Peter_28408_Plateau_18@EVT_Feigl_Peter_28408_Plateau_11,scene_copresence,EVT_Feigl_Peter_28408_Plateau_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,18,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_17@EVT_Feigl_Peter_28408_Plateau_12,Feigl_Peter_28408_Plateau_18@EVT_Feigl_Peter_28408_Plateau_12,scene_copresence,EVT_Feigl_Peter_28408_Plateau_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,17,18,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_13,Feigl_Peter_28408_Plateau_19@EVT_Feigl_Peter_28408_Plateau_13,scene_copresence,EVT_Feigl_Peter_28408_Plateau_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,19,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_16@EVT_Feigl_Peter_28408_Plateau_14,Feigl_Peter_28408_Plateau_19@EVT_Feigl_Peter_28408_Plateau_14,scene_copresence,EVT_Feigl_Peter_28408_Plateau_14,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,19,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_17@EVT_Feigl_Peter_28408_Plateau_15,Feigl_Peter_28408_Plateau_19@EVT_Feigl_Peter_28408_Plateau_15,scene_copresence,EVT_Feigl_Peter_28408_Plateau_15,Le Chambon-sur-Lignon,45.06081,4.302941,961,17,19,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_18@EVT_Feigl_Peter_28408_Plateau_16,Feigl_Peter_28408_Plateau_19@EVT_Feigl_Peter_28408_Plateau_16,scene_copresence,EVT_Feigl_Peter_28408_Plateau_16,Le Chambon-sur-Lignon,45.06081,4.302941,961,18,19,1,Undirected,Feigl_Peter_28408_Plateau,3,2,4,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_17,Feigl_Peter_28408_Plateau_22@EVT_Feigl_Peter_28408_Plateau_17,scene_copresence,EVT_Feigl_Peter_28408_Plateau_17,Les Grillons,45.07128,4.326289,1067,0,22,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_18,Feigl_Peter_28408_Plateau_22@EVT_Feigl_Peter_28408_Plateau_18,scene_copresence,EVT_Feigl_Peter_28408_Plateau_18,Les Grillons,45.07128,4.326289,1067,10,22,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_19,Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_19,scene_copresence,EVT_Feigl_Peter_28408_Plateau_19,Les Grillons,45.07128,4.326289,1067,0,23,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_20,Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_20,scene_copresence,EVT_Feigl_Peter_28408_Plateau_20,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,23,1,Undirected,Feigl_Peter_28408_Plateau,12,11,13,,,
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_21,Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_21,scene_copresence,EVT_Feigl_Peter_28408_Plateau_21,Les Grillons,45.07128,4.326289,1067,10,23,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_22,Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_22,scene_copresence,EVT_Feigl_Peter_28408_Plateau_22,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,23,1,Undirected,Feigl_Peter_28408_Plateau,12,11,13,,,
Feigl_Peter_28408_Plateau_11@EVT_Feigl_Peter_28408_Plateau_23,Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_23,scene_copresence,EVT_Feigl_Peter_28408_Plateau_23,Le Chambon-sur-Lignon,45.06081,4.302941,961,11,23,1,Undirected,Feigl_Peter_28408_Plateau,12,11,13,,,
Feigl_Peter_28408_Plateau_22@EVT_Feigl_Peter_28408_Plateau_24,Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_24,scene_copresence,EVT_Feigl_Peter_28408_Plateau_24,Les Grillons,45.07128,4.326289,1067,22,23,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_25,Feigl_Peter_28408_Plateau_25@EVT_Feigl_Peter_28408_Plateau_25,scene_copresence,EVT_Feigl_Peter_28408_Plateau_25,Les Grillons,45.07128,4.326289,1067,0,25,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_26,Feigl_Peter_28408_Plateau_25@EVT_Feigl_Peter_28408_Plateau_26,scene_copresence,EVT_Feigl_Peter_28408_Plateau_26,Les Grillons,45.07128,4.326289,1067,10,25,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_22@EVT_Feigl_Peter_28408_Plateau_27,Feigl_Peter_28408_Plateau_25@EVT_Feigl_Peter_28408_Plateau_27,scene_copresence,EVT_Feigl_Peter_28408_Plateau_27,Les Grillons,45.07128,4.326289,1067,22,25,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_28,Feigl_Peter_28408_Plateau_25@EVT_Feigl_Peter_28408_Plateau_28,scene_copresence,EVT_Feigl_Peter_28408_Plateau_28,Les Grillons,45.07128,4.326289,1067,23,25,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_29,Feigl_Peter_28408_Plateau_26@EVT_Feigl_Peter_28408_Plateau_29,scene_copresence,EVT_Feigl_Peter_28408_Plateau_29,Les Grillons,45.07128,4.326289,1067,0,26,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_30,Feigl_Peter_28408_Plateau_26@EVT_Feigl_Peter_28408_Plateau_30,scene_copresence,EVT_Feigl_Peter_28408_Plateau_30,Les Grillons,45.07128,4.326289,1067,10,26,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_22@EVT_Feigl_Peter_28408_Plateau_31,Feigl_Peter_28408_Plateau_26@EVT_Feigl_Peter_28408_Plateau_31,scene_copresence,EVT_Feigl_Peter_28408_Plateau_31,Les Grillons,45.07128,4.326289,1067,22,26,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_32,Feigl_Peter_28408_Plateau_26@EVT_Feigl_Peter_28408_Plateau_32,scene_copresence,EVT_Feigl_Peter_28408_Plateau_32,Les Grillons,45.07128,4.326289,1067,23,26,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_25@EVT_Feigl_Peter_28408_Plateau_33,Feigl_Peter_28408_Plateau_26@EVT_Feigl_Peter_28408_Plateau_33,scene_copresence,EVT_Feigl_Peter_28408_Plateau_33,Les Grillons,45.07128,4.326289,1067,25,26,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_34,Feigl_Peter_28408_Plateau_27@EVT_Feigl_Peter_28408_Plateau_34,scene_copresence,EVT_Feigl_Peter_28408_Plateau_34,Les Grillons,45.07128,4.326289,1067,0,27,1,Undirected,Feigl_Peter_28408_Plateau,8,7,9,,,
