name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Feigl_Peter_28408_Plateau_0,myself,they/them/their,32,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_1,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_1,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_1,itself,,0,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_1
Feigl_Peter_28408_Plateau_1@EVT_Feigl_Peter_28408_Plateau_1,itself,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_1,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_1
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_2,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Les Grillons,EVT_Feigl_Peter_28408_Plateau_2,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_10,Daniel Trocme,he/him/his,4,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_10
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_2,Daniel Trocme,he/him/his,4,Occurrence,Feigl_Peter_28408_Plateau,Les Grillons,EVT_Feigl_Peter_28408_Plateau_2,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau_10
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_3,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_3,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_3,Daniel Trocme,he/him/his,4,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_3,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_10
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_4,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_4,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_11,Andre Trocme,they/them/their,2,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_11
Feigl_Peter_28408_Plateau_11@EVT_Feigl_Peter_28408_Plateau_4,Andre Trocme,they/them/their,2,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_4,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_11
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_5,Daniel Trocme,he/him/his,4,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_5,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_10
Feigl_Peter_28408_Plateau_11@EVT_Feigl_Peter_28408_Plateau_5,Andre Trocme,they/them/their,2,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_5,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_11
Feigl_Peter_28408_Plateau_1@EVT_Feigl_Peter_28408_Plateau_6,itself,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_6,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_1
Feigl_Peter_28408_Plateau_14,the Germans,,0,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_14
Feigl_Peter_28408_Plateau_14@EVT_Feigl_Peter_28408_Plateau_6,the Germans,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_6,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_14
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_7,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_7,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_16,they,,0,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_16
Feigl_Peter_28408_Plateau_16@EVT_Feigl_Peter_28408_Plateau_7,they,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_7,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_16
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_8,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_8,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_17,police,,0,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_17
Feigl_Peter_28408_Plateau_17@EVT_Feigl_Peter_28408_Plateau_8,police,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_8,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_17
Feigl_Peter_28408_Plateau_16@EVT_Feigl_Peter_28408_Plateau_9,they,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_9,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_16
Feigl_Peter_28408_Plateau_17@EVT_Feigl_Peter_28408_Plateau_9,police,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_9,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_17
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_10,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_10,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_18,people,,0,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_18
Feigl_Peter_28408_Plateau_18@EVT_Feigl_Peter_28408_Plateau_10,people,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_10,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_18
Feigl_Peter_28408_Plateau_16@EVT_Feigl_Peter_28408_Plateau_11,they,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_11,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_16
Feigl_Peter_28408_Plateau_18@EVT_Feigl_Peter_28408_Plateau_11,people,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_11,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_18
Feigl_Peter_28408_Plateau_17@EVT_Feigl_Peter_28408_Plateau_12,police,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_12,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_17
Feigl_Peter_28408_Plateau_18@EVT_Feigl_Peter_28408_Plateau_12,people,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_12,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_18
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_13,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_13,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_19,traveler,,0,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_19
Feigl_Peter_28408_Plateau_19@EVT_Feigl_Peter_28408_Plateau_13,traveler,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_13,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_19
Feigl_Peter_28408_Plateau_16@EVT_Feigl_Peter_28408_Plateau_14,they,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_14,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_16
Feigl_Peter_28408_Plateau_19@EVT_Feigl_Peter_28408_Plateau_14,traveler,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_14,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_19
Feigl_Peter_28408_Plateau_17@EVT_Feigl_Peter_28408_Plateau_15,police,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_15,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_17
Feigl_Peter_28408_Plateau_19@EVT_Feigl_Peter_28408_Plateau_15,traveler,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_15,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_19
Feigl_Peter_28408_Plateau_18@EVT_Feigl_Peter_28408_Plateau_16,people,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_16,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_18
Feigl_Peter_28408_Plateau_19@EVT_Feigl_Peter_28408_Plateau_16,traveler,,0,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_16,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_19
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_17,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Les Grillons,EVT_Feigl_Peter_28408_Plateau_17,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_22,a young man named Daniel Trocme,,0,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_22
Feigl_Peter_28408_Plateau_22@EVT_Feigl_Peter_28408_Plateau_17,a young man named Daniel Trocme,,0,Occurrence,Feigl_Peter_28408_Plateau,Les Grillons,EVT_Feigl_Peter_28408_Plateau_17,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau_22
Feigl_Peter_28408_Plateau_10@EVT_Feigl_Peter_28408_Plateau_18,Daniel Trocme,he/him/his,4,Occurrence,Feigl_Peter_28408_Plateau,Les Grillons,EVT_Feigl_Peter_28408_Plateau_18,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau_10
Feigl_Peter_28408_Plateau_22@EVT_Feigl_Peter_28408_Plateau_18,a young man named Daniel Trocme,,0,Occurrence,Feigl_Peter_28408_Plateau,Les Grillons,EVT_Feigl_Peter_28408_Plateau_18,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau_22
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_19,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Les Grillons,EVT_Feigl_Peter_28408_Plateau_19,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_23,we,unknown,3,Person,Feigl_Peter_28408_Plateau,,,,,,Feigl_Peter_28408_Plateau_23
Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_19,we,unknown,3,Occurrence,Feigl_Peter_28408_Plateau,Les Grillons,EVT_Feigl_Peter_28408_Plateau_19,45.07128,4.326289,1067,Feigl_Peter_28408_Plateau_23
Feigl_Peter_28408_Plateau_0@EVT_Feigl_Peter_28408_Plateau_20,myself,they/them/their,32,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_20,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_0
Feigl_Peter_28408_Plateau_23@EVT_Feigl_Peter_28408_Plateau_20,we,unknown,3,Occurrence,Feigl_Peter_28408_Plateau,Le Chambon-sur-Lignon,EVT_Feigl_Peter_28408_Plateau_20,45.06081,4.302941,961,Feigl_Peter_28408_Plateau_23
