Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Fink_50.042.0011_Plateau_RescuerJewish_20@EVT_Fink_50.042.0011_Plateau_RescuerJewish_1,Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_1,action,EVT_Fink_50.042.0011_Plateau_RescuerJewish_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,0,1,Directed,Fink_50.042.0011_Plateau_RescuerJewish,9,8,10,tell,verb.communication,
Fink_50.042.0011_Plateau_RescuerJewish_20@EVT_Fink_50.042.0011_Plateau_RescuerJewish_2,Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_2,action,EVT_Fink_50.042.0011_Plateau_RescuerJewish_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,0,1,Directed,Fink_50.042.0011_Plateau_RescuerJewish,10,9,11,tell,verb.communication,
Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_3,Fink_50.042.0011_Plateau_RescuerJewish_2@EVT_Fink_50.042.0011_Plateau_RescuerJewish_3,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,2,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
Fink_50.042.0011_Plateau_RescuerJewish_10@EVT_Fink_50.042.0011_Plateau_RescuerJewish_4,Fink_50.042.0011_Plateau_RescuerJewish_2@EVT_Fink_50.042.0011_Plateau_RescuerJewish_4,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,2,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
Fink_50.042.0011_Plateau_RescuerJewish_12@EVT_Fink_50.042.0011_Plateau_RescuerJewish_5,Fink_50.042.0011_Plateau_RescuerJewish_2@EVT_Fink_50.042.0011_Plateau_RescuerJewish_5,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,12,2,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
Fink_50.042.0011_Plateau_RescuerJewish_14@EVT_Fink_50.042.0011_Plateau_RescuerJewish_6,Fink_50.042.0011_Plateau_RescuerJewish_2@EVT_Fink_50.042.0011_Plateau_RescuerJewish_6,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,14,2,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
Fink_50.042.0011_Plateau_RescuerJewish_15@EVT_Fink_50.042.0011_Plateau_RescuerJewish_7,Fink_50.042.0011_Plateau_RescuerJewish_2@EVT_Fink_50.042.0011_Plateau_RescuerJewish_7,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,15,2,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_8,Fink_50.042.0011_Plateau_RescuerJewish_7@EVT_Fink_50.042.0011_Plateau_RescuerJewish_8,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,7,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_9,Fink_50.042.0011_Plateau_RescuerJewish_8@EVT_Fink_50.042.0011_Plateau_RescuerJewish_9,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,8,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
Fink_50.042.0011_Plateau_RescuerJewish_7@EVT_Fink_50.042.0011_Plateau_RescuerJewish_10,Fink_50.042.0011_Plateau_RescuerJewish_8@EVT_Fink_50.042.0011_Plateau_RescuerJewish_10,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,7,8,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_11,Fink_50.042.0011_Plateau_RescuerJewish_9@EVT_Fink_50.042.0011_Plateau_RescuerJewish_11,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,9,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_12,Fink_50.042.0011_Plateau_RescuerJewish_9@EVT_Fink_50.042.0011_Plateau_RescuerJewish_12,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,9,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_13,Fink_50.042.0011_Plateau_RescuerJewish_9@EVT_Fink_50.042.0011_Plateau_RescuerJewish_13,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,9,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,6,5,7,,,
Fink_50.042.0011_Plateau_RescuerJewish_2@EVT_Fink_50.042.0011_Plateau_RescuerJewish_14,Fink_50.042.0011_Plateau_RescuerJewish_9@EVT_Fink_50.042.0011_Plateau_RescuerJewish_14,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_14,Le Chambon-sur-Lignon,45.06081,4.302941,961,2,9,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
Fink_50.042.0011_Plateau_RescuerJewish_7@EVT_Fink_50.042.0011_Plateau_RescuerJewish_15,Fink_50.042.0011_Plateau_RescuerJewish_9@EVT_Fink_50.042.0011_Plateau_RescuerJewish_15,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_15,Le Chambon-sur-Lignon,45.06081,4.302941,961,7,9,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
Fink_50.042.0011_Plateau_RescuerJewish_8@EVT_Fink_50.042.0011_Plateau_RescuerJewish_16,Fink_50.042.0011_Plateau_RescuerJewish_9@EVT_Fink_50.042.0011_Plateau_RescuerJewish_16,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_16,Le Chambon-sur-Lignon,45.06081,4.302941,961,8,9,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,1,0,2,,,
Fink_50.042.0011_Plateau_RescuerJewish_10@EVT_Fink_50.042.0011_Plateau_RescuerJewish_17,Fink_50.042.0011_Plateau_RescuerJewish_9@EVT_Fink_50.042.0011_Plateau_RescuerJewish_17,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_17,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,9,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
Fink_50.042.0011_Plateau_RescuerJewish_12@EVT_Fink_50.042.0011_Plateau_RescuerJewish_18,Fink_50.042.0011_Plateau_RescuerJewish_9@EVT_Fink_50.042.0011_Plateau_RescuerJewish_18,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_18,Le Chambon-sur-Lignon,45.06081,4.302941,961,12,9,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
Fink_50.042.0011_Plateau_RescuerJewish_14@EVT_Fink_50.042.0011_Plateau_RescuerJewish_19,Fink_50.042.0011_Plateau_RescuerJewish_9@EVT_Fink_50.042.0011_Plateau_RescuerJewish_19,scene_copresence,EVT_Fink_50.042.0011_Plateau_RescuerJewish_19,Le Chambon-sur-Lignon,45.06081,4.302941,961,14,9,1,Undirected,Fink_50.042.0011_Plateau_RescuerJewish,4,3,5,,,
