name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Fink_50.042.0011_Plateau_RescuerJewish_20,this pastor,he/him/his,5,Person,Fink_50.042.0011_Plateau_RescuerJewish,,,,,,Fink_50.042.0011_Plateau_RescuerJewish_20
Fink_50.042.0011_Plateau_RescuerJewish_20@EVT_Fink_50.042.0011_Plateau_RescuerJewish_1,this pastor,he/him/his,5,Occurrence,Fink_50.042.0011_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.042.0011_Plateau_RescuerJewish_1,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish_20
Fink_50.042.0011_Plateau_RescuerJewish_0,I,they/them/their,8,Person,Fink_50.042.0011_Plateau_RescuerJewish,,,,,,Fink_50.042.0011_Plateau_RescuerJewish_0
Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_1,I,they/them/their,8,Occurrence,Fink_50.042.0011_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.042.0011_Plateau_RescuerJewish_1,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish_0
Fink_50.042.0011_Plateau_RescuerJewish_20@EVT_Fink_50.042.0011_Plateau_RescuerJewish_2,this pastor,he/him/his,5,Occurrence,Fink_50.042.0011_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.042.0011_Plateau_RescuerJewish_2,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish_20
Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_2,I,they/them/their,8,Occurrence,Fink_50.042.0011_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.042.0011_Plateau_RescuerJewish_2,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish_0
Fink_50.042.0011_Plateau_RescuerJewish_0@EVT_Fink_50.042.0011_Plateau_RescuerJewish_3,I,they/them/their,8,Occurrence,Fink_50.042.0011_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.042.0011_Plateau_RescuerJewish_3,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish_0
Fink_50.042.0011_Plateau_RescuerJewish_2,Le Chambon - sur - Lignon,,0,Person,Fink_50.042.0011_Plateau_RescuerJewish,,,,,,Fink_50.042.0011_Plateau_RescuerJewish_2
Fink_50.042.0011_Plateau_RescuerJewish_2@EVT_Fink_50.042.0011_Plateau_RescuerJewish_3,Le Chambon - sur - Lignon,,0,Occurrence,Fink_50.042.0011_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.042.0011_Plateau_RescuerJewish_3,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish_2
Fink_50.042.0011_Plateau_RescuerJewish_10,My children,they/them/their,2,Person,Fink_50.042.0011_Plateau_RescuerJewish,,,,,,Fink_50.042.0011_Plateau_RescuerJewish_10
Fink_50.042.0011_Plateau_RescuerJewish_10@EVT_Fink_50.042.0011_Plateau_RescuerJewish_4,My children,they/them/their,2,Occurrence,Fink_50.042.0011_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.042.0011_Plateau_RescuerJewish_4,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish_10
Fink_50.042.0011_Plateau_RescuerJewish_2@EVT_Fink_50.042.0011_Plateau_RescuerJewish_4,Le Chambon - sur - Lignon,,0,Occurrence,Fink_50.042.0011_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.042.0011_Plateau_RescuerJewish_4,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish_2
Fink_50.042.0011_Plateau_RescuerJewish_12,their priest,,0,Person,Fink_50.042.0011_Plateau_RescuerJewish,,,,,,Fink_50.042.0011_Plateau_RescuerJewish_12
Fink_50.042.0011_Plateau_RescuerJewish_12@EVT_Fink_50.042.0011_Plateau_RescuerJewish_5,their priest,,0,Occurrence,Fink_50.042.0011_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.042.0011_Plateau_RescuerJewish_5,45.06081,4.302941,961,Fink_50.042.0011_Plateau_RescuerJewish_12
