Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Fink_50.156.0012_PlateauRescuerJewish_0@EVT_Fink_50.156.0012_PlateauRescuerJewish_1,Fink_50.156.0012_PlateauRescuerJewish_10@EVT_Fink_50.156.0012_PlateauRescuerJewish_1,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,10,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
Fink_50.156.0012_PlateauRescuerJewish_0@EVT_Fink_50.156.0012_PlateauRescuerJewish_2,Fink_50.156.0012_PlateauRescuerJewish_13@EVT_Fink_50.156.0012_PlateauRescuerJewish_2,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,13,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
Fink_50.156.0012_PlateauRescuerJewish_0@EVT_Fink_50.156.0012_PlateauRescuerJewish_3,Fink_50.156.0012_PlateauRescuerJewish_23@EVT_Fink_50.156.0012_PlateauRescuerJewish_3,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,23,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
Fink_50.156.0012_PlateauRescuerJewish_0@EVT_Fink_50.156.0012_PlateauRescuerJewish_4,Fink_50.156.0012_PlateauRescuerJewish_24@EVT_Fink_50.156.0012_PlateauRescuerJewish_4,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,24,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
Fink_50.156.0012_PlateauRescuerJewish_0@EVT_Fink_50.156.0012_PlateauRescuerJewish_5,Fink_50.156.0012_PlateauRescuerJewish_25@EVT_Fink_50.156.0012_PlateauRescuerJewish_5,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,25,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
Fink_50.156.0012_PlateauRescuerJewish_0@EVT_Fink_50.156.0012_PlateauRescuerJewish_6,Fink_50.156.0012_PlateauRescuerJewish_9@EVT_Fink_50.156.0012_PlateauRescuerJewish_6,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,9,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
Fink_50.156.0012_PlateauRescuerJewish_10@EVT_Fink_50.156.0012_PlateauRescuerJewish_7,Fink_50.156.0012_PlateauRescuerJewish_13@EVT_Fink_50.156.0012_PlateauRescuerJewish_7,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,13,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
Fink_50.156.0012_PlateauRescuerJewish_10@EVT_Fink_50.156.0012_PlateauRescuerJewish_8,Fink_50.156.0012_PlateauRescuerJewish_23@EVT_Fink_50.156.0012_PlateauRescuerJewish_8,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,23,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
Fink_50.156.0012_PlateauRescuerJewish_10@EVT_Fink_50.156.0012_PlateauRescuerJewish_9,Fink_50.156.0012_PlateauRescuerJewish_24@EVT_Fink_50.156.0012_PlateauRescuerJewish_9,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,24,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
Fink_50.156.0012_PlateauRescuerJewish_10@EVT_Fink_50.156.0012_PlateauRescuerJewish_10,Fink_50.156.0012_PlateauRescuerJewish_25@EVT_Fink_50.156.0012_PlateauRescuerJewish_10,scene_copresence,EVT_Fink_50.156.0012_PlateauRescuerJewish_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,25,1,Undirected,Fink_50.156.0012_PlateauRescuerJewish,8,7,9,,,
