name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Fink_50.156.0012_PlateauRescuerJewish_0,I,they/them/their,46,Person,Fink_50.156.0012_PlateauRescuerJewish,,,,,,Fink_50.156.0012_PlateauRescuerJewish_0
Fink_50.156.0012_PlateauRescuerJewish_0@EVT_Fink_50.156.0012_PlateauRescuerJewish_1,I,they/them/their,46,Occurrence,Fink_50.156.0012_PlateauRescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.156.0012_PlateauRescuerJewish_1,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish_0
Fink_50.156.0012_PlateauRescuerJewish_10,Pastor Trocme,he/him/his,16,Person,Fink_50.156.0012_PlateauRescuerJewish,,,,,,Fink_50.156.0012_PlateauRescuerJewish_10
Fink_50.156.0012_PlateauRescuerJewish_10@EVT_Fink_50.156.0012_PlateauRescuerJewish_1,Pastor Trocme,he/him/his,16,Occurrence,Fink_50.156.0012_PlateauRescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.156.0012_PlateauRescuerJewish_1,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish_10
Fink_50.156.0012_PlateauRescuerJewish_0@EVT_Fink_50.156.0012_PlateauRescuerJewish_2,I,they/them/their,46,Occurrence,Fink_50.156.0012_PlateauRescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.156.0012_PlateauRescuerJewish_2,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish_0
Fink_50.156.0012_PlateauRescuerJewish_13,you,unknown,5,Person,Fink_50.156.0012_PlateauRescuerJewish,,,,,,Fink_50.156.0012_PlateauRescuerJewish_13
Fink_50.156.0012_PlateauRescuerJewish_13@EVT_Fink_50.156.0012_PlateauRescuerJewish_2,you,unknown,5,Occurrence,Fink_50.156.0012_PlateauRescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.156.0012_PlateauRescuerJewish_2,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish_13
Fink_50.156.0012_PlateauRescuerJewish_0@EVT_Fink_50.156.0012_PlateauRescuerJewish_3,I,they/them/their,46,Occurrence,Fink_50.156.0012_PlateauRescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.156.0012_PlateauRescuerJewish_3,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish_0
Fink_50.156.0012_PlateauRescuerJewish_23,my kids,they/them/their,11,Person,Fink_50.156.0012_PlateauRescuerJewish,,,,,,Fink_50.156.0012_PlateauRescuerJewish_23
Fink_50.156.0012_PlateauRescuerJewish_23@EVT_Fink_50.156.0012_PlateauRescuerJewish_3,my kids,they/them/their,11,Occurrence,Fink_50.156.0012_PlateauRescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_50.156.0012_PlateauRescuerJewish_3,45.06081,4.302941,961,Fink_50.156.0012_PlateauRescuerJewish_23
