Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_1,Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_1,scene_copresence,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,45,1,Directed,Fink_Paulette_11744_Plateau_RescuerJewish,45,44,46,,,
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_2,Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_2,action,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,45,1,Directed,Fink_Paulette_11744_Plateau_RescuerJewish,45,44,46,tell,verb.communication,
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_3,Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_3,scene_copresence,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,45,1,Directed,Fink_Paulette_11744_Plateau_RescuerJewish,46,45,47,,,
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_4,Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_4,action,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,45,1,Directed,Fink_Paulette_11744_Plateau_RescuerJewish,46,45,47,tell,verb.communication,
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_5,Fink_Paulette_11744_Plateau_RescuerJewish_47@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_5,scene_copresence,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,47,1,Directed,Fink_Paulette_11744_Plateau_RescuerJewish,45,44,46,,,
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_6,Fink_Paulette_11744_Plateau_RescuerJewish_47@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_6,action,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,47,1,Directed,Fink_Paulette_11744_Plateau_RescuerJewish,45,44,46,put,verb.contact,
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_7,Fink_Paulette_11744_Plateau_RescuerJewish_47@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_7,scene_copresence,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,47,1,Directed,Fink_Paulette_11744_Plateau_RescuerJewish,46,45,47,,,
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_8,Fink_Paulette_11744_Plateau_RescuerJewish_47@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_8,action,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,47,1,Directed,Fink_Paulette_11744_Plateau_RescuerJewish,46,45,47,put,verb.contact,
Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_9,Fink_Paulette_11744_Plateau_RescuerJewish_47@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_9,scene_copresence,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,45,47,1,Undirected,Fink_Paulette_11744_Plateau_RescuerJewish,45,44,46,,,
Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_10,Fink_Paulette_11744_Plateau_RescuerJewish_47@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_10,scene_copresence,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,45,47,1,Undirected,Fink_Paulette_11744_Plateau_RescuerJewish,46,45,47,,,
