name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Fink_Paulette_11744_Plateau_RescuerJewish_0,myself,they/them/their,28,Person,Fink_Paulette_11744_Plateau_RescuerJewish,,,,,,Fink_Paulette_11744_Plateau_RescuerJewish_0
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_1,myself,they/them/their,28,Occurrence,Fink_Paulette_11744_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_1,45.06081,4.302941,961,Fink_Paulette_11744_Plateau_RescuerJewish_0
Fink_Paulette_11744_Plateau_RescuerJewish_45,yourself,unknown,10,Person,Fink_Paulette_11744_Plateau_RescuerJewish,,,,,,Fink_Paulette_11744_Plateau_RescuerJewish_45
Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_1,yourself,unknown,10,Occurrence,Fink_Paulette_11744_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_1,45.06081,4.302941,961,Fink_Paulette_11744_Plateau_RescuerJewish_45
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_2,myself,they/them/their,28,Occurrence,Fink_Paulette_11744_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_2,45.06081,4.302941,961,Fink_Paulette_11744_Plateau_RescuerJewish_0
Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_2,yourself,unknown,10,Occurrence,Fink_Paulette_11744_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_2,45.06081,4.302941,961,Fink_Paulette_11744_Plateau_RescuerJewish_45
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_3,myself,they/them/their,28,Occurrence,Fink_Paulette_11744_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_3,45.06081,4.302941,961,Fink_Paulette_11744_Plateau_RescuerJewish_0
Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_3,yourself,unknown,10,Occurrence,Fink_Paulette_11744_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_3,45.06081,4.302941,961,Fink_Paulette_11744_Plateau_RescuerJewish_45
Fink_Paulette_11744_Plateau_RescuerJewish_0@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_4,myself,they/them/their,28,Occurrence,Fink_Paulette_11744_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_4,45.06081,4.302941,961,Fink_Paulette_11744_Plateau_RescuerJewish_0
Fink_Paulette_11744_Plateau_RescuerJewish_45@EVT_Fink_Paulette_11744_Plateau_RescuerJewish_4,yourself,unknown,10,Occurrence,Fink_Paulette_11744_Plateau_RescuerJewish,Le Chambon-sur-Lignon,EVT_Fink_Paulette_11744_Plateau_RescuerJewish_4,45.06081,4.302941,961,Fink_Paulette_11744_Plateau_RescuerJewish_45
