Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Gruenhut_Egon_40167_Plateau_19@EVT_Gruenhut_Egon_40167_Plateau_1,Gruenhut_Egon_40167_Plateau_28@EVT_Gruenhut_Egon_40167_Plateau_1,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,19,28,1,Undirected,Gruenhut_Egon_40167_Plateau,0,0,1,,,
Gruenhut_Egon_40167_Plateau_19@EVT_Gruenhut_Egon_40167_Plateau_2,Gruenhut_Egon_40167_Plateau_30@EVT_Gruenhut_Egon_40167_Plateau_2,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,19,30,1,Undirected,Gruenhut_Egon_40167_Plateau,0,0,1,,,
Gruenhut_Egon_40167_Plateau_28@EVT_Gruenhut_Egon_40167_Plateau_3,Gruenhut_Egon_40167_Plateau_30@EVT_Gruenhut_Egon_40167_Plateau_3,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,28,30,1,Undirected,Gruenhut_Egon_40167_Plateau,0,0,1,,,
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_4,Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_4,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,31,1,Undirected,Gruenhut_Egon_40167_Plateau,9,8,10,,,
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_5,Gruenhut_Egon_40167_Plateau_20@EVT_Gruenhut_Egon_40167_Plateau_5,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,20,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_6,Gruenhut_Egon_40167_Plateau_21@EVT_Gruenhut_Egon_40167_Plateau_6,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,21,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_7,Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_7,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,31,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_8,Gruenhut_Egon_40167_Plateau_39@EVT_Gruenhut_Egon_40167_Plateau_8,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,39,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_9,Gruenhut_Egon_40167_Plateau_40@EVT_Gruenhut_Egon_40167_Plateau_9,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,40,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_10,Gruenhut_Egon_40167_Plateau_41@EVT_Gruenhut_Egon_40167_Plateau_10,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,41,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_20@EVT_Gruenhut_Egon_40167_Plateau_11,Gruenhut_Egon_40167_Plateau_21@EVT_Gruenhut_Egon_40167_Plateau_11,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,21,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_20@EVT_Gruenhut_Egon_40167_Plateau_12,Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_12,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,31,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_20@EVT_Gruenhut_Egon_40167_Plateau_13,Gruenhut_Egon_40167_Plateau_39@EVT_Gruenhut_Egon_40167_Plateau_13,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,39,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_20@EVT_Gruenhut_Egon_40167_Plateau_14,Gruenhut_Egon_40167_Plateau_40@EVT_Gruenhut_Egon_40167_Plateau_14,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_14,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,40,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_20@EVT_Gruenhut_Egon_40167_Plateau_15,Gruenhut_Egon_40167_Plateau_41@EVT_Gruenhut_Egon_40167_Plateau_15,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_15,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,41,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_21@EVT_Gruenhut_Egon_40167_Plateau_16,Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_16,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_16,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,31,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_21@EVT_Gruenhut_Egon_40167_Plateau_17,Gruenhut_Egon_40167_Plateau_39@EVT_Gruenhut_Egon_40167_Plateau_17,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_17,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,39,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_21@EVT_Gruenhut_Egon_40167_Plateau_18,Gruenhut_Egon_40167_Plateau_40@EVT_Gruenhut_Egon_40167_Plateau_18,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_18,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,40,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_21@EVT_Gruenhut_Egon_40167_Plateau_19,Gruenhut_Egon_40167_Plateau_41@EVT_Gruenhut_Egon_40167_Plateau_19,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_19,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,41,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_20,Gruenhut_Egon_40167_Plateau_39@EVT_Gruenhut_Egon_40167_Plateau_20,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_20,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,39,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_21,Gruenhut_Egon_40167_Plateau_40@EVT_Gruenhut_Egon_40167_Plateau_21,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_21,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,40,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_22,Gruenhut_Egon_40167_Plateau_41@EVT_Gruenhut_Egon_40167_Plateau_22,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_22,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,41,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_39@EVT_Gruenhut_Egon_40167_Plateau_23,Gruenhut_Egon_40167_Plateau_40@EVT_Gruenhut_Egon_40167_Plateau_23,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_23,Le Chambon-sur-Lignon,45.06081,4.302941,961,39,40,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_39@EVT_Gruenhut_Egon_40167_Plateau_24,Gruenhut_Egon_40167_Plateau_41@EVT_Gruenhut_Egon_40167_Plateau_24,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_24,Le Chambon-sur-Lignon,45.06081,4.302941,961,39,41,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_40@EVT_Gruenhut_Egon_40167_Plateau_25,Gruenhut_Egon_40167_Plateau_41@EVT_Gruenhut_Egon_40167_Plateau_25,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_25,Le Chambon-sur-Lignon,45.06081,4.302941,961,40,41,1,Undirected,Gruenhut_Egon_40167_Plateau,18,17,19,,,
Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_26,Gruenhut_Egon_40167_Plateau_42@EVT_Gruenhut_Egon_40167_Plateau_26,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_26,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,42,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_27,Gruenhut_Egon_40167_Plateau_43@EVT_Gruenhut_Egon_40167_Plateau_27,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_27,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,43,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_28,Gruenhut_Egon_40167_Plateau_44@EVT_Gruenhut_Egon_40167_Plateau_28,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_28,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,44,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_29,Gruenhut_Egon_40167_Plateau_45@EVT_Gruenhut_Egon_40167_Plateau_29,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_29,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,45,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
Gruenhut_Egon_40167_Plateau_42@EVT_Gruenhut_Egon_40167_Plateau_30,Gruenhut_Egon_40167_Plateau_43@EVT_Gruenhut_Egon_40167_Plateau_30,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_30,Le Chambon-sur-Lignon,45.06081,4.302941,961,42,43,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
Gruenhut_Egon_40167_Plateau_42@EVT_Gruenhut_Egon_40167_Plateau_31,Gruenhut_Egon_40167_Plateau_44@EVT_Gruenhut_Egon_40167_Plateau_31,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_31,Le Chambon-sur-Lignon,45.06081,4.302941,961,42,44,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
Gruenhut_Egon_40167_Plateau_42@EVT_Gruenhut_Egon_40167_Plateau_32,Gruenhut_Egon_40167_Plateau_45@EVT_Gruenhut_Egon_40167_Plateau_32,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_32,Le Chambon-sur-Lignon,45.06081,4.302941,961,42,45,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
Gruenhut_Egon_40167_Plateau_43@EVT_Gruenhut_Egon_40167_Plateau_33,Gruenhut_Egon_40167_Plateau_44@EVT_Gruenhut_Egon_40167_Plateau_33,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_33,Le Chambon-sur-Lignon,45.06081,4.302941,961,43,44,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
Gruenhut_Egon_40167_Plateau_43@EVT_Gruenhut_Egon_40167_Plateau_34,Gruenhut_Egon_40167_Plateau_45@EVT_Gruenhut_Egon_40167_Plateau_34,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_34,Le Chambon-sur-Lignon,45.06081,4.302941,961,43,45,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
Gruenhut_Egon_40167_Plateau_44@EVT_Gruenhut_Egon_40167_Plateau_35,Gruenhut_Egon_40167_Plateau_45@EVT_Gruenhut_Egon_40167_Plateau_35,scene_copresence,EVT_Gruenhut_Egon_40167_Plateau_35,Le Chambon-sur-Lignon,45.06081,4.302941,961,44,45,1,Undirected,Gruenhut_Egon_40167_Plateau,26,25,27,,,
