name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Gruenhut_Egon_40167_Plateau_19,the Huguenots,,0,Person,Gruenhut_Egon_40167_Plateau,,,,,,Gruenhut_Egon_40167_Plateau_19
Gruenhut_Egon_40167_Plateau_19@EVT_Gruenhut_Egon_40167_Plateau_1,the Huguenots,,0,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_1,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_19
Gruenhut_Egon_40167_Plateau_28,they,,0,Person,Gruenhut_Egon_40167_Plateau,,,,,,Gruenhut_Egon_40167_Plateau_28
Gruenhut_Egon_40167_Plateau_28@EVT_Gruenhut_Egon_40167_Plateau_1,they,,0,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_1,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_28
Gruenhut_Egon_40167_Plateau_19@EVT_Gruenhut_Egon_40167_Plateau_2,the Huguenots,,0,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_2,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_19
Gruenhut_Egon_40167_Plateau_30,victims of war,they/them/their,2,Person,Gruenhut_Egon_40167_Plateau,,,,,,Gruenhut_Egon_40167_Plateau_30
Gruenhut_Egon_40167_Plateau_30@EVT_Gruenhut_Egon_40167_Plateau_2,victims of war,they/them/their,2,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_2,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_30
Gruenhut_Egon_40167_Plateau_28@EVT_Gruenhut_Egon_40167_Plateau_3,they,,0,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_3,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_28
Gruenhut_Egon_40167_Plateau_30@EVT_Gruenhut_Egon_40167_Plateau_3,victims of war,they/them/their,2,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_3,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_30
Gruenhut_Egon_40167_Plateau_0,myself,they/them/their,27,Person,Gruenhut_Egon_40167_Plateau,,,,,,Gruenhut_Egon_40167_Plateau_0
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_4,myself,they/them/their,27,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_4,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_0
Gruenhut_Egon_40167_Plateau_31,we,unknown,10,Person,Gruenhut_Egon_40167_Plateau,,,,,,Gruenhut_Egon_40167_Plateau_31
Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_4,we,unknown,10,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_4,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_31
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_5,myself,they/them/their,27,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_5,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_0
Gruenhut_Egon_40167_Plateau_20,the French,,0,Person,Gruenhut_Egon_40167_Plateau,,,,,,Gruenhut_Egon_40167_Plateau_20
Gruenhut_Egon_40167_Plateau_20@EVT_Gruenhut_Egon_40167_Plateau_5,the French,,0,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_5,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_20
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_6,myself,they/them/their,27,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_6,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_0
Gruenhut_Egon_40167_Plateau_21,the Jews,,0,Person,Gruenhut_Egon_40167_Plateau,,,,,,Gruenhut_Egon_40167_Plateau_21
Gruenhut_Egon_40167_Plateau_21@EVT_Gruenhut_Egon_40167_Plateau_6,the Jews,,0,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_6,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_21
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_7,myself,they/them/their,27,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_7,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_0
Gruenhut_Egon_40167_Plateau_31@EVT_Gruenhut_Egon_40167_Plateau_7,we,unknown,10,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_7,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_31
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_8,myself,they/them/their,27,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_8,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_0
Gruenhut_Egon_40167_Plateau_39,Swiss soldiers,,0,Person,Gruenhut_Egon_40167_Plateau,,,,,,Gruenhut_Egon_40167_Plateau_39
Gruenhut_Egon_40167_Plateau_39@EVT_Gruenhut_Egon_40167_Plateau_8,Swiss soldiers,,0,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_8,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_39
Gruenhut_Egon_40167_Plateau_0@EVT_Gruenhut_Egon_40167_Plateau_9,myself,they/them/their,27,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_9,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_0
Gruenhut_Egon_40167_Plateau_40,the French customs officials,,0,Person,Gruenhut_Egon_40167_Plateau,,,,,,Gruenhut_Egon_40167_Plateau_40
Gruenhut_Egon_40167_Plateau_40@EVT_Gruenhut_Egon_40167_Plateau_9,the French customs officials,,0,Occurrence,Gruenhut_Egon_40167_Plateau,Le Chambon-sur-Lignon,EVT_Gruenhut_Egon_40167_Plateau_9,45.06081,4.302941,961,Gruenhut_Egon_40167_Plateau_40
