Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_1,Koenig_50.030.0111_Plateau_16@EVT_Koenig_50.030.0111_Plateau_1,scene_copresence,EVT_Koenig_50.030.0111_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,16,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_2,Koenig_50.030.0111_Plateau_30@EVT_Koenig_50.030.0111_Plateau_2,scene_copresence,EVT_Koenig_50.030.0111_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,30,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_3,Koenig_50.030.0111_Plateau_31@EVT_Koenig_50.030.0111_Plateau_3,scene_copresence,EVT_Koenig_50.030.0111_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,31,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_4,Koenig_50.030.0111_Plateau_32@EVT_Koenig_50.030.0111_Plateau_4,scene_copresence,EVT_Koenig_50.030.0111_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,32,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_5,Koenig_50.030.0111_Plateau_34@EVT_Koenig_50.030.0111_Plateau_5,scene_copresence,EVT_Koenig_50.030.0111_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,34,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_6,Koenig_50.030.0111_Plateau_35@EVT_Koenig_50.030.0111_Plateau_6,scene_copresence,EVT_Koenig_50.030.0111_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_7,Koenig_50.030.0111_Plateau_36@EVT_Koenig_50.030.0111_Plateau_7,scene_copresence,EVT_Koenig_50.030.0111_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,36,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_8,Koenig_50.030.0111_Plateau_37@EVT_Koenig_50.030.0111_Plateau_8,scene_copresence,EVT_Koenig_50.030.0111_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,37,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_9,Koenig_50.030.0111_Plateau_38@EVT_Koenig_50.030.0111_Plateau_9,scene_copresence,EVT_Koenig_50.030.0111_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,38,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_16@EVT_Koenig_50.030.0111_Plateau_10,Koenig_50.030.0111_Plateau_30@EVT_Koenig_50.030.0111_Plateau_10,scene_copresence,EVT_Koenig_50.030.0111_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,30,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_16@EVT_Koenig_50.030.0111_Plateau_11,Koenig_50.030.0111_Plateau_31@EVT_Koenig_50.030.0111_Plateau_11,scene_copresence,EVT_Koenig_50.030.0111_Plateau_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,31,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_16@EVT_Koenig_50.030.0111_Plateau_12,Koenig_50.030.0111_Plateau_32@EVT_Koenig_50.030.0111_Plateau_12,scene_copresence,EVT_Koenig_50.030.0111_Plateau_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,32,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_16@EVT_Koenig_50.030.0111_Plateau_13,Koenig_50.030.0111_Plateau_34@EVT_Koenig_50.030.0111_Plateau_13,scene_copresence,EVT_Koenig_50.030.0111_Plateau_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,34,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_16@EVT_Koenig_50.030.0111_Plateau_14,Koenig_50.030.0111_Plateau_35@EVT_Koenig_50.030.0111_Plateau_14,scene_copresence,EVT_Koenig_50.030.0111_Plateau_14,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,35,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_16@EVT_Koenig_50.030.0111_Plateau_15,Koenig_50.030.0111_Plateau_36@EVT_Koenig_50.030.0111_Plateau_15,scene_copresence,EVT_Koenig_50.030.0111_Plateau_15,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,36,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
Koenig_50.030.0111_Plateau_16@EVT_Koenig_50.030.0111_Plateau_16,Koenig_50.030.0111_Plateau_37@EVT_Koenig_50.030.0111_Plateau_16,scene_copresence,EVT_Koenig_50.030.0111_Plateau_16,Le Chambon-sur-Lignon,45.06081,4.302941,961,16,37,1,Undirected,Koenig_50.030.0111_Plateau,3,2,4,,,
