name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Koenig_50.030.0111_Plateau_0,myself,they/them/their,162,Person,Koenig_50.030.0111_Plateau,,,,,,Koenig_50.030.0111_Plateau_0
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_1,myself,they/them/their,162,Occurrence,Koenig_50.030.0111_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.030.0111_Plateau_1,45.06081,4.302941,961,Koenig_50.030.0111_Plateau_0
Koenig_50.030.0111_Plateau_16,Pastor TrocmÃ ©,he/him/his,18,Person,Koenig_50.030.0111_Plateau,,,,,,Koenig_50.030.0111_Plateau_16
Koenig_50.030.0111_Plateau_16@EVT_Koenig_50.030.0111_Plateau_1,Pastor TrocmÃ ©,he/him/his,18,Occurrence,Koenig_50.030.0111_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.030.0111_Plateau_1,45.06081,4.302941,961,Koenig_50.030.0111_Plateau_16
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_2,myself,they/them/their,162,Occurrence,Koenig_50.030.0111_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.030.0111_Plateau_2,45.06081,4.302941,961,Koenig_50.030.0111_Plateau_0
Koenig_50.030.0111_Plateau_30,we,unknown,2,Person,Koenig_50.030.0111_Plateau,,,,,,Koenig_50.030.0111_Plateau_30
Koenig_50.030.0111_Plateau_30@EVT_Koenig_50.030.0111_Plateau_2,we,unknown,2,Occurrence,Koenig_50.030.0111_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.030.0111_Plateau_2,45.06081,4.302941,961,Koenig_50.030.0111_Plateau_30
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_3,myself,they/them/their,162,Occurrence,Koenig_50.030.0111_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.030.0111_Plateau_3,45.06081,4.302941,961,Koenig_50.030.0111_Plateau_0
Koenig_50.030.0111_Plateau_31,"the lady who was my Latin teacher , who had gone into a village to become a German teacher , and she wrote me and my father",,0,Person,Koenig_50.030.0111_Plateau,,,,,,Koenig_50.030.0111_Plateau_31
Koenig_50.030.0111_Plateau_31@EVT_Koenig_50.030.0111_Plateau_3,"the lady who was my Latin teacher , who had gone into a village to become a German teacher , and she wrote me and my father",,0,Occurrence,Koenig_50.030.0111_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.030.0111_Plateau_3,45.06081,4.302941,961,Koenig_50.030.0111_Plateau_31
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_4,myself,they/them/their,162,Occurrence,Koenig_50.030.0111_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.030.0111_Plateau_4,45.06081,4.302941,961,Koenig_50.030.0111_Plateau_0
Koenig_50.030.0111_Plateau_32,my Latin teacher,she/her,2,Person,Koenig_50.030.0111_Plateau,,,,,,Koenig_50.030.0111_Plateau_32
Koenig_50.030.0111_Plateau_32@EVT_Koenig_50.030.0111_Plateau_4,my Latin teacher,she/her,2,Occurrence,Koenig_50.030.0111_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.030.0111_Plateau_4,45.06081,4.302941,961,Koenig_50.030.0111_Plateau_32
Koenig_50.030.0111_Plateau_0@EVT_Koenig_50.030.0111_Plateau_5,myself,they/them/their,162,Occurrence,Koenig_50.030.0111_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.030.0111_Plateau_5,45.06081,4.302941,961,Koenig_50.030.0111_Plateau_0
Koenig_50.030.0111_Plateau_34,a German teacher,,0,Person,Koenig_50.030.0111_Plateau,,,,,,Koenig_50.030.0111_Plateau_34
