Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_1,Koenig_50.549.02.0002_Plateau_5@EVT_Koenig_50.549.02.0002_Plateau_1,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,5,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_10@EVT_Koenig_50.549.02.0002_Plateau_2,Koenig_50.549.02.0002_Plateau_5@EVT_Koenig_50.549.02.0002_Plateau_2,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,5,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_3,Koenig_50.549.02.0002_Plateau_6@EVT_Koenig_50.549.02.0002_Plateau_3,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,6,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_5@EVT_Koenig_50.549.02.0002_Plateau_4,Koenig_50.549.02.0002_Plateau_6@EVT_Koenig_50.549.02.0002_Plateau_4,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,5,6,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_10@EVT_Koenig_50.549.02.0002_Plateau_5,Koenig_50.549.02.0002_Plateau_6@EVT_Koenig_50.549.02.0002_Plateau_5,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,6,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_6,Koenig_50.549.02.0002_Plateau_7@EVT_Koenig_50.549.02.0002_Plateau_6,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,7,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_5@EVT_Koenig_50.549.02.0002_Plateau_7,Koenig_50.549.02.0002_Plateau_7@EVT_Koenig_50.549.02.0002_Plateau_7,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,5,7,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_6@EVT_Koenig_50.549.02.0002_Plateau_8,Koenig_50.549.02.0002_Plateau_7@EVT_Koenig_50.549.02.0002_Plateau_8,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,6,7,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_10@EVT_Koenig_50.549.02.0002_Plateau_9,Koenig_50.549.02.0002_Plateau_7@EVT_Koenig_50.549.02.0002_Plateau_9,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,7,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_24@EVT_Koenig_50.549.02.0002_Plateau_10,Koenig_50.549.02.0002_Plateau_8@EVT_Koenig_50.549.02.0002_Plateau_10,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,8,1,Undirected,Koenig_50.549.02.0002_Plateau,12,11,13,,,
Koenig_50.549.02.0002_Plateau_25@EVT_Koenig_50.549.02.0002_Plateau_11,Koenig_50.549.02.0002_Plateau_8@EVT_Koenig_50.549.02.0002_Plateau_11,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,25,8,1,Undirected,Koenig_50.549.02.0002_Plateau,12,11,13,,,
Koenig_50.549.02.0002_Plateau_31@EVT_Koenig_50.549.02.0002_Plateau_12,Koenig_50.549.02.0002_Plateau_8@EVT_Koenig_50.549.02.0002_Plateau_12,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,8,1,Undirected,Koenig_50.549.02.0002_Plateau,12,11,13,,,
Koenig_50.549.02.0002_Plateau_33@EVT_Koenig_50.549.02.0002_Plateau_13,Koenig_50.549.02.0002_Plateau_8@EVT_Koenig_50.549.02.0002_Plateau_13,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,33,8,1,Undirected,Koenig_50.549.02.0002_Plateau,12,11,13,,,
Koenig_50.549.02.0002_Plateau_35@EVT_Koenig_50.549.02.0002_Plateau_14,Koenig_50.549.02.0002_Plateau_8@EVT_Koenig_50.549.02.0002_Plateau_14,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_14,Le Chambon-sur-Lignon,45.06081,4.302941,961,35,8,1,Undirected,Koenig_50.549.02.0002_Plateau,12,11,13,,,
Koenig_50.549.02.0002_Plateau_36@EVT_Koenig_50.549.02.0002_Plateau_15,Koenig_50.549.02.0002_Plateau_8@EVT_Koenig_50.549.02.0002_Plateau_15,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_15,Le Chambon-sur-Lignon,45.06081,4.302941,961,36,8,1,Undirected,Koenig_50.549.02.0002_Plateau,12,11,13,,,
Koenig_50.549.02.0002_Plateau_37@EVT_Koenig_50.549.02.0002_Plateau_16,Koenig_50.549.02.0002_Plateau_8@EVT_Koenig_50.549.02.0002_Plateau_16,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_16,Le Chambon-sur-Lignon,45.06081,4.302941,961,37,8,1,Undirected,Koenig_50.549.02.0002_Plateau,12,11,13,,,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_17,Koenig_50.549.02.0002_Plateau_9@EVT_Koenig_50.549.02.0002_Plateau_17,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_17,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,9,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_5@EVT_Koenig_50.549.02.0002_Plateau_18,Koenig_50.549.02.0002_Plateau_9@EVT_Koenig_50.549.02.0002_Plateau_18,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_18,Le Chambon-sur-Lignon,45.06081,4.302941,961,5,9,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_6@EVT_Koenig_50.549.02.0002_Plateau_19,Koenig_50.549.02.0002_Plateau_9@EVT_Koenig_50.549.02.0002_Plateau_19,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_19,Le Chambon-sur-Lignon,45.06081,4.302941,961,6,9,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_7@EVT_Koenig_50.549.02.0002_Plateau_20,Koenig_50.549.02.0002_Plateau_9@EVT_Koenig_50.549.02.0002_Plateau_20,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_20,Le Chambon-sur-Lignon,45.06081,4.302941,961,7,9,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_10@EVT_Koenig_50.549.02.0002_Plateau_21,Koenig_50.549.02.0002_Plateau_9@EVT_Koenig_50.549.02.0002_Plateau_21,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_21,Le Chambon-sur-Lignon,45.06081,4.302941,961,10,9,1,Undirected,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_22,Koenig_50.549.02.0002_Plateau_10@EVT_Koenig_50.549.02.0002_Plateau_22,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_22,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,10,1,Directed,Koenig_50.549.02.0002_Plateau,1,0,2,,,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_23,Koenig_50.549.02.0002_Plateau_10@EVT_Koenig_50.549.02.0002_Plateau_23,action,EVT_Koenig_50.549.02.0002_Plateau_23,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,10,1,Directed,Koenig_50.549.02.0002_Plateau,1,0,2,contact,verb.communication,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_24,Koenig_50.549.02.0002_Plateau_18@EVT_Koenig_50.549.02.0002_Plateau_24,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_24,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,18,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_25,Koenig_50.549.02.0002_Plateau_19@EVT_Koenig_50.549.02.0002_Plateau_25,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_25,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,19,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_18@EVT_Koenig_50.549.02.0002_Plateau_26,Koenig_50.549.02.0002_Plateau_19@EVT_Koenig_50.549.02.0002_Plateau_26,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_26,Le Chambon-sur-Lignon,45.06081,4.302941,961,18,19,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_27,Koenig_50.549.02.0002_Plateau_20@EVT_Koenig_50.549.02.0002_Plateau_27,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_27,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,20,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_18@EVT_Koenig_50.549.02.0002_Plateau_28,Koenig_50.549.02.0002_Plateau_20@EVT_Koenig_50.549.02.0002_Plateau_28,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_28,Le Chambon-sur-Lignon,45.06081,4.302941,961,18,20,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_19@EVT_Koenig_50.549.02.0002_Plateau_29,Koenig_50.549.02.0002_Plateau_20@EVT_Koenig_50.549.02.0002_Plateau_29,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_29,Le Chambon-sur-Lignon,45.06081,4.302941,961,19,20,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_30,Koenig_50.549.02.0002_Plateau_21@EVT_Koenig_50.549.02.0002_Plateau_30,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_30,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,21,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_18@EVT_Koenig_50.549.02.0002_Plateau_31,Koenig_50.549.02.0002_Plateau_21@EVT_Koenig_50.549.02.0002_Plateau_31,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_31,Le Chambon-sur-Lignon,45.06081,4.302941,961,18,21,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_19@EVT_Koenig_50.549.02.0002_Plateau_32,Koenig_50.549.02.0002_Plateau_21@EVT_Koenig_50.549.02.0002_Plateau_32,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_32,Le Chambon-sur-Lignon,45.06081,4.302941,961,19,21,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_20@EVT_Koenig_50.549.02.0002_Plateau_33,Koenig_50.549.02.0002_Plateau_21@EVT_Koenig_50.549.02.0002_Plateau_33,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_33,Le Chambon-sur-Lignon,45.06081,4.302941,961,20,21,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_34,Koenig_50.549.02.0002_Plateau_24@EVT_Koenig_50.549.02.0002_Plateau_34,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_34,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,24,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_18@EVT_Koenig_50.549.02.0002_Plateau_35,Koenig_50.549.02.0002_Plateau_24@EVT_Koenig_50.549.02.0002_Plateau_35,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_35,Le Chambon-sur-Lignon,45.06081,4.302941,961,18,24,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
Koenig_50.549.02.0002_Plateau_19@EVT_Koenig_50.549.02.0002_Plateau_36,Koenig_50.549.02.0002_Plateau_24@EVT_Koenig_50.549.02.0002_Plateau_36,scene_copresence,EVT_Koenig_50.549.02.0002_Plateau_36,Le Chambon-sur-Lignon,45.06081,4.302941,961,19,24,1,Undirected,Koenig_50.549.02.0002_Plateau,7,6,8,,,
