name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Koenig_50.549.02.0002_Plateau_0,me,they/them/their,3,Person,Koenig_50.549.02.0002_Plateau,,,,,,Koenig_50.549.02.0002_Plateau_0
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_1,me,they/them/their,3,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_1,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_0
Koenig_50.549.02.0002_Plateau_5,Elizabeth Koenig,,0,Person,Koenig_50.549.02.0002_Plateau,,,,,,Koenig_50.549.02.0002_Plateau_5
Koenig_50.549.02.0002_Plateau_5@EVT_Koenig_50.549.02.0002_Plateau_1,Elizabeth Koenig,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_1,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_5
Koenig_50.549.02.0002_Plateau_10,the Quaker in the United States,,0,Person,Koenig_50.549.02.0002_Plateau,,,,,,Koenig_50.549.02.0002_Plateau_10
Koenig_50.549.02.0002_Plateau_10@EVT_Koenig_50.549.02.0002_Plateau_2,the Quaker in the United States,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_2,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_10
Koenig_50.549.02.0002_Plateau_5@EVT_Koenig_50.549.02.0002_Plateau_2,Elizabeth Koenig,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_2,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_5
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_3,me,they/them/their,3,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_3,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_0
Koenig_50.549.02.0002_Plateau_6,the Quakers,they/them/their,5,Person,Koenig_50.549.02.0002_Plateau,,,,,,Koenig_50.549.02.0002_Plateau_6
Koenig_50.549.02.0002_Plateau_6@EVT_Koenig_50.549.02.0002_Plateau_3,the Quakers,they/them/their,5,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_3,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_6
Koenig_50.549.02.0002_Plateau_5@EVT_Koenig_50.549.02.0002_Plateau_4,Elizabeth Koenig,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_4,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_5
Koenig_50.549.02.0002_Plateau_6@EVT_Koenig_50.549.02.0002_Plateau_4,the Quakers,they/them/their,5,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_4,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_6
Koenig_50.549.02.0002_Plateau_10@EVT_Koenig_50.549.02.0002_Plateau_5,the Quaker in the United States,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_5,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_10
Koenig_50.549.02.0002_Plateau_6@EVT_Koenig_50.549.02.0002_Plateau_5,the Quakers,they/them/their,5,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_5,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_6
Koenig_50.549.02.0002_Plateau_0@EVT_Koenig_50.549.02.0002_Plateau_6,me,they/them/their,3,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_6,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_0
Koenig_50.549.02.0002_Plateau_7,Pastor Trocme,,0,Person,Koenig_50.549.02.0002_Plateau,,,,,,Koenig_50.549.02.0002_Plateau_7
Koenig_50.549.02.0002_Plateau_7@EVT_Koenig_50.549.02.0002_Plateau_6,Pastor Trocme,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_6,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_7
Koenig_50.549.02.0002_Plateau_5@EVT_Koenig_50.549.02.0002_Plateau_7,Elizabeth Koenig,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_7,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_5
Koenig_50.549.02.0002_Plateau_7@EVT_Koenig_50.549.02.0002_Plateau_7,Pastor Trocme,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_7,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_7
Koenig_50.549.02.0002_Plateau_6@EVT_Koenig_50.549.02.0002_Plateau_8,the Quakers,they/them/their,5,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_8,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_6
Koenig_50.549.02.0002_Plateau_7@EVT_Koenig_50.549.02.0002_Plateau_8,Pastor Trocme,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_8,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_7
Koenig_50.549.02.0002_Plateau_10@EVT_Koenig_50.549.02.0002_Plateau_9,the Quaker in the United States,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_9,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_10
Koenig_50.549.02.0002_Plateau_7@EVT_Koenig_50.549.02.0002_Plateau_9,Pastor Trocme,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_9,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_7
Koenig_50.549.02.0002_Plateau_24,we,unknown,5,Person,Koenig_50.549.02.0002_Plateau,,,,,,Koenig_50.549.02.0002_Plateau_24
Koenig_50.549.02.0002_Plateau_24@EVT_Koenig_50.549.02.0002_Plateau_10,we,unknown,5,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_10,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_24
Koenig_50.549.02.0002_Plateau_8,Petain,,0,Person,Koenig_50.549.02.0002_Plateau,,,,,,Koenig_50.549.02.0002_Plateau_8
Koenig_50.549.02.0002_Plateau_8@EVT_Koenig_50.549.02.0002_Plateau_10,Petain,,0,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_10,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_8
Koenig_50.549.02.0002_Plateau_25,one of our colleagues,he/him/his,9,Person,Koenig_50.549.02.0002_Plateau,,,,,,Koenig_50.549.02.0002_Plateau_25
Koenig_50.549.02.0002_Plateau_25@EVT_Koenig_50.549.02.0002_Plateau_11,one of our colleagues,he/him/his,9,Occurrence,Koenig_50.549.02.0002_Plateau,Le Chambon-sur-Lignon,EVT_Koenig_50.549.02.0002_Plateau_11,45.06081,4.302941,961,Koenig_50.549.02.0002_Plateau_25
