Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Koenig_Elizabeth_32586_Plateau_0@EVT_Koenig_Elizabeth_32586_Plateau_1,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_1,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,75,74,76,,,
Koenig_Elizabeth_32586_Plateau_0@EVT_Koenig_Elizabeth_32586_Plateau_2,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_2,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_2,La Guespy,45.062374,4.312919,1006,0,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,76,75,77,,,
Koenig_Elizabeth_32586_Plateau_0@EVT_Koenig_Elizabeth_32586_Plateau_3,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_3,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,76,75,77,,,
Koenig_Elizabeth_32586_Plateau_154@EVT_Koenig_Elizabeth_32586_Plateau_4,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_4,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,154,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,75,74,76,,,
Koenig_Elizabeth_32586_Plateau_154@EVT_Koenig_Elizabeth_32586_Plateau_5,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_5,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_5,La Guespy,45.062374,4.312919,1006,154,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,76,75,77,,,
Koenig_Elizabeth_32586_Plateau_154@EVT_Koenig_Elizabeth_32586_Plateau_6,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_6,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,154,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,76,75,77,,,
Koenig_Elizabeth_32586_Plateau_155@EVT_Koenig_Elizabeth_32586_Plateau_7,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_7,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,155,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,75,74,76,,,
Koenig_Elizabeth_32586_Plateau_155@EVT_Koenig_Elizabeth_32586_Plateau_8,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_8,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_8,La Guespy,45.062374,4.312919,1006,155,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,76,75,77,,,
Koenig_Elizabeth_32586_Plateau_155@EVT_Koenig_Elizabeth_32586_Plateau_9,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_9,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,155,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,76,75,77,,,
Koenig_Elizabeth_32586_Plateau_156@EVT_Koenig_Elizabeth_32586_Plateau_10,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_10,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,156,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,75,74,76,,,
Koenig_Elizabeth_32586_Plateau_156@EVT_Koenig_Elizabeth_32586_Plateau_11,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_11,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_11,La Guespy,45.062374,4.312919,1006,156,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,76,75,77,,,
Koenig_Elizabeth_32586_Plateau_156@EVT_Koenig_Elizabeth_32586_Plateau_12,Koenig_Elizabeth_32586_Plateau_9@EVT_Koenig_Elizabeth_32586_Plateau_12,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,156,9,1,Undirected,Koenig_Elizabeth_32586_Plateau,76,75,77,,,
Koenig_Elizabeth_32586_Plateau_0@EVT_Koenig_Elizabeth_32586_Plateau_13,Koenig_Elizabeth_32586_Plateau_13@EVT_Koenig_Elizabeth_32586_Plateau_13,scene_copresence,EVT_Koenig_Elizabeth_32586_Plateau_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,13,1,Undirected,Koenig_Elizabeth_32586_Plateau,15,14,16,,,
