Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_1,Lewin_Diary_EnglishTrans_Plateau_30@EVT_Lewin_Diary_EnglishTrans_Plateau_1,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_1,La Guespy,45.062374,4.312919,1006,0,30,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_2,Lewin_Diary_EnglishTrans_Plateau_75@EVT_Lewin_Diary_EnglishTrans_Plateau_2,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_2,La Guespy,45.062374,4.312919,1006,0,75,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_3,Lewin_Diary_EnglishTrans_Plateau_76@EVT_Lewin_Diary_EnglishTrans_Plateau_3,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_3,La Guespy,45.062374,4.312919,1006,0,76,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_4,Lewin_Diary_EnglishTrans_Plateau_77@EVT_Lewin_Diary_EnglishTrans_Plateau_4,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_4,La Guespy,45.062374,4.312919,1006,0,77,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_30@EVT_Lewin_Diary_EnglishTrans_Plateau_5,Lewin_Diary_EnglishTrans_Plateau_75@EVT_Lewin_Diary_EnglishTrans_Plateau_5,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_5,La Guespy,45.062374,4.312919,1006,30,75,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_30@EVT_Lewin_Diary_EnglishTrans_Plateau_6,Lewin_Diary_EnglishTrans_Plateau_76@EVT_Lewin_Diary_EnglishTrans_Plateau_6,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_6,La Guespy,45.062374,4.312919,1006,30,76,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_30@EVT_Lewin_Diary_EnglishTrans_Plateau_7,Lewin_Diary_EnglishTrans_Plateau_77@EVT_Lewin_Diary_EnglishTrans_Plateau_7,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_7,La Guespy,45.062374,4.312919,1006,30,77,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_75@EVT_Lewin_Diary_EnglishTrans_Plateau_8,Lewin_Diary_EnglishTrans_Plateau_76@EVT_Lewin_Diary_EnglishTrans_Plateau_8,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_8,La Guespy,45.062374,4.312919,1006,75,76,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_75@EVT_Lewin_Diary_EnglishTrans_Plateau_9,Lewin_Diary_EnglishTrans_Plateau_77@EVT_Lewin_Diary_EnglishTrans_Plateau_9,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_9,La Guespy,45.062374,4.312919,1006,75,77,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_76@EVT_Lewin_Diary_EnglishTrans_Plateau_10,Lewin_Diary_EnglishTrans_Plateau_77@EVT_Lewin_Diary_EnglishTrans_Plateau_10,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_10,La Guespy,45.062374,4.312919,1006,76,77,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,14,13,15,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_11,Lewin_Diary_EnglishTrans_Plateau_24@EVT_Lewin_Diary_EnglishTrans_Plateau_11,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,24,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_12,Lewin_Diary_EnglishTrans_Plateau_31@EVT_Lewin_Diary_EnglishTrans_Plateau_12,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,31,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_13,Lewin_Diary_EnglishTrans_Plateau_78@EVT_Lewin_Diary_EnglishTrans_Plateau_13,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,78,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_14,Lewin_Diary_EnglishTrans_Plateau_81@EVT_Lewin_Diary_EnglishTrans_Plateau_14,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_14,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,81,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_15,Lewin_Diary_EnglishTrans_Plateau_82@EVT_Lewin_Diary_EnglishTrans_Plateau_15,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_15,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,82,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_16,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_16,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_16,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_24@EVT_Lewin_Diary_EnglishTrans_Plateau_17,Lewin_Diary_EnglishTrans_Plateau_31@EVT_Lewin_Diary_EnglishTrans_Plateau_17,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_17,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,31,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_24@EVT_Lewin_Diary_EnglishTrans_Plateau_18,Lewin_Diary_EnglishTrans_Plateau_78@EVT_Lewin_Diary_EnglishTrans_Plateau_18,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_18,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,78,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_24@EVT_Lewin_Diary_EnglishTrans_Plateau_19,Lewin_Diary_EnglishTrans_Plateau_81@EVT_Lewin_Diary_EnglishTrans_Plateau_19,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_19,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,81,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_24@EVT_Lewin_Diary_EnglishTrans_Plateau_20,Lewin_Diary_EnglishTrans_Plateau_82@EVT_Lewin_Diary_EnglishTrans_Plateau_20,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_20,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,82,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_24@EVT_Lewin_Diary_EnglishTrans_Plateau_21,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_21,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_21,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_31@EVT_Lewin_Diary_EnglishTrans_Plateau_22,Lewin_Diary_EnglishTrans_Plateau_78@EVT_Lewin_Diary_EnglishTrans_Plateau_22,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_22,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,78,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_31@EVT_Lewin_Diary_EnglishTrans_Plateau_23,Lewin_Diary_EnglishTrans_Plateau_81@EVT_Lewin_Diary_EnglishTrans_Plateau_23,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_23,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,81,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_31@EVT_Lewin_Diary_EnglishTrans_Plateau_24,Lewin_Diary_EnglishTrans_Plateau_82@EVT_Lewin_Diary_EnglishTrans_Plateau_24,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_24,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,82,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_31@EVT_Lewin_Diary_EnglishTrans_Plateau_25,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_25,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_25,Le Chambon-sur-Lignon,45.06081,4.302941,961,31,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_78@EVT_Lewin_Diary_EnglishTrans_Plateau_26,Lewin_Diary_EnglishTrans_Plateau_81@EVT_Lewin_Diary_EnglishTrans_Plateau_26,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_26,Le Chambon-sur-Lignon,45.06081,4.302941,961,78,81,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_78@EVT_Lewin_Diary_EnglishTrans_Plateau_27,Lewin_Diary_EnglishTrans_Plateau_82@EVT_Lewin_Diary_EnglishTrans_Plateau_27,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_27,Le Chambon-sur-Lignon,45.06081,4.302941,961,78,82,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_78@EVT_Lewin_Diary_EnglishTrans_Plateau_28,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_28,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_28,Le Chambon-sur-Lignon,45.06081,4.302941,961,78,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_81@EVT_Lewin_Diary_EnglishTrans_Plateau_29,Lewin_Diary_EnglishTrans_Plateau_82@EVT_Lewin_Diary_EnglishTrans_Plateau_29,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_29,Le Chambon-sur-Lignon,45.06081,4.302941,961,81,82,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_81@EVT_Lewin_Diary_EnglishTrans_Plateau_30,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_30,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_30,Le Chambon-sur-Lignon,45.06081,4.302941,961,81,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_82@EVT_Lewin_Diary_EnglishTrans_Plateau_31,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_31,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_31,Le Chambon-sur-Lignon,45.06081,4.302941,961,82,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,17,16,18,,,
Lewin_Diary_EnglishTrans_Plateau_31@EVT_Lewin_Diary_EnglishTrans_Plateau_32,Lewin_Diary_EnglishTrans_Plateau_81@EVT_Lewin_Diary_EnglishTrans_Plateau_32,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_32,La Guespy,45.062374,4.312919,1006,31,81,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,18,17,19,,,
Lewin_Diary_EnglishTrans_Plateau_31@EVT_Lewin_Diary_EnglishTrans_Plateau_33,Lewin_Diary_EnglishTrans_Plateau_82@EVT_Lewin_Diary_EnglishTrans_Plateau_33,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_33,La Guespy,45.062374,4.312919,1006,31,82,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,18,17,19,,,
Lewin_Diary_EnglishTrans_Plateau_31@EVT_Lewin_Diary_EnglishTrans_Plateau_34,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_34,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_34,La Guespy,45.062374,4.312919,1006,31,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,18,17,19,,,
Lewin_Diary_EnglishTrans_Plateau_81@EVT_Lewin_Diary_EnglishTrans_Plateau_35,Lewin_Diary_EnglishTrans_Plateau_82@EVT_Lewin_Diary_EnglishTrans_Plateau_35,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_35,La Guespy,45.062374,4.312919,1006,81,82,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,18,17,19,,,
Lewin_Diary_EnglishTrans_Plateau_81@EVT_Lewin_Diary_EnglishTrans_Plateau_36,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_36,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_36,La Guespy,45.062374,4.312919,1006,81,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,18,17,19,,,
Lewin_Diary_EnglishTrans_Plateau_82@EVT_Lewin_Diary_EnglishTrans_Plateau_37,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_37,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_37,La Guespy,45.062374,4.312919,1006,82,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,18,17,19,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_38,Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_38,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_38,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,83,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,27,26,28,,,
Lewin_Diary_EnglishTrans_Plateau_0@EVT_Lewin_Diary_EnglishTrans_Plateau_39,Lewin_Diary_EnglishTrans_Plateau_87@EVT_Lewin_Diary_EnglishTrans_Plateau_39,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_39,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,87,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,27,26,28,,,
Lewin_Diary_EnglishTrans_Plateau_83@EVT_Lewin_Diary_EnglishTrans_Plateau_40,Lewin_Diary_EnglishTrans_Plateau_87@EVT_Lewin_Diary_EnglishTrans_Plateau_40,scene_copresence,EVT_Lewin_Diary_EnglishTrans_Plateau_40,Le Chambon-sur-Lignon,45.06081,4.302941,961,83,87,1,Undirected,Lewin_Diary_EnglishTrans_Plateau,27,26,28,,,
