name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Lewin_Jack_10459_Plateau_52,Madame Philip,she/her,51,Person,Lewin_Jack_10459_Plateau,,,,,,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_1,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_1,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_53,Pastor Theis,he/him/his,2,Person,Lewin_Jack_10459_Plateau,,,,,,Lewin_Jack_10459_Plateau_53
Lewin_Jack_10459_Plateau_53@EVT_Lewin_Jack_10459_Plateau_1,Pastor Theis,he/him/his,2,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_1,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_53
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_2,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_2,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_53@EVT_Lewin_Jack_10459_Plateau_2,Pastor Theis,he/him/his,2,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_2,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_53
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_3,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_3,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_56,Madam Trocme,,0,Person,Lewin_Jack_10459_Plateau,,,,,,Lewin_Jack_10459_Plateau_56
Lewin_Jack_10459_Plateau_56@EVT_Lewin_Jack_10459_Plateau_3,Madam Trocme,,0,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_3,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_56
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_4,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_4,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_56@EVT_Lewin_Jack_10459_Plateau_4,Madam Trocme,,0,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_4,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_56
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_5,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_5,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_57,Mr. Darcissac,,0,Person,Lewin_Jack_10459_Plateau,,,,,,Lewin_Jack_10459_Plateau_57
Lewin_Jack_10459_Plateau_57@EVT_Lewin_Jack_10459_Plateau_5,Mr. Darcissac,,0,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_5,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_57
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_6,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_6,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_57@EVT_Lewin_Jack_10459_Plateau_6,Mr. Darcissac,,0,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_6,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_57
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_7,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_7,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_224,Pastor,unknown,2,Person,Lewin_Jack_10459_Plateau,,,,,,Lewin_Jack_10459_Plateau_224
Lewin_Jack_10459_Plateau_224@EVT_Lewin_Jack_10459_Plateau_7,Pastor,unknown,2,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_7,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_224
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_8,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_8,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_320,a lady,she/her,8,Person,Lewin_Jack_10459_Plateau,,,,,,Lewin_Jack_10459_Plateau_320
Lewin_Jack_10459_Plateau_320@EVT_Lewin_Jack_10459_Plateau_8,a lady,she/her,8,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_8,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_320
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_9,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_9,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_324,us,unknown,10,Person,Lewin_Jack_10459_Plateau,,,,,,Lewin_Jack_10459_Plateau_324
Lewin_Jack_10459_Plateau_324@EVT_Lewin_Jack_10459_Plateau_9,us,unknown,10,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_9,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_324
Lewin_Jack_10459_Plateau_52@EVT_Lewin_Jack_10459_Plateau_10,Madame Philip,she/her,51,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_10,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_52
Lewin_Jack_10459_Plateau_325,another pastor who joined us there,,0,Person,Lewin_Jack_10459_Plateau,,,,,,Lewin_Jack_10459_Plateau_325
Lewin_Jack_10459_Plateau_325@EVT_Lewin_Jack_10459_Plateau_10,another pastor who joined us there,,0,Occurrence,Lewin_Jack_10459_Plateau,Le Chambon-sur-Lignon,EVT_Lewin_Jack_10459_Plateau_10,45.06081,4.302941,961,Lewin_Jack_10459_Plateau_325
