Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Lewin_Jack_58101_Plateau_21@EVT_Lewin_Jack_58101_Plateau_1,Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_1,action,EVT_Lewin_Jack_58101_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,0,1,Directed,Lewin_Jack_58101_Plateau,66,65,67,put,verb.contact,
Lewin_Jack_58101_Plateau_21@EVT_Lewin_Jack_58101_Plateau_2,Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_2,action,EVT_Lewin_Jack_58101_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,0,1,Directed,Lewin_Jack_58101_Plateau,67,66,68,put,verb.contact,
Lewin_Jack_58101_Plateau_23@EVT_Lewin_Jack_58101_Plateau_3,Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_3,action,EVT_Lewin_Jack_58101_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,23,0,1,Directed,Lewin_Jack_58101_Plateau,44,43,45,bring,verb.motion,
Lewin_Jack_58101_Plateau_39@EVT_Lewin_Jack_58101_Plateau_4,Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_4,action,EVT_Lewin_Jack_58101_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,39,0,1,Directed,Lewin_Jack_58101_Plateau,64,63,65,tell,verb.communication,
Lewin_Jack_58101_Plateau_39@EVT_Lewin_Jack_58101_Plateau_5,Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_5,action,EVT_Lewin_Jack_58101_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,39,0,1,Directed,Lewin_Jack_58101_Plateau,66,65,67,tell,verb.communication,
Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_6,Lewin_Jack_58101_Plateau_19@EVT_Lewin_Jack_58101_Plateau_6,scene_copresence,EVT_Lewin_Jack_58101_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,19,1,Undirected,Lewin_Jack_58101_Plateau,6,5,7,,,
Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_7,Lewin_Jack_58101_Plateau_21@EVT_Lewin_Jack_58101_Plateau_7,scene_copresence,EVT_Lewin_Jack_58101_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,0,1,Directed,Lewin_Jack_58101_Plateau,25,24,26,,,
Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_8,Lewin_Jack_58101_Plateau_21@EVT_Lewin_Jack_58101_Plateau_8,scene_copresence,EVT_Lewin_Jack_58101_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,0,1,Directed,Lewin_Jack_58101_Plateau,66,65,67,,,
Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_9,Lewin_Jack_58101_Plateau_21@EVT_Lewin_Jack_58101_Plateau_9,scene_copresence,EVT_Lewin_Jack_58101_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,21,0,1,Directed,Lewin_Jack_58101_Plateau,67,66,68,,,
Lewin_Jack_58101_Plateau_108@EVT_Lewin_Jack_58101_Plateau_10,Lewin_Jack_58101_Plateau_21@EVT_Lewin_Jack_58101_Plateau_10,scene_copresence,EVT_Lewin_Jack_58101_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,108,21,1,Undirected,Lewin_Jack_58101_Plateau,66,65,67,,,
Lewin_Jack_58101_Plateau_108@EVT_Lewin_Jack_58101_Plateau_11,Lewin_Jack_58101_Plateau_21@EVT_Lewin_Jack_58101_Plateau_11,scene_copresence,EVT_Lewin_Jack_58101_Plateau_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,108,21,1,Undirected,Lewin_Jack_58101_Plateau,67,66,68,,,
Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_12,Lewin_Jack_58101_Plateau_23@EVT_Lewin_Jack_58101_Plateau_12,scene_copresence,EVT_Lewin_Jack_58101_Plateau_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,23,0,1,Directed,Lewin_Jack_58101_Plateau,44,43,45,,,
Lewin_Jack_58101_Plateau_0@EVT_Lewin_Jack_58101_Plateau_13,Lewin_Jack_58101_Plateau_23@EVT_Lewin_Jack_58101_Plateau_13,scene_copresence,EVT_Lewin_Jack_58101_Plateau_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,23,0,1,Directed,Lewin_Jack_58101_Plateau,66,65,67,,,
