name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
LiebmannH_50.030.0133_Plateau_0,myself,they/them/their,160,Person,LiebmannH_50.030.0133_Plateau,,,,,,LiebmannH_50.030.0133_Plateau_0
LiebmannH_50.030.0133_Plateau_0@EVT_LiebmannH_50.030.0133_Plateau_1,myself,they/them/their,160,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_1,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_0
LiebmannH_50.030.0133_Plateau_4,Le Chambon - sur - Lignon,,0,Person,LiebmannH_50.030.0133_Plateau,,,,,,LiebmannH_50.030.0133_Plateau_4
LiebmannH_50.030.0133_Plateau_4@EVT_LiebmannH_50.030.0133_Plateau_1,Le Chambon - sur - Lignon,,0,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_1,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_4
LiebmannH_50.030.0133_Plateau_0@EVT_LiebmannH_50.030.0133_Plateau_2,myself,they/them/their,160,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_2,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_0
LiebmannH_50.030.0133_Plateau_4@EVT_LiebmannH_50.030.0133_Plateau_2,Le Chambon - sur - Lignon,,0,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_2,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_4
LiebmannH_50.030.0133_Plateau_36,my mother,she/her,13,Person,LiebmannH_50.030.0133_Plateau,,,,,,LiebmannH_50.030.0133_Plateau_36
LiebmannH_50.030.0133_Plateau_36@EVT_LiebmannH_50.030.0133_Plateau_3,my mother,she/her,13,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_3,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_36
LiebmannH_50.030.0133_Plateau_4@EVT_LiebmannH_50.030.0133_Plateau_3,Le Chambon - sur - Lignon,,0,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_3,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_4
LiebmannH_50.030.0133_Plateau_36@EVT_LiebmannH_50.030.0133_Plateau_4,my mother,she/her,13,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_4,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_36
LiebmannH_50.030.0133_Plateau_4@EVT_LiebmannH_50.030.0133_Plateau_4,Le Chambon - sur - Lignon,,0,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_4,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_4
LiebmannH_50.030.0133_Plateau_0@EVT_LiebmannH_50.030.0133_Plateau_5,myself,they/them/their,160,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_5,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_0
LiebmannH_50.030.0133_Plateau_21,the OSE,,0,Person,LiebmannH_50.030.0133_Plateau,,,,,,LiebmannH_50.030.0133_Plateau_21
LiebmannH_50.030.0133_Plateau_21@EVT_LiebmannH_50.030.0133_Plateau_5,the OSE,,0,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_5,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_21
LiebmannH_50.030.0133_Plateau_0@EVT_LiebmannH_50.030.0133_Plateau_6,myself,they/them/their,160,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_6,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_0
LiebmannH_50.030.0133_Plateau_21@EVT_LiebmannH_50.030.0133_Plateau_6,the OSE,,0,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_6,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_21
LiebmannH_50.030.0133_Plateau_0@EVT_LiebmannH_50.030.0133_Plateau_7,myself,they/them/their,160,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_7,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_0
LiebmannH_50.030.0133_Plateau_28,TB,,0,Person,LiebmannH_50.030.0133_Plateau,,,,,,LiebmannH_50.030.0133_Plateau_28
LiebmannH_50.030.0133_Plateau_28@EVT_LiebmannH_50.030.0133_Plateau_7,TB,,0,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_7,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_28
LiebmannH_50.030.0133_Plateau_0@EVT_LiebmannH_50.030.0133_Plateau_8,myself,they/them/their,160,Occurrence,LiebmannH_50.030.0133_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannH_50.030.0133_Plateau_8,45.06081,4.302941,961,LiebmannH_50.030.0133_Plateau_0
