Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_1,LiebmannH_50.233.0072_Plateau_21@EVT_LiebmannH_50.233.0072_Plateau_1,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,21,1,Undirected,LiebmannH_50.233.0072_Plateau,95,94,96,,,
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_2,LiebmannH_50.233.0072_Plateau_22@EVT_LiebmannH_50.233.0072_Plateau_2,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,22,1,Undirected,LiebmannH_50.233.0072_Plateau,2,1,3,,,
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_3,LiebmannH_50.233.0072_Plateau_23@EVT_LiebmannH_50.233.0072_Plateau_3,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,23,0,1,Directed,LiebmannH_50.233.0072_Plateau,2,1,3,,,
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_4,LiebmannH_50.233.0072_Plateau_25@EVT_LiebmannH_50.233.0072_Plateau_4,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,25,1,Undirected,LiebmannH_50.233.0072_Plateau,2,1,3,,,
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_5,LiebmannH_50.233.0072_Plateau_26@EVT_LiebmannH_50.233.0072_Plateau_5,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,26,1,Undirected,LiebmannH_50.233.0072_Plateau,2,1,3,,,
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_6,LiebmannH_50.233.0072_Plateau_29@EVT_LiebmannH_50.233.0072_Plateau_6,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,29,1,Undirected,LiebmannH_50.233.0072_Plateau,5,4,6,,,
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_7,LiebmannH_50.233.0072_Plateau_30@EVT_LiebmannH_50.233.0072_Plateau_7,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,30,1,Undirected,LiebmannH_50.233.0072_Plateau,5,4,6,,,
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_8,LiebmannH_50.233.0072_Plateau_31@EVT_LiebmannH_50.233.0072_Plateau_8,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,31,1,Undirected,LiebmannH_50.233.0072_Plateau,6,5,7,,,
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_9,LiebmannH_50.233.0072_Plateau_128@EVT_LiebmannH_50.233.0072_Plateau_9,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,128,1,Undirected,LiebmannH_50.233.0072_Plateau,95,94,96,,,
LiebmannH_50.233.0072_Plateau_0@EVT_LiebmannH_50.233.0072_Plateau_10,LiebmannH_50.233.0072_Plateau_129@EVT_LiebmannH_50.233.0072_Plateau_10,scene_copresence,EVT_LiebmannH_50.233.0072_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,129,1,Undirected,LiebmannH_50.233.0072_Plateau,95,94,96,,,
