Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_1,LiebmannM_50.233.0073_Plateau_14@EVT_LiebmannM_50.233.0073_Plateau_1,scene_copresence,EVT_LiebmannM_50.233.0073_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,14,1,Undirected,LiebmannM_50.233.0073_Plateau,2,1,3,,,
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_2,LiebmannM_50.233.0073_Plateau_14@EVT_LiebmannM_50.233.0073_Plateau_2,scene_copresence,EVT_LiebmannM_50.233.0073_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,14,1,Undirected,LiebmannM_50.233.0073_Plateau,3,2,4,,,
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_3,LiebmannM_50.233.0073_Plateau_15@EVT_LiebmannM_50.233.0073_Plateau_3,scene_copresence,EVT_LiebmannM_50.233.0073_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,15,1,Undirected,LiebmannM_50.233.0073_Plateau,2,1,3,,,
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_4,LiebmannM_50.233.0073_Plateau_15@EVT_LiebmannM_50.233.0073_Plateau_4,scene_copresence,EVT_LiebmannM_50.233.0073_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,15,1,Undirected,LiebmannM_50.233.0073_Plateau,3,2,4,,,
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_5,LiebmannM_50.233.0073_Plateau_16@EVT_LiebmannM_50.233.0073_Plateau_5,scene_copresence,EVT_LiebmannM_50.233.0073_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,16,1,Undirected,LiebmannM_50.233.0073_Plateau,2,1,3,,,
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_6,LiebmannM_50.233.0073_Plateau_16@EVT_LiebmannM_50.233.0073_Plateau_6,scene_copresence,EVT_LiebmannM_50.233.0073_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,16,1,Undirected,LiebmannM_50.233.0073_Plateau,3,2,4,,,
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_7,LiebmannM_50.233.0073_Plateau_25@EVT_LiebmannM_50.233.0073_Plateau_7,scene_copresence,EVT_LiebmannM_50.233.0073_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,25,1,Directed,LiebmannM_50.233.0073_Plateau,16,15,17,,,
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_8,LiebmannM_50.233.0073_Plateau_25@EVT_LiebmannM_50.233.0073_Plateau_8,action,EVT_LiebmannM_50.233.0073_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,25,1,Directed,LiebmannM_50.233.0073_Plateau,16,15,17,find,verb.possession,
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_9,LiebmannM_50.233.0073_Plateau_35@EVT_LiebmannM_50.233.0073_Plateau_9,scene_copresence,EVT_LiebmannM_50.233.0073_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,LiebmannM_50.233.0073_Plateau,16,15,17,,,
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_10,LiebmannM_50.233.0073_Plateau_39@EVT_LiebmannM_50.233.0073_Plateau_10,scene_copresence,EVT_LiebmannM_50.233.0073_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,39,1,Undirected,LiebmannM_50.233.0073_Plateau,16,15,17,,,
