name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
LiebmannM_50.233.0073_Plateau_0,I.,she/her,36,Person,LiebmannM_50.233.0073_Plateau,,,,,,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_1,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_1,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_14,we,unknown,3,Person,LiebmannM_50.233.0073_Plateau,,,,,,LiebmannM_50.233.0073_Plateau_14
LiebmannM_50.233.0073_Plateau_14@EVT_LiebmannM_50.233.0073_Plateau_1,we,unknown,3,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_1,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_14
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_2,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_2,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_14@EVT_LiebmannM_50.233.0073_Plateau_2,we,unknown,3,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_2,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_14
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_3,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_3,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_15,she,she/her,2,Person,LiebmannM_50.233.0073_Plateau,,,,,,LiebmannM_50.233.0073_Plateau_15
LiebmannM_50.233.0073_Plateau_15@EVT_LiebmannM_50.233.0073_Plateau_3,she,she/her,2,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_3,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_15
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_4,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_4,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_15@EVT_LiebmannM_50.233.0073_Plateau_4,she,she/her,2,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_4,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_15
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_5,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_5,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_16,these people,,0,Person,LiebmannM_50.233.0073_Plateau,,,,,,LiebmannM_50.233.0073_Plateau_16
LiebmannM_50.233.0073_Plateau_16@EVT_LiebmannM_50.233.0073_Plateau_5,these people,,0,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_5,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_16
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_6,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_6,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_16@EVT_LiebmannM_50.233.0073_Plateau_6,these people,,0,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_6,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_16
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_7,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_7,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_25,my girlfriend,unknown,2,Person,LiebmannM_50.233.0073_Plateau,,,,,,LiebmannM_50.233.0073_Plateau_25
LiebmannM_50.233.0073_Plateau_25@EVT_LiebmannM_50.233.0073_Plateau_7,my girlfriend,unknown,2,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_7,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_25
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_8,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_8,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_25@EVT_LiebmannM_50.233.0073_Plateau_8,my girlfriend,unknown,2,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_8,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_25
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_9,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_9,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_35,"my wife who , in those days , also was hiding on a farm because the raids had where had started in France to arrest Jews",she/her,5,Person,LiebmannM_50.233.0073_Plateau,,,,,,LiebmannM_50.233.0073_Plateau_35
LiebmannM_50.233.0073_Plateau_35@EVT_LiebmannM_50.233.0073_Plateau_9,"my wife who , in those days , also was hiding on a farm because the raids had where had started in France to arrest Jews",she/her,5,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_9,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_35
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_10,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_10,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_39,people,,0,Person,LiebmannM_50.233.0073_Plateau,,,,,,LiebmannM_50.233.0073_Plateau_39
LiebmannM_50.233.0073_Plateau_39@EVT_LiebmannM_50.233.0073_Plateau_10,people,,0,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_10,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_39
LiebmannM_50.233.0073_Plateau_0@EVT_LiebmannM_50.233.0073_Plateau_11,I.,she/her,36,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_11,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_0
LiebmannM_50.233.0073_Plateau_40,"people from , from the village",,0,Person,LiebmannM_50.233.0073_Plateau,,,,,,LiebmannM_50.233.0073_Plateau_40
LiebmannM_50.233.0073_Plateau_40@EVT_LiebmannM_50.233.0073_Plateau_11,"people from , from the village",,0,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_11,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_40
LiebmannM_50.233.0073_Plateau_14@EVT_LiebmannM_50.233.0073_Plateau_12,we,unknown,3,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_12,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_14
LiebmannM_50.233.0073_Plateau_15@EVT_LiebmannM_50.233.0073_Plateau_12,she,she/her,2,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_12,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_15
LiebmannM_50.233.0073_Plateau_14@EVT_LiebmannM_50.233.0073_Plateau_13,we,unknown,3,Occurrence,LiebmannM_50.233.0073_Plateau,Le Chambon-sur-Lignon,EVT_LiebmannM_50.233.0073_Plateau_13,45.06081,4.302941,961,LiebmannM_50.233.0073_Plateau_14
