Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_1,Pariente_Fanny_5020_Plateau_13@EVT_Pariente_Fanny_5020_Plateau_1,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_1,Les Grillons,45.07128,4.326289,1067,0,13,1,Undirected,Pariente_Fanny_5020_Plateau,48,47,49,,,
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_2,Pariente_Fanny_5020_Plateau_17@EVT_Pariente_Fanny_5020_Plateau_2,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_2,Les Grillons,45.07128,4.326289,1067,0,17,1,Undirected,Pariente_Fanny_5020_Plateau,17,16,18,,,
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_3,Pariente_Fanny_5020_Plateau_17@EVT_Pariente_Fanny_5020_Plateau_3,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,17,1,Undirected,Pariente_Fanny_5020_Plateau,40,39,41,,,
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_4,Pariente_Fanny_5020_Plateau_17@EVT_Pariente_Fanny_5020_Plateau_4,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_4,Les Grillons,45.07128,4.326289,1067,0,17,1,Undirected,Pariente_Fanny_5020_Plateau,48,47,49,,,
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_5,Pariente_Fanny_5020_Plateau_18@EVT_Pariente_Fanny_5020_Plateau_5,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_5,Les Grillons,45.07128,4.326289,1067,0,18,1,Undirected,Pariente_Fanny_5020_Plateau,17,16,18,,,
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_6,Pariente_Fanny_5020_Plateau_35@EVT_Pariente_Fanny_5020_Plateau_6,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_6,Les Grillons,45.07128,4.326289,1067,0,35,1,Undirected,Pariente_Fanny_5020_Plateau,17,16,18,,,
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_7,Pariente_Fanny_5020_Plateau_35@EVT_Pariente_Fanny_5020_Plateau_7,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,Pariente_Fanny_5020_Plateau,40,39,41,,,
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_8,Pariente_Fanny_5020_Plateau_43@EVT_Pariente_Fanny_5020_Plateau_8,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_8,Les Grillons,45.07128,4.326289,1067,0,43,1,Undirected,Pariente_Fanny_5020_Plateau,17,16,18,,,
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_9,Pariente_Fanny_5020_Plateau_43@EVT_Pariente_Fanny_5020_Plateau_9,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_9,Les Grillons,45.07128,4.326289,1067,0,43,1,Undirected,Pariente_Fanny_5020_Plateau,20,19,21,,,
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_10,Pariente_Fanny_5020_Plateau_45@EVT_Pariente_Fanny_5020_Plateau_10,scene_copresence,EVT_Pariente_Fanny_5020_Plateau_10,Les Grillons,45.07128,4.326289,1067,0,45,1,Undirected,Pariente_Fanny_5020_Plateau,20,19,21,,,
