name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Pariente_Fanny_5020_Plateau_0,I,they/them/their,66,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_1,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_1,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_13,the WIZO,they/them/their,2,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_13
Pariente_Fanny_5020_Plateau_13@EVT_Pariente_Fanny_5020_Plateau_1,the WIZO,they/them/their,2,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_1,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_13
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_2,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_2,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_17,Mr. Trocme,he/him/his,15,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_17
Pariente_Fanny_5020_Plateau_17@EVT_Pariente_Fanny_5020_Plateau_2,Mr. Trocme,he/him/his,15,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_2,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_17
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_3,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_3,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_17@EVT_Pariente_Fanny_5020_Plateau_3,Mr. Trocme,he/him/his,15,Occurrence,Pariente_Fanny_5020_Plateau,Le Chambon-sur-Lignon,EVT_Pariente_Fanny_5020_Plateau_3,45.06081,4.302941,961,Pariente_Fanny_5020_Plateau_17
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_4,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_4,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_17@EVT_Pariente_Fanny_5020_Plateau_4,Mr. Trocme,he/him/his,15,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_4,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_17
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_5,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_5,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_18,Mr. Andre Trotman,,0,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_18
Pariente_Fanny_5020_Plateau_18@EVT_Pariente_Fanny_5020_Plateau_5,Mr. Andre Trotman,,0,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_5,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_18
Pariente_Fanny_5020_Plateau_0@EVT_Pariente_Fanny_5020_Plateau_6,I,they/them/their,66,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_6,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_0
Pariente_Fanny_5020_Plateau_35,everybody,unknown,4,Person,Pariente_Fanny_5020_Plateau,,,,,,Pariente_Fanny_5020_Plateau_35
Pariente_Fanny_5020_Plateau_35@EVT_Pariente_Fanny_5020_Plateau_6,everybody,unknown,4,Occurrence,Pariente_Fanny_5020_Plateau,Les Grillons,EVT_Pariente_Fanny_5020_Plateau_6,45.07128,4.326289,1067,Pariente_Fanny_5020_Plateau_35
