Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_1,Salomon_Hans_22257_Plateau_24@EVT_Salomon_Hans_22257_Plateau_1,scene_copresence,EVT_Salomon_Hans_22257_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,24,1,Undirected,Salomon_Hans_22257_Plateau,57,56,58,,,
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_2,Salomon_Hans_22257_Plateau_25@EVT_Salomon_Hans_22257_Plateau_2,scene_copresence,EVT_Salomon_Hans_22257_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,25,1,Undirected,Salomon_Hans_22257_Plateau,9,8,10,,,
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_3,Salomon_Hans_22257_Plateau_26@EVT_Salomon_Hans_22257_Plateau_3,scene_copresence,EVT_Salomon_Hans_22257_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,26,1,Undirected,Salomon_Hans_22257_Plateau,9,8,10,,,
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_4,Salomon_Hans_22257_Plateau_27@EVT_Salomon_Hans_22257_Plateau_4,scene_copresence,EVT_Salomon_Hans_22257_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,27,1,Undirected,Salomon_Hans_22257_Plateau,9,8,10,,,
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_5,Salomon_Hans_22257_Plateau_28@EVT_Salomon_Hans_22257_Plateau_5,scene_copresence,EVT_Salomon_Hans_22257_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,28,1,Undirected,Salomon_Hans_22257_Plateau,9,8,10,,,
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_6,Salomon_Hans_22257_Plateau_36@EVT_Salomon_Hans_22257_Plateau_6,scene_copresence,EVT_Salomon_Hans_22257_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,36,1,Undirected,Salomon_Hans_22257_Plateau,35,34,36,,,
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_7,Salomon_Hans_22257_Plateau_39@EVT_Salomon_Hans_22257_Plateau_7,scene_copresence,EVT_Salomon_Hans_22257_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,39,1,Undirected,Salomon_Hans_22257_Plateau,57,56,58,,,
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_8,Salomon_Hans_22257_Plateau_40@EVT_Salomon_Hans_22257_Plateau_8,scene_copresence,EVT_Salomon_Hans_22257_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,40,1,Undirected,Salomon_Hans_22257_Plateau,61,60,62,,,
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_9,Salomon_Hans_22257_Plateau_55@EVT_Salomon_Hans_22257_Plateau_9,scene_copresence,EVT_Salomon_Hans_22257_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,55,1,Undirected,Salomon_Hans_22257_Plateau,9,8,10,,,
Salomon_Hans_22257_Plateau_0@EVT_Salomon_Hans_22257_Plateau_10,Salomon_Hans_22257_Plateau_55@EVT_Salomon_Hans_22257_Plateau_10,scene_copresence,EVT_Salomon_Hans_22257_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,55,1,Undirected,Salomon_Hans_22257_Plateau,10,9,11,,,
