Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_1,Sauvage_50.030.0202_Plateau_4@EVT_Sauvage_50.030.0202_Plateau_1,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,4,1,Undirected,Sauvage_50.030.0202_Plateau,73,72,74,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_2,Sauvage_50.030.0202_Plateau_4@EVT_Sauvage_50.030.0202_Plateau_2,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,4,1,Undirected,Sauvage_50.030.0202_Plateau,74,73,75,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_3,Sauvage_50.030.0202_Plateau_16@EVT_Sauvage_50.030.0202_Plateau_3,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,16,1,Undirected,Sauvage_50.030.0202_Plateau,1,0,2,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_4,Sauvage_50.030.0202_Plateau_17@EVT_Sauvage_50.030.0202_Plateau_4,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,17,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_5,Sauvage_50.030.0202_Plateau_18@EVT_Sauvage_50.030.0202_Plateau_5,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,18,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_6,Sauvage_50.030.0202_Plateau_19@EVT_Sauvage_50.030.0202_Plateau_6,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,19,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_7,Sauvage_50.030.0202_Plateau_20@EVT_Sauvage_50.030.0202_Plateau_7,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,20,1,Undirected,Sauvage_50.030.0202_Plateau,25,24,26,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_8,Sauvage_50.030.0202_Plateau_22@EVT_Sauvage_50.030.0202_Plateau_8,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,22,1,Undirected,Sauvage_50.030.0202_Plateau,38,37,39,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_9,Sauvage_50.030.0202_Plateau_25@EVT_Sauvage_50.030.0202_Plateau_9,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,25,1,Undirected,Sauvage_50.030.0202_Plateau,73,72,74,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_10,Sauvage_50.030.0202_Plateau_25@EVT_Sauvage_50.030.0202_Plateau_10,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,25,1,Undirected,Sauvage_50.030.0202_Plateau,74,73,75,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_11,Sauvage_50.030.0202_Plateau_26@EVT_Sauvage_50.030.0202_Plateau_11,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,26,1,Undirected,Sauvage_50.030.0202_Plateau,79,78,80,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_12,Sauvage_50.030.0202_Plateau_27@EVT_Sauvage_50.030.0202_Plateau_12,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,27,1,Undirected,Sauvage_50.030.0202_Plateau,91,90,92,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_13,Sauvage_50.030.0202_Plateau_28@EVT_Sauvage_50.030.0202_Plateau_13,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,28,1,Undirected,Sauvage_50.030.0202_Plateau,91,90,92,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_14,Sauvage_50.030.0202_Plateau_28@EVT_Sauvage_50.030.0202_Plateau_14,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_14,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,28,1,Undirected,Sauvage_50.030.0202_Plateau,99,98,100,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_15,Sauvage_50.030.0202_Plateau_33@EVT_Sauvage_50.030.0202_Plateau_15,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_15,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,33,1,Undirected,Sauvage_50.030.0202_Plateau,1,0,2,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_16,Sauvage_50.030.0202_Plateau_33@EVT_Sauvage_50.030.0202_Plateau_16,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_16,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,33,1,Undirected,Sauvage_50.030.0202_Plateau,2,1,3,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_17,Sauvage_50.030.0202_Plateau_33@EVT_Sauvage_50.030.0202_Plateau_17,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_17,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,33,1,Undirected,Sauvage_50.030.0202_Plateau,4,3,5,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_18,Sauvage_50.030.0202_Plateau_33@EVT_Sauvage_50.030.0202_Plateau_18,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_18,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,33,1,Undirected,Sauvage_50.030.0202_Plateau,91,90,92,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_19,Sauvage_50.030.0202_Plateau_35@EVT_Sauvage_50.030.0202_Plateau_19,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_19,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,Sauvage_50.030.0202_Plateau,2,1,3,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_20,Sauvage_50.030.0202_Plateau_35@EVT_Sauvage_50.030.0202_Plateau_20,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_20,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,Sauvage_50.030.0202_Plateau,4,3,5,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_21,Sauvage_50.030.0202_Plateau_35@EVT_Sauvage_50.030.0202_Plateau_21,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_21,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,Sauvage_50.030.0202_Plateau,9,8,10,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_22,Sauvage_50.030.0202_Plateau_35@EVT_Sauvage_50.030.0202_Plateau_22,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_22,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_23,Sauvage_50.030.0202_Plateau_35@EVT_Sauvage_50.030.0202_Plateau_23,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_23,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,Sauvage_50.030.0202_Plateau,15,14,16,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_24,Sauvage_50.030.0202_Plateau_35@EVT_Sauvage_50.030.0202_Plateau_24,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_24,La Fayolle,45.0535,4.28556,1002,0,35,1,Undirected,Sauvage_50.030.0202_Plateau,15,14,16,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_25,Sauvage_50.030.0202_Plateau_36@EVT_Sauvage_50.030.0202_Plateau_25,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_25,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,36,1,Undirected,Sauvage_50.030.0202_Plateau,4,3,5,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_26,Sauvage_50.030.0202_Plateau_37@EVT_Sauvage_50.030.0202_Plateau_26,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_26,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,37,1,Undirected,Sauvage_50.030.0202_Plateau,4,3,5,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_27,Sauvage_50.030.0202_Plateau_37@EVT_Sauvage_50.030.0202_Plateau_27,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_27,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,37,1,Undirected,Sauvage_50.030.0202_Plateau,9,8,10,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_28,Sauvage_50.030.0202_Plateau_40@EVT_Sauvage_50.030.0202_Plateau_28,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_28,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,40,1,Undirected,Sauvage_50.030.0202_Plateau,4,3,5,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_29,Sauvage_50.030.0202_Plateau_44@EVT_Sauvage_50.030.0202_Plateau_29,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_29,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,44,1,Undirected,Sauvage_50.030.0202_Plateau,9,8,10,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_30,Sauvage_50.030.0202_Plateau_47@EVT_Sauvage_50.030.0202_Plateau_30,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_30,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,47,1,Undirected,Sauvage_50.030.0202_Plateau,9,8,10,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_31,Sauvage_50.030.0202_Plateau_53@EVT_Sauvage_50.030.0202_Plateau_31,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_31,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,53,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_32,Sauvage_50.030.0202_Plateau_56@EVT_Sauvage_50.030.0202_Plateau_32,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_32,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,56,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_33,Sauvage_50.030.0202_Plateau_57@EVT_Sauvage_50.030.0202_Plateau_33,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_33,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,57,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_34,Sauvage_50.030.0202_Plateau_59@EVT_Sauvage_50.030.0202_Plateau_34,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_34,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,59,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_35,Sauvage_50.030.0202_Plateau_61@EVT_Sauvage_50.030.0202_Plateau_35,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_35,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,61,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_36,Sauvage_50.030.0202_Plateau_62@EVT_Sauvage_50.030.0202_Plateau_36,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_36,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,62,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_37,Sauvage_50.030.0202_Plateau_63@EVT_Sauvage_50.030.0202_Plateau_37,scene_copresence,EVT_Sauvage_50.030.0202_Plateau_37,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,63,1,Undirected,Sauvage_50.030.0202_Plateau,12,11,13,,,
