name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
Sauvage_50.030.0202_Plateau_0,I,they/them/their,83,Person,Sauvage_50.030.0202_Plateau,,,,,,Sauvage_50.030.0202_Plateau_0
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_1,I,they/them/their,83,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_1,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_0
Sauvage_50.030.0202_Plateau_4,Le Chambon - sur - Lignon,he/him/his,3,Person,Sauvage_50.030.0202_Plateau,,,,,,Sauvage_50.030.0202_Plateau_4
Sauvage_50.030.0202_Plateau_4@EVT_Sauvage_50.030.0202_Plateau_1,Le Chambon - sur - Lignon,he/him/his,3,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_1,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_4
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_2,I,they/them/their,83,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_2,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_0
Sauvage_50.030.0202_Plateau_4@EVT_Sauvage_50.030.0202_Plateau_2,Le Chambon - sur - Lignon,he/him/his,3,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_2,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_4
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_3,I,they/them/their,83,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_3,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_0
Sauvage_50.030.0202_Plateau_16,Pierre Sauvage,,0,Person,Sauvage_50.030.0202_Plateau,,,,,,Sauvage_50.030.0202_Plateau_16
Sauvage_50.030.0202_Plateau_16@EVT_Sauvage_50.030.0202_Plateau_3,Pierre Sauvage,,0,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_3,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_16
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_4,I,they/them/their,83,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_4,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_0
Sauvage_50.030.0202_Plateau_17,Jews,they/them/their,3,Person,Sauvage_50.030.0202_Plateau,,,,,,Sauvage_50.030.0202_Plateau_17
Sauvage_50.030.0202_Plateau_17@EVT_Sauvage_50.030.0202_Plateau_4,Jews,they/them/their,3,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_4,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_17
Sauvage_50.030.0202_Plateau_0@EVT_Sauvage_50.030.0202_Plateau_5,I,they/them/their,83,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_5,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_0
Sauvage_50.030.0202_Plateau_18,Albert Schweitzer,,0,Person,Sauvage_50.030.0202_Plateau,,,,,,Sauvage_50.030.0202_Plateau_18
Sauvage_50.030.0202_Plateau_18@EVT_Sauvage_50.030.0202_Plateau_5,Albert Schweitzer,,0,Occurrence,Sauvage_50.030.0202_Plateau,Le Chambon-sur-Lignon,EVT_Sauvage_50.030.0202_Plateau_5,45.06081,4.302941,961,Sauvage_50.030.0202_Plateau_18
