Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_1,Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_1,scene_copresence,EVT_Schames_Esther_26441_Plateau_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,0,1,Directed,Schames_Esther_26441_Plateau,4,3,5,,,
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_2,Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_2,scene_copresence,EVT_Schames_Esther_26441_Plateau_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,30,1,Undirected,Schames_Esther_26441_Plateau,4,3,5,,,
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_3,Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_3,scene_copresence,EVT_Schames_Esther_26441_Plateau_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,31,1,Undirected,Schames_Esther_26441_Plateau,4,3,5,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_4,Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_4,scene_copresence,EVT_Schames_Esther_26441_Plateau_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,30,1,Undirected,Schames_Esther_26441_Plateau,4,3,5,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_5,Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_5,scene_copresence,EVT_Schames_Esther_26441_Plateau_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,31,1,Undirected,Schames_Esther_26441_Plateau,4,3,5,,,
Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_6,Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_6,scene_copresence,EVT_Schames_Esther_26441_Plateau_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,30,31,1,Undirected,Schames_Esther_26441_Plateau,4,3,5,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_7,Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_7,action,EVT_Schames_Esther_26441_Plateau_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,24,0,1,Directed,Schames_Esther_26441_Plateau,4,3,5,take,verb.cognition,
Schames_Esther_26441_Plateau_0,Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_1,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24,Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_1,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0,Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_2,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_30,Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_2,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0,Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_3,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_31,Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_3,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24,Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_4,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_30,Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_4,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24,Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_5,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_31,Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_5,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_30,Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_6,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_31,Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_6,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24,Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_7,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0,Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_7,appearance-of,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_1,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_1,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_2,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_2,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_0@EVT_Schames_Esther_26441_Plateau_3,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_31@EVT_Schames_Esther_26441_Plateau_3,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_4,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_30@EVT_Schames_Esther_26441_Plateau_4,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
Schames_Esther_26441_Plateau_24@EVT_Schames_Esther_26441_Plateau_5,LOC_Le_Chambon-sur-Lignon,at-location,,,,,,,,,,,,,,,,
