Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_1,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_33@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_1,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,33,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,1,0,2,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_2,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_34@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_2,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,34,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,1,0,2,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_3,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_34@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_3,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,34,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,2,1,3,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_4,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_35@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_4,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,5,4,6,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_5,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_35@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_5,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_5,Les Grillons,45.07128,4.326289,1067,0,35,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,6,5,7,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_6,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_39@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_6,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,39,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,99,98,100,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_7,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_39@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_7,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,39,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,199,198,200,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_8,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_41@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_8,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_8,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,41,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,99,98,100,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_9,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_42@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_9,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_9,Collège Cévenol,45.06096,4.303929,961,42,0,1,Directed,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,327,326,328,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_10,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_42@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_10,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,42,0,1,Directed,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,327,326,328,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_11,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_42@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_11,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,42,0,1,Directed,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,329,328,330,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_12,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_43@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_12,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,43,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,269,268,270,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_13,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_45@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_13,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_13,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,45,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,257,256,258,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_14,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_47@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_14,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_14,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,47,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,269,268,270,,,
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_15,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_47@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_15,scene_copresence,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_15,Collège Cévenol,45.06096,4.303929,961,0,47,1,Undirected,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,327,326,328,,,
