name,Label,Gender,MentionCount,Type,BookID,Location,EventID,X_Coord,Y_Coord,Z_Coord,PersonID
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0,myself,he/him/his,182,Person,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,,,,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_1,myself,he/him/his,182,Occurrence,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_1,45.06081,4.302941,961,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_33,Trocme,he/him/his,3,Person,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,,,,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_33
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_33@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_1,Trocme,he/him/his,3,Occurrence,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_1,45.06081,4.302941,961,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_33
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_2,myself,he/him/his,182,Occurrence,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_2,45.06081,4.302941,961,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_34,the Quakers,they/them/their,4,Person,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,,,,,,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_34
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_34@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_2,the Quakers,they/them/their,4,Occurrence,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_2,45.06081,4.302941,961,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_34
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_3,myself,he/him/his,182,Occurrence,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_3,45.06081,4.302941,961,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_34@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_3,the Quakers,they/them/their,4,Occurrence,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_3,45.06081,4.302941,961,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_34
TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0@EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_4,myself,he/him/his,182,Occurrence,TrocmeM_50.157.0026.01.01_Plateau_Rescuer,Le Chambon-sur-Lignon,EVT_TrocmeM_50.157.0026.01.01_Plateau_Rescuer_4,45.06081,4.302941,961,TrocmeM_50.157.0026.01.01_Plateau_Rescuer_0
