Source,Target,EdgeType,EventID,Location,X_Coord,Y_Coord,Z_Coord,Orig_source,Orig_target,Weight,type,BookID,LocationWindow_Sentence,ContextWinStart,ContextWinEnd,Events,Supersense,QuoteText
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_1,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_35@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_1,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_1,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,35,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,3,2,4,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_2,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_36@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_2,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_2,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,36,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,3,2,4,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_3,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_37@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_3,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_3,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,37,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,79,78,80,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_4,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_37@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_4,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_4,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,37,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,80,79,81,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_5,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_39@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_5,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_5,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,39,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,44,43,45,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_6,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_59@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_6,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_6,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,59,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,279,278,280,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_7,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_61@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_7,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_7,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,61,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,3,2,4,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_8,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_61@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_8,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_8,Collège Cévenol,45.06096,4.303929,961,0,61,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,168,167,169,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_9,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_62@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_9,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_9,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,62,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,3,2,4,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_10,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_63@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_10,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_10,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,63,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,3,2,4,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_11,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_64@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_11,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_11,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,64,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,3,2,4,,,
Trocme_Hewett_Nelly_58077_Plateau_Rescuer_0@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_12,Trocme_Hewett_Nelly_58077_Plateau_Rescuer_65@EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_12,scene_copresence,EVT_Trocme_Hewett_Nelly_58077_Plateau_Rescuer_12,Le Chambon-sur-Lignon,45.06081,4.302941,961,0,65,1,Undirected,Trocme_Hewett_Nelly_58077_Plateau_Rescuer,3,2,4,,,
