Location,X_Coord,Y_Coord,Z_Coord,Aliases
Camp Saint-Cyprien,42.63663,3.034213,2,Saint-Cyprien; Camp Saint Cyprien; Saint Cyprien; saint-cyprien; saint cyprien
Rivesaltes,42.80791,2.89097,30,Camp de Rivesaltes; Camp-de-Rivesaltes; rivesaltes
Camp de Gurs,43.27376,-0.74031,186,Gurs; camp de Gurs; Camp-de-Gurs; gurs; camp de gurs
Marseille,43.29695,5.38107,28,Marseilles; marseille; marseilles
Dunière,44.82313,4.65988,151,Dunière-sur-Eyrieux; Dunière sur Eyrieux; Duniere; Dunières; Dunieres; dunière; dunières
Gerbier de Jonc,44.84396,4.22014,1551,gerbier de jonc
Les Estables,44.903352,4.1558714,1342,les estables
Mont Mézenc,44.91428,4.18992,1744,Mézenc; Mont Mezenc; mont mézenc
Valence,44.9256,4.90956,126,valence
Chaudeyrolles,44.9495264,4.2033753,1283,chaudeyrolles
Saint-Clément,44.95283,4.26497,1151,Saint Clément; Saint-Clement; Saint Clement; St.-Clément; St.-Clement; St. Clément; St. Clement; saint-clemont; saint-clément
Saint-Front,44.9756854,4.1428766,1212,St.-Front; St. Front; Saint Front; St-Front; saint-front; saint front
Fay-sur-Lignon,44.985435,4.226421,1181,Fay; Fay sur Lignon; Fay le Froid; Fay-le-Froid; fay; fay-sur-lignon
Les Vastres,44.9896904,4.2625768,1115,les vastres
Saint-Agrève,45.010014,4.3950486,1066,St. Agreve; St.-Agrève; St.-Agreve; Saint Agreve; Saint Agrève; saint-agreve; saint-agrève
Mars,45.0218069,4.3646479,1027,mars
Champclause,45.0226039,4.1767551,1216,champclause
Les Digons,45.036205,4.371174,1084,les digons
Romière,45.042877,4.323951,1053,romière
Le Puy-en-Velay,45.04366,3.88523,640,Le Puy; Puy; Puy-en-Velay; Le Puy en Velay; Puy en Velay; LePuy; Le-Puy; Le-Puy-en-Velay; le puy; le puy-en-velay
Mazet-Saint-Voy,45.04719,4.2447343,1027,Mazet Saint Voy; Mazet-St.-Voy; Mazet-St-Voy; Mazet; Le Mazet; mazet; mazet-saint-voy
Les Tavas,45.051365,4.33872,1005,Tavas; les tavas; tavas
Maison des Roches,45.05262,4.321041,959,Maison-des-Roches; Maison des de Roches; Les Roches; House of the Rocks; Rohnert; maison des roches; maison-des-roches
Côteau Fleuri,45.05287,4.340592,1028,Côteau-Fleuri; Le Coteau Fleuri; Coteau Fleuri; Coteau-Fleuri; côteau fleuri; côteau-fleuri
La Fayolle,45.0535,4.28556,1002,Fayolle; la fayolle; fayolle
Le Faïdoli,45.05561,4.289219,976,Faïdoli; le faïdoli; faïdoli
Ferme École,45.055912,4.325135,1005,ferme école
Studio Cévenol,45.05893,4.301951,942,Studio-Cévenol; Studio Cevenol; Studio-Cevenol; studio cévenol; studio-cévenol
L'Abric,45.06056,4.311144,997,L'Abric House; l'abric
Pension Barraud,45.060711,4.298607,955,pension barraud
Beau Soleil,45.060711,4.298607,955,beau soleil
l'Hôtel du Lignon,45.060642,4.30448,958,hôtel du Lignon; Hôtel du Lignon; L'Hôtel du Lignon; L'hôtel du Lignon; hôtel du lignon; l'hôtel du lignon
Tante Soly,45.060757,4.304197,958,tante soly
Le Chambon-sur-Lignon,45.06081,4.302941,961,Chambon; Le Chambon sur Lignon; Chambon-sur-Lignon; Chambon sur Lignon; Le Chambon; le chambon-sur-lignon; chambon; le chambon; chambon-sur-lignon
le Lignon,45.06081,4.302941,961,le lignon
Plateau Vivarais,45.06081,4.302941,961,Plateau; montagnes Cévenol; plateau Cévenol; plateau vivarais
La Joyeuse Nichée,45.06083,4.311157,1002,Joyeuse Nichée; Joyeuse-Nichée; la Joyeuse Nichée; la Joyeuse-Nichée; la joyeuse nichée; joyeuse nichée
Collège Cévenol,45.06096,4.303929,961,Collège-Cévenol; Cévenol; College Cévenol; College-Cévenol; College Cevenol; collège Cévenol; École Cévenol; école Cévenol; lycée Cévenol; Lycée Cévenol; college-cévenol; college cévenol
Le Clos Gentil,45.061823,4.306723,994,Le clos gentil; le Clos Gentil; Le Clos gentil; Le clos Gentil; le clos Gentil; le clos gentil
La Ruchée,45.06237,4.306548,994,Ruchée; la ruchee; ruchée; la ruchée
La Guespy,45.062374,4.312919,1006,Guespy; guespy; la guespy
Les Heures Claires,45.063877,4.309932,981,Heures Claires; Heures-Claires; Les Heures-Claires; les heures claires; heures claires; heures-claires
Les Airelles,45.066315,4.305011,995,Airelles; airelles; les airelles
Devesset,45.068,4.38791,1146,devesset
Les Grillons,45.07128,4.326289,1067,"Les Grillon; Grillons, crickets, Pension De Famille; the crickets; grillons; les grillons; pension de famille"
Rochepaule,45.0772,4.45553,898,rochepaule
Freycenet,45.07724,4.21654,1047,Freycenet-de-Saint-Jeures; freycenet-de-saint-jeures; freycenet
Mazelgirard,45.08217,4.28083,969,mazelgirard
Le Fourezon,45.087067,4.248799,1041,Fourezon; fourezon; le fourezon
Araules,45.090051,4.1736039,1040,araules
Chaumargeais,45.09006,4.344,1004,chaumargeais
Saint-Jeures,45.09567,4.2050915,1043,St.-Jeures; St. Jeures; Saint Jeures; St Jeures; saint-jeures; saint jeures; st.-jeures
Tence,45.116135,4.289156,849,tence
Saint-André,45.12113,4.41125,1096,Saint-André-en-Vivarais; Saint-Andre-en-Vivarais; Saint André en Vivarais; Saint Andre en Vivarais; Saint-Andre; Saint André; Saint Andre; St.-André; St.-Andre; St. André; St. Andre; saint-andré; saint andré; saint-andré-en-vivarais
Le Mas-de-Tence,45.1216477,4.3589826,1029,"Le Mas de Tence, Mas-de-Tence, Mas de Tence; le mas-de-tence; le mas de tence"
La Bergerie,45.131886,4.284475,822,la bergerie; bergerie
La Papeterie,45.132137,4.284565,822,Papeterie; papeterie; la papeterie
Chenereilles,45.1333589,4.2532707,869,chenereilles
Yssingeaux,45.14282,4.12372,864,yssingeaux
Montfaucon-en-Velay,45.18561,4.31376,919,Montfaucon; montfaucon; montfaucon-en-velay
Saint-Étienne,45.43389,4.39,529,Saint Étienne; Saint-Etienne; Saint Etienne; St. Étienne; St. Etienne; Étienne; Etienne; Sainte Étienne; Sainte Etienne; Sainte-Etienne; Sainte-Étienne; St.-Étienne; St.-Etienne; saint-étienne; sainte-étienne; saint étienne; sainte étienne; saint-etienne; saint etienne; st.-étienne; st. étienne; étienne; etienne
Lyon,45.74846,4.84671,173,lyon
Annemasse,46.19439,6.23775,441,annemasse
Mulhouse,47.75205,7.32866,238,mulhouse
Paris,48.85341,2.3488,42,paris
Drancy,48.92583,2.44528,47,Camp de Drancy; drancy; camp de drancy
Rouen,49.44313,1.09932,21,rouen
